Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,MTA1 human,0.0006859139871571568,6.47108938547486,47.14032224840572,"['RNF144A', 'BCAS3', 'HDAC1', 'PTEN', 'MNAT1', 'MTA3', 'EGFR']",0.17696580868654646,0,0,7
2,MEF2A mouse,0.008064474666500423,13.836350974930362,66.69517867745867,"['MEF2A', 'NRF1', 'PPARGC1A']",0.6602327144856415,0,0,3
3,NR3C2 mouse,0.008064474666500423,13.836350974930362,66.69517867745867,"['TSC22D3', 'SGK1', 'TNS1']",0.6602327144856415,0,0,3
4,PPARGC1A mouse,0.011882798949454527,6.1519163763066205,27.26937450569513,"['PDHX', 'NRF1', 'TFB1M', 'PPARA']",0.6602327144856415,0,0,4
5,MTA1 mouse,0.01495847072504498,9.223537604456824,38.76170958446865,"['RNF144A', 'PTEN', 'CLOCK']",0.6602327144856415,0,0,3
6,E2F1 human,0.015354249174084686,1.9195053342938493,8.016551102703076,"['RB1', 'WWOX', 'CREBBP', 'PPP1R13B', 'DAPK2', 'HMGA1', 'FHIT', 'CD2AP', 'DRAM1', 'CUX1', 'CHEK1', 'DROSHA', 'ATM', 'ERCC5', 'MYH10', 'MAP3K5', 'ATG5']",0.6602327144856415,0,0,17
7,MEF2A human,0.02428799014270725,6.917130919220056,25.716324530773523,"['MEF2A', 'NRF1', 'PPARGC1A']",0.8676262886165595,0,0,3
8,NR3C2 human,0.02690314073229642,18.437021572720948,66.65927722693918,"['EGFR', 'CABIN1']",0.8676262886165595,0,0,2
9,CREB1 mouse,0.043078515299676275,2.6372246037284417,8.293361678070681,"['PRKCE', 'NFKBIZ', 'ACSL4', 'NRF1', 'PPM1D', 'PPARGC1A']",0.8844313977861493,0,0,6
10,DNMT3A mouse,0.05032667308811441,9.217814892136396,27.554077206542285,"['RB1', 'DPP6']",0.8844313977861493,0,0,2
11,MYF6 mouse,0.05032667308811441,9.217814892136396,27.554077206542285,"['RB1', 'RECK']",0.8844313977861493,0,0,2
12,MYOD1 mouse,0.06737929522345464,2.3070481507327285,6.22307205694593,"['RB1', 'CREBBP', 'ARNT', 'PPARGC1A', 'RECK', 'CDON']",0.8844313977861493,0,0,6
13,CTCF mouse,0.07850151263459365,6.144745998608212,15.636150390302758,"['ATXN7', 'CELSR3']",0.8844313977861493,0,0,2
14,NRL mouse,0.07850151263459365,6.144745998608212,15.636150390302758,"['MEF2C', 'PPP2R5C']",0.8844313977861493,0,0,2
15,NF1 human,0.08522880712399139,3.4575208913649025,8.513854038914587,"['SP3', 'PPP2R2D', 'GNRH1']",0.8844313977861493,0,0,3
16,PAX5 human,0.1056727918395239,3.0731197771587744,6.906553445158359,"['RB1', 'PRKCE', 'PRDM1']",0.8844313977861493,0,0,3
17,RARA human,0.1056727918395239,3.0731197771587744,6.906553445158359,"['RPTOR', 'RARB', 'PRKCA']",0.8844313977861493,0,0,3
18,ESRRA mouse,0.11027306420705132,4.60821155184412,10.160164495207225,"['PPARA', 'PPARGC1A']",0.8844313977861493,0,0,2
19,IRF3 human,0.11027306420705132,4.60821155184412,10.160164495207225,"['SOCS2', 'TNPO1']",0.8844313977861493,0,0,2
20,MYOG mouse,0.11027306420705132,4.60821155184412,10.160164495207225,"['RB1', 'MYEF2']",0.8844313977861493,0,0,2
21,PITX1 human,0.11027306420705132,4.60821155184412,10.160164495207225,"['IRF2', 'GNRH1']",0.8844313977861493,0,0,2
22,POU5F1 mouse,0.12780496068606179,2.765598885793872,5.6895280914802475,"['EED', 'TET2', 'XIST']",0.8844313977861493,0,0,3
23,SREBF1 mouse,0.14384449358255522,2.169460955113753,4.206633536718383,"['FBXW7', 'PPARGC1A', 'ACACA', 'KCNJ3']",0.8844313977861493,0,0,4
24,HES1 human,0.14466711593211493,3.6862908837856647,7.126779626149693,"['MAP2', 'PTEN']",0.8844313977861493,0,0,2
25,POU3F2 human,0.14466711593211493,3.6862908837856647,7.126779626149693,"['GNRH1', 'FOXP2']",0.8844313977861493,0,0,2
26,TRP73 mouse,0.1762366256077147,2.304317548746518,4.000128716030935,"['CASP8AP2', 'ITCH', 'PTEN']",0.8844313977861493,0,0,3
27,BCL6 mouse,0.1808656132056238,3.071677105080028,5.252570896666915,"['SOCS2', 'PRDM1']",0.8844313977861493,0,0,2
28,MAFA mouse,0.18636162298459832,9.21210013908206,15.476938841167783,['NRF1'],0.8844313977861493,0,0,1
29,OTX2 mouse,0.18636162298459832,9.21210013908206,15.476938841167783,['GNRH1'],0.8844313977861493,0,0,1
30,POU1F1 mouse,0.18636162298459832,9.21210013908206,15.476938841167783,['C1QTNF3'],0.8844313977861493,0,0,1
31,RELA mouse,0.19119183157441258,1.505897117756956,2.491473653352069,"['PTPN1', 'ITCH', 'KDM2A', 'PTEN', 'CACNA1C', 'NRF1', 'PPARA', 'PPM1D']",0.8844313977861493,0,0,8
32,XBP1 mouse,0.2181854435313041,2.63266726314743,4.0079987558883845,"['PRDM1', 'FOXO1']",0.8844313977861493,0,0,2
33,HOXB7 human,0.2181854435313041,2.63266726314743,4.0079987558883845,"['DAPK1', 'EGFR']",0.8844313977861493,0,0,2
34,KAT2B human,0.2181854435313041,2.63266726314743,4.0079987558883845,"['RB1', 'CLOCK']",0.8844313977861493,0,0,2
35,NR2F2 mouse,0.2181854435313041,2.63266726314743,4.0079987558883845,"['RARB', 'PPARA']",0.8844313977861493,0,0,2
36,STAT3 mouse,0.22520306361869055,1.5366364270760642,2.290745023697377,"['EED', 'RNLS', 'PTEN', 'TCF4', 'PRDM1', 'EPOR']",0.8844313977861493,0,0,6
37,CREBBP human,0.22874035812780286,1.9748308794269798,2.9132067775911357,"['EP300', 'PPARA', 'EGFR']",0.8844313977861493,0,0,3
38,LEF1 human,0.22874035812780286,1.9748308794269798,2.9132067775911357,"['HERC2', 'NRCAM', 'TCF4']",0.8844313977861493,0,0,3
39,YY1 human,0.23104033309343466,1.418695909261947,2.0786207283489295,"['CREBBP', 'TFRC', 'APC', 'HDAC1', 'ERCC5', 'LRIG2', 'INO80', 'EGFR']",0.8844313977861493,0,0,8
40,JUN mouse,0.23152932017253022,1.3833566433566433,2.0239182223406047,"['TGM1', 'C1QTNF3', 'DMTF1', 'NCK2', 'GNRH1', 'PRDM1', 'PTPN4', 'SLC8A1', 'PDK1']",0.8844313977861493,0,0,9
41,RB1 human,0.24710903620372074,1.6757681343047197,2.3425991706552343,"['RB1', 'ELF1', 'RBL1', 'MAP3K5']",0.8844313977861493,0,0,4
42,E2F3 human,0.25605987514188405,2.303409881697982,3.1380365733122604,"['CUX1', 'MAP3K5']",0.8844313977861493,0,0,2
43,GATA4 mouse,0.25605987514188405,2.303409881697982,3.1380365733122604,"['MEF2C', 'EPOR']",0.8844313977861493,0,0,2
44,HDAC7 human,0.25605987514188405,2.303409881697982,3.1380365733122604,"['MEF2A', 'MEF2C']",0.8844313977861493,0,0,2
45,NANOG human,0.25605987514188405,2.303409881697982,3.1380365733122604,"['YES1', 'MTF2']",0.8844313977861493,0,0,2
46,POU2F1 mouse,0.25605987514188405,2.303409881697982,3.1380365733122604,"['ATP11C', 'GNRH1']",0.8844313977861493,0,0,2
47,ARID3A human,0.26609087837639983,4.605702364394993,6.097569409711966,['RBL1'],0.8844313977861493,0,0,1
48,ZFP148 mouse,0.26609087837639983,4.605702364394993,6.097569409711966,['RNLS'],0.8844313977861493,0,0,1
49,ETV5 mouse,0.26609087837639983,4.605702364394993,6.097569409711966,['ELMO1'],0.8844313977861493,0,0,1
50,IRF4 mouse,0.26609087837639983,4.605702364394993,6.097569409711966,['PRDM1'],0.8844313977861493,0,0,1
51,MAZ human,0.26609087837639983,4.605702364394993,6.097569409711966,['TSG101'],0.8844313977861493,0,0,1
52,MZF1 human,0.26609087837639983,4.605702364394993,6.097569409711966,['PIK3R3'],0.8844313977861493,0,0,1
53,NR2F2 human,0.26609087837639983,4.605702364394993,6.097569409711966,['PPARA'],0.8844313977861493,0,0,1
54,NUPR1 mouse,0.26609087837639983,4.605702364394993,6.097569409711966,['EP300'],0.8844313977861493,0,0,1
55,E2F1 mouse,0.27597297315230107,1.4181115465135004,1.8257510309549903,"['RB1', 'POLA1', 'HMGA1', 'ATM', 'MERTK', 'MYH10']",0.8844313977861493,0,0,6
56,TP63 human,0.2940223336348895,2.0473208072373,2.5061244784028167,"['TCF4', 'PPARA']",0.8844313977861493,0,0,2
57,FLI1 human,0.2940223336348895,2.0473208072373,2.5061244784028167,"['HDAC1', 'EP300']",0.8844313977861493,0,0,2
58,NKX2-5 mouse,0.2940223336348895,2.0473208072373,2.5061244784028167,"['MEF2C', 'JARID2']",0.8844313977861493,0,0,2
59,REST mouse,0.2940223336348895,2.0473208072373,2.5061244784028167,"['GRIN2B', 'CELSR3']",0.8844313977861493,0,0,2
60,SOX2 human,0.2940223336348895,2.0473208072373,2.5061244784028167,"['ASXL1', 'NTRK3']",0.8844313977861493,0,0,2
61,CTCF human,0.31152642458633906,1.625962641323939,1.8963132613766263,"['ATXN7', 'ASAP2', 'CELSR3']",0.8844313977861493,0,0,3
62,EGR1 human,0.3235319291493018,1.2903072625698324,1.4560568701274947,"['PTEN', 'EP300', 'LMTK2', 'TCF4', 'SLC4A2', 'SYN2', 'EGFR']",0.8844313977861493,0,0,7
63,HIF1A human,0.3235319291493018,1.2903072625698324,1.4560568701274947,"['EGLN1', 'SETD2', 'TFRC', 'ARNT', 'RORA', 'PPARA', 'RECK']",0.8844313977861493,0,0,7
64,HNF4A mouse,0.33169223716085716,1.8424495476687544,2.0332310279380508,"['PPARA', 'PPARGC1A']",0.8844313977861493,0,0,2
65,STAT5A mouse,0.33169223716085716,1.8424495476687544,2.0332310279380508,"['SOCS2', 'EPOR']",0.8844313977861493,0,0,2
66,TBX1 mouse,0.3380122736669866,3.0702364394993045,3.3302027891678905,['MEF2C'],0.8844313977861493,0,0,1
67,CEBPZ human,0.3380122736669866,3.0702364394993045,3.3302027891678905,['APC'],0.8844313977861493,0,0,1
68,YBX1 mouse,0.3380122736669866,3.0702364394993045,3.3302027891678905,['EGFR'],0.8844313977861493,0,0,1
69,IKBKB mouse,0.3380122736669866,3.0702364394993045,3.3302027891678905,['RPS6KB1'],0.8844313977861493,0,0,1
70,IRF3 mouse,0.3380122736669866,3.0702364394993045,3.3302027891678905,['SOCS2'],0.8844313977861493,0,0,1
