Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Secretory Granule Lumen (GO:0034774),0.00038829526754096034,14.202127659574469,111.53988212160347,"['ARHGAP9', 'SERPINE1', 'CHI3L1', 'CTSD']",0.014366924899015532,0,0,4
2,Specific Granule Lumen (GO:0035580),0.0010614543921474444,49.526041666666664,339.1600408738389,"['CHI3L1', 'CTSD']",0.01963690625472772,0,0,2
3,Serine Protease Inhibitor Complex (GO:0097180),0.005643726707177122,280.3235294117647,1451.2939669610155,['SERPINE1'],0.06960596272185118,0,0,1
4,Collagen-Containing Extracellular Matrix (GO:0062023),0.013776442816229929,12.55186170212766,53.78215661893279,"['SERPINE1', 'CTSD']",0.07832153375187753,0,0,2
5,Specific Granule (GO:0042581),0.01432765998864239,12.287760416666666,52.16846521785335,"['CHI3L1', 'CTSD']",0.07832153375187753,0,0,2
6,Focal Adhesion (GO:0005925),0.014397210253342556,6.733090909090909,28.553158825208687,"['ALCAM', 'FLT1', 'LIMD1']",0.07832153375187753,0,0,3
7,Cell-Substrate Junction (GO:0030055),0.014817587466571424,6.658273381294964,28.04425105771246,"['ALCAM', 'FLT1', 'LIMD1']",0.07832153375187753,0,0,3
8,ISWI-type Complex (GO:0031010),0.018695753724121782,62.248366013071895,247.71481130782254,['CECR2'],0.08646786097406324,0,0,1
9,RISC Complex (GO:0016442),0.0223950862468196,50.919786096256686,193.43987341796063,['LIMD1'],0.09206868790359168,0,0,1
10,Lytic Vacuole (GO:0000323),0.03297864172989456,7.766556291390729,26.498675722289345,"['DRAM1', 'CTSD']",0.12202097440060987,0,0,2
11,Tertiary Granule Lumen (GO:1904724),0.046121627527350446,23.306372549019606,71.7014327558044,['CTSD'],0.15513638350108788,0,0,1
12,Platelet Alpha Granule Lumen (GO:0031093),0.06045114745954706,17.465073529411764,49.00559422987882,['SERPINE1'],0.1863910380002701,0,0,1
13,Platelet Alpha Granule (GO:0031091),0.08330386363994294,12.402614379084968,30.823725735970374,['SERPINE1'],0.23709561189829914,0,0,1
14,Lysosomal Lumen (GO:0043202),0.09022917820857579,11.385354141656663,27.386358413524544,['CTSD'],0.2384628281226646,0,0,1
15,P-body (GO:0000932),0.10222973274146371,9.954831932773109,22.702319909981846,['LIMD1'],0.2521666740956105,0,0,1
16,Lysosome (GO:0005764),0.13437733356913695,3.379779411764706,6.7835671344219834,"['DRAM1', 'CTSD']",0.28798194774971275,0,0,2
17,Basolateral Plasma Membrane (GO:0016323),0.13897990701891205,7.130467571644043,14.071449457160867,['NOD1'],0.28798194774971275,0,0,1
18,Adherens Junction (GO:0005912),0.14387978113004843,6.864197530864198,13.308149541144294,['LIMD1'],0.28798194774971275,0,0,1
19,Cytoplasmic Vesicle Lumen (GO:0060205),0.1519877633207963,6.461696306429548,12.173546782788906,['ARHGAP9'],0.28798194774971275,0,0,1
20,Vacuolar Lumen (GO:0005775),0.16321717529367885,5.970904490828589,10.823300945927711,['CTSD'],0.28798194774971275,0,0,1
21,Membrane Raft (GO:0045121),0.1695707747303864,5.722255912674348,10.154056649631533,['CTSD'],0.28798194774971275,0,0,1
22,Ficolin-1-Rich Granule Lumen (GO:1904813),0.17744871153881833,5.4388696655132645,9.404206283693785,['CTSD'],0.28798194774971275,0,0,1
23,Tertiary Granule (GO:0070820),0.17901580535792955,5.385494003426613,9.264563973445243,['CTSD'],0.28798194774971275,0,0,1
24,Ficolin-1-Rich Granule (GO:0101002),0.24089262673460574,3.835375816993464,5.459289191167454,['CTSD'],0.3531078154644262,0,0,1
25,Axon (GO:0030424),0.24234530728528372,3.8085192697768764,5.398163527078168,['ALCAM'],0.3531078154644262,0,0,1
26,Cell-Cell Junction (GO:0005911),0.2481298162722995,3.704697986577181,5.1636199719264235,['LIMD1'],0.3531078154644262,0,0,1
27,Actin Cytoskeleton (GO:0015629),0.31172273270459,2.8168929110105583,3.28348633027128,['FLT1'],0.427175596669253,0,0,1
28,Lytic Vacuole Membrane (GO:0098852),0.33647712652699513,2.561572292468389,2.7901288540126656,['CTSD'],0.44463048862495785,0,0,1
29,Lysosomal Membrane (GO:0005765),0.39649452627887877,2.073361664057258,1.9180524512494654,['CTSD'],0.48019040391695345,0,0,1
30,Cytoplasmic Vesicle Membrane (GO:0030659),0.39883180109909067,2.0572697003329634,1.8910742005467398,['CTSD'],0.48019040391695345,0,0,1
31,Endosome Membrane (GO:0010008),0.4023216897682583,2.033582089552239,1.8515831770577944,['CTSD'],0.48019040391695345,0,0,1
32,Neuron Projection (GO:0043005),0.48157354298463206,1.5856477488356047,1.1586269783149585,['ALCAM'],0.5568194090759808,0,0,1
33,Cytoskeleton (GO:0005856),0.499529690864223,1.5031951499262657,1.0433500782293246,['FLT1'],0.5600787443023105,0,0,1
34,Intracellular Organelle Lumen (GO:0070013),0.5995190322913351,1.1292372881355932,0.577748916218475,['CTSD'],0.6524177704346881,0,0,1
35,Bounding Membrane Of Organelle (GO:0098588),0.6460363227917294,0.9912976426525666,0.4330974935433442,['CTSD'],0.6829526840941139,0,0,1
36,Nucleus (GO:0005634),0.9207896595398749,0.5048428835489833,0.04166147818576082,"['CECR2', 'TSHZ3', 'LIMD1']",0.9463671500826492,0,0,3
37,Intracellular Membrane-Bounded Organelle (GO:0043231),0.963392189482622,0.41089394424863823,0.015324163120619199,"['CECR2', 'TSHZ3', 'LIMD1']",0.963392189482622,0,0,3
