Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Positive Regulation Of Cytokine Production (GO:0001819),4.534744668345132e-05,10.891304347826088,108.92564129150865,"['IL15', 'SERPINE1', 'CHI3L1', 'NOD1', 'ALOX15B', 'FOXP1']",0.02172142696137318,0,0,6
2,Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043280),0.00017099935974694067,16.58647936786655,143.86864643248785,"['TNFSF10', 'NOD1', 'CTSD', 'ST18']",0.025518851935139007,0,0,4
3,Positive Regulation Of B Cell Receptor Signaling Pathway (GO:0050861),0.00022889673136752503,132.06944444444446,1107.0377286048667,"['PRKCH', 'FOXP1']",0.025518851935139007,0,0,2
4,Positive Regulation Of Interleukin-8 Production (GO:0032757),0.00026614654137575,28.031527093596058,230.74049193655495,"['SERPINE1', 'CHI3L1', 'NOD1']",0.025518851935139007,0,0,3
5,Positive Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010744),0.0003196515900017412,105.64444444444445,850.2559569876443,"['PRKCH', 'ALOX15B']",0.025518851935139007,0,0,2
6,Alanine Transport (GO:0032328),0.0003196515900017412,105.64444444444445,850.2559569876443,"['SLC6A6', 'SLC38A2']",0.025518851935139007,0,0,2
7,Regulation Of Angiogenesis (GO:0045765),0.0005445038632102447,12.047314578005116,90.54322537087714,"['FLT1', 'GPNMB', 'SERPINE1', 'CHI3L1']",0.02673068468702167,0,0,4
8,Regulation Of Tissue Remodeling (GO:0034103),0.0005452288077224774,75.44444444444444,566.9125676744579,"['GPNMB', 'IL15']",0.02673068468702167,0,0,2
9,Regulation Of Interleukin-8 Production (GO:0032677),0.0005580518723804107,21.372180451127818,160.100256995173,"['SERPINE1', 'CHI3L1', 'NOD1']",0.02673068468702167,0,0,3
10,Positive Regulation Of Cysteine-Type Endopeptidase Activity (GO:2001056),0.0005580518723804107,21.372180451127818,160.100256995173,"['TNFSF10', 'NOD1', 'CTSD']",0.02673068468702167,0,0,3
11,Amino Acid Import Across Plasma Membrane (GO:0089718),0.0008288163234052718,58.666666666666664,416.27003683024526,"['SLC6A6', 'SLC38A2']",0.030766916556507293,0,0,2
12,Regulation Of B Cell Receptor Signaling Pathway (GO:0050855),0.0008288163234052718,58.666666666666664,416.27003683024526,"['PRKCH', 'FOXP1']",0.030766916556507293,0,0,2
13,Positive Regulation Of Vasculature Development (GO:1904018),0.0008350102614500935,18.446103896103896,130.74721189362273,"['FLT1', 'SERPINE1', 'CHI3L1']",0.030766916556507293,0,0,3
14,Negative Regulation Of Multicellular Organismal Process (GO:0051241),0.001181588875158698,9.69969040247678,65.38459688154025,"['GPNMB', 'IL15', 'ACOT11', 'PTPRG']",0.03552633933739452,0,0,4
15,Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043281),0.0011866835686812367,16.222285714285714,109.28293281174174,"['TNFSF10', 'NOD1', 'CTSD']",0.03552633933739452,0,0,3
16,Positive Regulation Of Angiogenesis (GO:0045766),0.0011866835686812367,16.222285714285714,109.28293281174174,"['FLT1', 'SERPINE1', 'CHI3L1']",0.03552633933739452,0,0,3
17,Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010743),0.0015664838834185935,40.598290598290596,262.22118158564604,"['PRKCH', 'ALOX15B']",0.04413798706808861,0,0,2
18,Positive Regulation Of Antigen Receptor-Mediated Signaling Pathway (GO:0050857),0.0017857830287402875,37.69444444444444,238.52661048126873,"['PRKCH', 'FOXP1']",0.047521670598144314,0,0,2
19,Neutral Amino Acid Transport (GO:0015804),0.002525674724381189,31.03267973856209,185.6141236549639,"['SLC6A6', 'SLC38A2']",0.06367358910413629,0,0,2
