Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,PDX1 mouse,0.004392778638055169,476.45,2586.0721201464976,['ST18'],0.04607598247836735,0,0,1
2,NEUROD1 mouse,0.006582283211195335,238.2,1196.5675918177587,['ST18'],0.04607598247836735,0,0,1
3,HOXA10 human,0.010947549881460792,119.075,537.5807107122541,['IL15'],0.04939665188471373,0,0,1
4,CREB5 human,0.01746122185951333,68.02142857142857,275.3352850228818,['RASGRP3'],0.04939665188471373,0,0,1
5,NR1H3 mouse,0.019623353691586843,59.5125,233.94571491231622,['ARG2'],0.04939665188471373,0,0,1
6,FOXA2 mouse,0.021780954305848182,52.894444444444446,202.41219389070923,['ST18'],0.04939665188471373,0,0,1
7,MYB human,0.028226658219836418,39.65833333333333,141.4806449482956,['IL15'],0.04939665188471373,0,0,1
8,CTCF human,0.028226658219836418,39.65833333333333,141.4806449482956,['PTPRG'],0.04939665188471373,0,0,1
9,ESR1 human,0.07222711163725562,14.389393939393939,37.814460975488004,['FOXP1'],0.1123532847690643,0,0,1
10,AR human,0.09250651270636567,11.03139534883721,26.259974403982348,['ARG2'],0.12950911778891194,0,0,1
11,NFKB1 mouse,0.1676348967438135,5.760975609756097,10.288911740050182,['IL15'],0.20022383561289164,0,0,1
12,TRP53 mouse,0.17316174706509097,5.555882352941176,9.74240175512668,['SLC6A6'],0.20022383561289164,0,0,1
13,TP53 human,0.18592213306911368,5.129347826086956,8.629754979668204,['SLC6A6'],0.20022383561289164,0,0,1
14,SP1 human,0.38176419637127296,2.166279069767442,2.0860230833172713,['ALOX15B'],0.38176419637127296,0,0,1
