Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,RAD21,2.765976611652559e-06,8.888453389830508,113.75546448032215,"['RPS15A', 'RPS16', 'RPS19', 'TMSB4X', 'RPS3A', 'YBX1', 'RPS2', 'RPS10', 'RPS13']",0.0001493627370292382,0,0,9
2,ILF3,0.00016206710494519696,5.802816901408451,50.64408497384334,"['RPS15A', 'RPS16', 'RPL18A', 'RPL12', 'RPS3A', 'YBX1', 'RPS2', 'RPS13']",0.004375811833520318,0,0,8
3,ESR1,0.0010866563123787226,3.0453879941434847,20.783706872137568,"['STAT5A', 'RPL12', 'RPL36A', 'RPS3A', 'YBX1', 'HSP90B1', 'RPS15A', 'RPS16', 'RPL18A', 'RPS19', 'RPS2', 'RPS10', 'RPS13']",0.019559813622817005,0,0,13
4,ILF2,0.003329816795466355,5.414204611284903,30.887160167682644,"['RPS15A', 'RPS16', 'YBX1', 'RPS2', 'RPS13']",0.04495252673879579,0,0,5
5,E2F2,0.011474647863378746,13.653679653679653,60.99938690408296,"['RPS3A', 'RPS2']",0.12107166836860435,0,0,2
6,EED,0.013452407596511595,6.486337543053961,27.947015682175348,"['CDK2AP2', 'RPS3A', 'RPS10']",0.12107166836860435,0,0,3
7,CTCF,0.04228497431506041,6.50068870523416,20.563781173054622,"['RPL36A', 'YBX1']",0.3047704546953877,0,0,2
8,ESR2,0.04515117847339077,2.718475246356287,8.421126514340667,"['RIMS2', 'STAT5A', 'RPS16', 'RPL18A', 'RPS13']",0.3047704546953877,0,0,5
9,THAP11,0.062307320592179784,17.67723880597015,49.06629376834016,['ECT2'],0.3738439235530787,0,0,1
10,RFX5,0.10170399731510063,10.094882729211088,23.073759096635623,['RPS19'],0.5492015855015434,0,0,1
11,TP53,0.11594272778791972,1.885320142130565,4.062221891018945,"['TMSB4X', 'YBX1', 'RPL26', 'ECT2', 'RPS10', 'ZNF420']",0.5691733909588786,0,0,6
12,NFYB,0.15170599619199554,6.418588873812754,12.10424464752752,['YBX1'],0.6430837455723631,0,0,1
13,KLF4,0.17566830089409674,5.428817451205511,9.44156975983226,['YBX1'],0.6430837455723631,0,0,1
14,CUX1,0.17566830089409674,5.428817451205511,9.44156975983226,['ECT2'],0.6430837455723631,0,0,1
15,NANOG,0.20250132478542945,2.4685111989459814,3.9422342317978716,"['RPS29', 'TRERF1']",0.6430837455723631,0,0,2
16,TCOF1,0.2046850855642619,4.550794415021666,7.218846219436097,['ECT2'],0.6430837455723631,0,0,1
17,MTA3,0.210366495056646,4.408115671641791,6.871829394667097,['CDK2AP2'],0.6430837455723631,0,0,1
18,IKZF1,0.227171872581639,4.028997867803838,5.971169843807293,['CDK2AP2'],0.6430837455723631,0,0,1
19,TFAP2A,0.23269496630928277,3.9166666666666665,5.710605125615268,['YBX1'],0.6430837455723631,0,0,1
