Genes diffrentially expressed between sleep and wakefulness in the cerebral cortex - FDR <1%; linear trend analysis for temporal pattern in gene expression - FDR <5%								
								

Affymetrix id	sleep	wake	category 	Gene name	Gene Symbol	Entrez Gene		
1415732_at	UP	UP	1	HLA-B associated transcript 5	Bat5	193742		
1416041_at	UP	UP	1	serum/glucocorticoid regulated kinase	Sgk	20393		
1416083_at	UP	UP	1	"zinc finger, A20 domain containing 2"	Za20d2	22682		
1416125_at	UP	UP	1	FK506 binding protein 5	Fkbp5	14229		
1416256_a_at	UP	UP	1	"tubulin, beta 5"	Tubb5	22154		
1416311_s_at	UP	UP	1	"tubulin, alpha 3 /// tubulin, alpha 7"	Tuba3 /// Tuba7	22144 /// 22147		
1416499_a_at	UP	UP	1	dynactin 6	Dctn6	22428		
1416512_at	UP	UP	1	nucleotide binding protein 2	Nubp2	26426		
1416528_at	UP	UP	1	SH3 domain binding glutamic acid-rich protein-like 3	Sh3bgrl3	73723		
1416546_a_at	UP	UP	1	ribosomal protein L6	Rpl6	19988		
1416586_at	UP	UP	1	zinc finger protein 239	Zfp239	22685		
1416673_at	UP	UP	1	beta-site APP-cleaving enzyme 2	Bace2	56175		
1416978_at	UP	UP	1	"Fc receptor, IgG, alpha chain transporter"	Fcgrt	14132		
1417168_a_at	UP	UP	1	ubiquitin specific peptidase 2	Usp2	53376		
1417169_at	UP	UP	1	ubiquitin specific peptidase 2	Usp2	53376		
1417218_at	UP	UP	1	RIKEN cDNA 2810048G17 gene	2810048G17Rik	72691		
1417325_at	UP	UP	1	beta-transducin repeat containing protein	Btrc	12234		
1417374_at	UP	UP	1	"tubulin, alpha 4"	Tuba4	22145		
1417501_at	UP	UP	1	F-box only protein 6b	Fbxo6b	50762		
1417562_at	UP	UP	1	eukaryotic translation initiation factor 4E binding protein 1	Eif4ebp1	13685		
1417603_at	UP	UP	1	period homolog 2 (Drosophila)	Per2	18627		
1417944_at	UP	UP	1	"guanine nucleotide binding protein (G protein), gamma 4 subunit"	Gng4	14706		
1418174_at	UP	UP	1	D site albumin promoter binding protein	Dbp	13170		
1418595_at	UP	UP	1	"plasma membrane associated protein, S3-12"	MGI:1929709	57435		
1418697_at	UP	UP	1	indolethylamine N-methyltransferase	Inmt	21743		
1418884_x_at	UP	UP	1	"tubulin, alpha 1"	Tuba1	22142		
1419138_at	UP	UP	1	"UDP-Gal:betaGalNAc beta 1,3-galactosyltransferase, polypeptide 4"	B3galt4	54218		
1419456_at	UP	UP	1	dicarbonyl L-xylulose reductase	Dcxr	67880		
1419874_x_at	UP	UP	1	zinc finger and BTB domain containing 16	Zbtb16	235320		
1420088_at	UP	UP	1	---	---	---		
1420099_at	UP	UP	1	"DNA segment, Chr 13, ERATO Doi 787, expressed"	D13Ertd787e	52680		
1420772_a_at	UP	UP	1	TSC22 domain family 3	Tsc22d3	14605		
1420892_at	UP	UP	1	wingless-related MMTV integration site 7B	Wnt7b	22422		
