group,individual,time,value
Group1,1,1,1.1415943640825361
Group1,2,1,1.1055530041809951
Group1,3,1,1.1194956602488377
Group1,4,1,1.1229906096359747
Group1,5,1,1.1165892543531668
Group1,6,1,1.1182809643755118
Group1,7,1,1.1216418944482478
Group1,8,1,1.132483324578771
Group1,9,1,1.1248785051750105
Group1,10,1,1.1209026506820599
Group1,11,1,1.1295065074164186
Group1,12,1,1.1200759837309147
Group1,13,1,1.1272440074113816
Group1,14,1,1.1281617859377118
Group1,15,1,1.1238378898412642
Group1,16,1,1.144706629133062
Group1,17,1,1.1204135051317234
Group1,18,1,1.1312825984502193
Group1,19,1,1.1124836588097786
Group1,20,1,1.129297768201723
Group1,1,2,0.7126662339999585
Group1,2,2,0.7032347148217157
Group1,3,2,0.7017520967112317
Group1,4,2,0.6984719238878278
Group1,5,2,0.7026430428131791
Group1,6,2,0.7069554871704565
Group1,7,2,0.6942390023265377
Group1,8,2,0.7001618406269984
Group1,9,2,0.6985202467999346
Group1,10,2,0.7032553056154994
Group1,11,2,0.7088625157287329
Group1,12,2,0.7026798516628633
Group1,13,2,0.7100932128477148
Group1,14,2,0.7093443309649411
Group1,15,2,0.7052280780450911
Group1,16,2,0.7080220064434275
Group1,17,2,0.7013448263287503
Group1,18,2,0.7027473839320282
Group1,19,2,0.7006090401454922
Group1,20,2,0.6956458197836357
Group1,1,3,0.4316901164252695
Group1,2,3,0.44035979642427253
Group1,3,3,0.44539205507051616
Group1,4,3,0.4309167752315019
Group1,5,3,0.4410559147294995
Group1,6,3,0.4342746620806209
Group1,7,3,0.4412208700139561
Group1,8,3,0.4451808872020399
Group1,9,3,0.4372972325297445
Group1,10,3,0.44144116544437717
Group1,11,3,0.4416185261459967
Group1,12,3,0.43288559420921735
Group1,13,3,0.44294282065021745
Group1,14,3,0.4351264675451775
Group1,15,3,0.4367919626624733
Group1,16,3,0.43817282558791026
Group1,17,3,0.43415135263034127
Group1,18,3,0.43847721295683106
Group1,19,3,0.4424772280744125
Group1,20,3,0.44311431817831315
Group1,1,4,0.2807270161121796
Group1,2,4,0.2882762337008972
Group1,3,4,0.2894894352670975
Group1,4,4,0.2817972474772132
Group1,5,4,0.28786175010020437
Group1,6,4,0.2893225897306739
Group1,7,4,0.28731904393075763
Group1,8,4,0.28902709081343925
Group1,9,4,0.28559349926808664
Group1,10,4,0.2870393553674919
Group1,11,4,0.28093746184515467
Group1,12,4,0.28292139896356305
Group1,13,4,0.2818090745800926
Group1,14,4,0.28390798911951554
Group1,15,4,0.2856300242933713
Group1,16,4,0.28343745947232846
Group1,17,4,0.2835459372699302
Group1,18,4,0.2841921231266665
Group1,19,4,0.2874446223980576
Group1,20,4,0.28708987878988956
Group1,1,5,0.34503949697331665
Group1,2,5,0.3675171487299044
Group1,3,5,0.3515545929512575
Group1,4,5,0.34205258178330483
Group1,5,5,0.3473557834995767
Group1,6,5,0.3491745317001045
Group1,7,5,0.35468781940347277
Group1,8,5,0.3542976589135841
Group1,9,5,0.35061054392334146
Group1,10,5,0.3537996808399367
Group1,11,5,0.34412850309959137
Group1,12,5,0.35648310696495344
Group1,13,5,0.35057318608070825
Group1,14,5,0.35312704982344034
Group1,15,5,0.356865327756921
Group1,16,5,0.3370759002043565
Group1,17,5,0.3407340481435208
Group1,18,5,0.3362373762531706
Group1,19,5,0.35038856295632
Group1,20,5,0.34816326252952046
Group1,1,6,1.488369582059327
Group1,2,6,1.4239280550069373
Group1,3,6,1.4546603257628223
Group1,4,6,1.4491952121869363
Group1,5,6,1.4048708664823018
Group1,6,6,1.4423424384211099
Group1,7,6,1.4631486665674882
Group1,8,6,1.4834876365899095
Group1,9,6,1.4845058489305905
Group1,10,6,1.4475847275967975
Group1,11,6,1.477346461363171
Group1,12,6,1.462402076335159
Group1,13,6,1.495366052792446
Group1,14,6,1.4959469057278494
Group1,15,6,1.4408808056532254
Group1,16,6,1.491044838143615
Group1,17,6,1.454498990845106
Group1,18,6,1.4682572175332615
Group1,19,6,1.4610856700373256
Group1,20,6,1.4973854339448236
Group2,1,1,1.132444341506117
Group2,2,1,1.1189000547193761
Group2,3,1,1.1032720932815976
Group2,4,1,1.1356649950739697
Group2,5,1,1.1027998244558304
Group2,6,1,1.1295125199185259
Group2,7,1,1.1187842265764256
Group2,8,1,1.1232789853983118
Group2,9,1,1.1310415988893636
Group2,10,1,1.1629698631059964
Group2,11,1,1.1286794710217718
Group2,12,1,1.1085108139048314
Group2,13,1,1.1003037636600845
Group2,14,1,1.1226256886283412
Group2,15,1,1.1479937029404732
Group2,16,1,1.0994310773608298
Group2,17,1,1.1158747830200821
Group2,18,1,1.134158868613839
Group2,19,1,1.157996170236163
Group2,20,1,1.1307450010389037
Group2,1,2,0.6967849706434286
Group2,2,2,0.7014080387035247
Group2,3,2,0.6989782639334287
Group2,4,2,0.7043415560747504
Group2,5,2,0.7016055779625242
Group2,6,2,0.7063760873622505
Group2,7,2,0.6963858996336394
Group2,8,2,0.7065650017077473
Group2,9,2,0.7068558109673884
Group2,10,2,0.709035950109012
Group2,11,2,0.7058110472952208
