"","logFC","logCPM","F","PValue","FDR"
"SAMD11",0.22141210334753,2.69657914253508,4.94840268284047,0.0266591690778662,0.178364092476827
"NOC2L",-0.0394846946579763,4.15627591994738,1.35892442283217,0.352859611046931,0.683215026457838
"KLHL17",0.147564027379009,2.81383939680124,5.41368043272197,0.020466546104492,0.154086435958874
"HES4",-0.0367762152413108,4.64707678850157,0.206437386558842,0.649814907368866,0.887631417475325
"ISG15",-0.375262126177174,2.86278291824169,9.96694817928847,0.00171166050825191,0.0350607697501089
"AGRN",0.130166099882648,3.32064437799483,4.04021590538115,0.0450834478189686,0.241376921172044
"C1orf159",-0.102989344966636,4.66278529763418,10.23638285044,0.00148411533431165,0.0324980760685065
"SDF4",-0.0293706903606466,5.1261135763131,0.7600355311745,0.383828205093264,0.711928155905855
"B3GALT6",0.0420377602911748,2.74233880927665,0.576489076975399,0.448128590080582,0.760180331494567
"UBE2J2",-0.0865170044905035,4.81223422890733,7.82896640897915,0.00538427807546166,0.0690341367532406
"SCNN1D",-0.0534798991571384,3.95568163697377,1.14541263502143,0.285141863958585,0.617526937622925
"ACAP3",0.0231860624983269,5.73133223249296,0.256346667095792,0.61291367618555,0.866031794187641
"PUSL1",0.0356836283681495,2.00598559782591,0.272958136981025,0.650752520500518,0.888378453384176
"INTS11",-0.0613041925205659,5.20756643957374,3.65324784659031,0.0566577244303651,0.275062162519231
"CPTP",0.0614876581921131,3.03033168898659,1.72749869740019,0.189466297184959,0.512532069442238
"DVL1",0.0272197605291101,4.83327425586887,0.541550751564572,0.462212028705277,0.771417333381932
"MXRA8",-0.0921711802697658,3.43554730152907,2.26466500470187,0.133125660197017,0.435717003333884
"AURKAIP1",-0.0368821783333987,4.72124139102685,0.53206372769909,0.466157488300995,0.773828237454633
"CCNL2",-0.0404674105970643,6.56680109431664,1.60028834107947,0.206581690549661,0.532172510540628
"MRPL20-AS1",0.0200947020792901,1.97674327232898,0.0855969034355917,0.769999411613239,0.94365337519017
"MRPL20",-0.0610651757473769,5.00204616214538,2.29221089117655,0.130795952378631,0.431750056095571
"ANKRD65",-0.041675912048874,3.64734762118428,0.351143101734426,0.553793804527389,0.832786356901417
"VWA1",-0.0179568729735881,4.5027440639641,0.0783204389213179,0.779727831279164,0.947874449680125
"ATAD3B",-0.0451814732552449,4.16477021284905,0.896087002096851,0.344391298977476,0.675603061364631
