Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-504-5p,0.001073973137572438,4.2331695233529105,28.939599045606393,"['ANKRD33B', 'TXNRD1', 'CRY2', 'RORA', 'MACROD2', 'HMGN2', 'GPCPD1', 'ZNF69']",0.7082689140251597,0,0,8
2,mmu-miR-690,0.0012523230500282034,10.004134561172712,66.85518038348548,"['RANBP3L', 'VCAN', 'GPCPD1', 'LPP']",0.7082689140251597,0,0,4
3,hsa-miR-6812-3p,0.001517380158369192,5.336414790996785,34.63744109281802,"['MTMR10', 'FECH', 'CRY2', 'FANCC', 'LPP', 'KLF2']",0.7082689140251597,0,0,6
4,mmu-miR-680,0.00158999671936001,84.5968253968254,545.1439161667287,"['VCAN', 'SLC17A5']",0.7082689140251597,0,0,2
5,hsa-miR-323b-3p,0.001756001056262446,6.454933954933955,40.95472391924507,"['TMEM184B', 'TFCP2', 'ZNF117', 'COL9A2', 'CREB5']",0.7082689140251597,0,0,5
6,hsa-miR-3675-3p,0.0018215231393703209,3.510478158205431,22.144384917106706,"['NR4A2', 'LETM1', 'PTCHD1', 'ARRDC3', 'OTULIN', 'FZD9', 'FLYWCH2', 'RREB1', 'TTC28']",0.7082689140251597,0,0,9
7,hsa-miR-5187-3p,0.0027593891753257146,5.755370755370755,33.91493763483683,"['PHF3', 'SAMD4A', 'MARCH6', 'TEAD1', 'LPP']",0.9163701261764484,0,0,5
8,hsa-miR-6782-5p,0.0031422893310808346,3.936460101867572,22.685046676128337,"['MDK', 'ARHGAP29', 'PNPLA6', 'TLN1', 'LPP', 'RREB1', 'GLIS2']",0.9163701261764484,0,0,7
9,hsa-miR-454-5p,0.003745207967220909,5.3225160256410255,29.73837739508331,"['LMBR1L', 'DDX17', 'KCNJ10', 'AP3B2', 'KLF2']",0.9416976648666712,0,0,5
10,hsa-miR-6883-3p,0.004528436453979314,5.068299755799756,27.355532400676037,"['LMBR1L', 'DDX17', 'KCNJ10', 'NEBL', 'AP3B2']",0.9416976648666712,0,0,5
11,mmu-miR-376c-3p,0.004866419803940212,6.536741214057508,34.81074051786208,"['FZD3', 'XPO1', 'KCNJ10', 'RRAGD']",0.9416976648666712,0,0,4
12,hsa-miR-4786-3p,0.005558541636279167,3.517267552182163,18.263128627335448,"['LMBR1L', 'ANKRD24', 'ARHGAP29', 'RORA', 'MACROD2', 'SIK2', 'COL9A2']",0.9416976648666712,0,0,7
13,hsa-miR-589-3p,0.006932942018043668,3.817632096750972,18.97924734257459,"['LMBR1L', 'BDNF-AS', 'NAT10', 'ZNF844', 'ARHGAP27', 'RREB1']",0.9416976648666712,0,0,6
14,hsa-miR-548c-3p,0.007373269839713947,1.9494656318585197,9.571669613520074,"['KCNE4', 'ATF7IP2', 'GSR', 'HMGB2', 'ARHGAP29', 'HAUS3', 'PARVB', 'KLF2', 'PHF21A', 'TTC28', 'NR4A2', 'MRAS', 'NFIB', 'DLC1', 'OTULIN', 'CPNE3', 'HMGN2', 'RREB1', 'NUCB2']",0.9416976648666712,0,0,19
15,hsa-miR-218-5p,0.007766097393142767,1.7137782264130799,8.32551321331523,"['MTMR10', 'STAU1', 'PDCD6', 'ODC1', 'USP34', 'HMGB2', 'MTR', 'RORA', 'KLHL13', 'RPS6KA3', 'SACS', 'ARSG', 'RREB1', 'SEC31A', 'DDX17', 'NUP210', 'MBOAT2', 'ELOVL6', 'AIG1', 'VCAN', 'SETBP1', 'POLR1A', 'MFAP3', 'EIF3E', 'SIK2', 'TLN1', 'RHOQ', 'FERMT2']",0.9416976648666712,0,0,28
16,hsa-miR-1270,0.008405693696306038,3.65319246669729,17.45804414007571,"['FZD9', 'PDE4DIP', 'LPP', 'LRPPRC', 'SHISA6', 'FARSB']",0.9416976648666712,0,0,6
17,hsa-miR-548as-3p,0.008749588911614526,2.7127995244192427,12.855274843290651,"['NUDT7', 'COL12A1', 'GSR', 'OTULIN', 'LCOR', 'MBOAT2', 'HMGN2', 'KLF2', 'AJAP1']",0.9416976648666712,0,0,9
18,mmu-miR-712-5p,0.00938228929204929,5.30870607028754,24.785984914880668,"['SCFD2', 'GPR35', 'NFIB', 'NOL3']",0.9416976648666712,0,0,4
19,mmu-miR-1190,0.010463436491861407,16.914285714285715,77.12691588498691,"['C7ORF50', 'CREB5']",0.9416976648666712,0,0,2
20,mmu-miR-1955-3p,0.010568295725716518,7.47920569501686,34.02961352745308,"['KCNJ10', 'LPP', 'SLC5A3']",0.9416976648666712,0,0,3
21,mmu-miR-3096b-5p,0.010568295725716518,7.47920569501686,34.02961352745308,"['RANBP3L', 'GPCPD1', 'LPP']",0.9416976648666712,0,0,3
