Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Protein digestion and absorption,0.00035028196696094553,3.9728965087987325,31.6114321289019,"['COL27A1', 'COL5A1', 'COL11A1', 'COL12A1', 'COL23A1', 'COL5A2', 'COL21A1', 'ATP1B3', 'PRCP', 'COL9A2', 'SLC38A2']",0.09948007861690854,0,0,11
2,cGMP-PKG signaling pathway,0.026119136661307468,1.9367378048780488,7.0595778490106635,"['VASP', 'PPP1R12A', 'IRS1', 'NFATC2', 'ATP1B3', 'CACNA1D', 'ATP2B2', 'ADCY8', 'MYLK', 'PPP3CB', 'ADORA1', 'KCNMB3', 'CREB5']",0.9997481836555506,0,0,13
3,Mismatch repair,0.03595365462022099,3.6307386645852553,12.0741105330739,"['POLD3', 'RFC3', 'MSH2', 'MLH3']",0.9997481836555506,0,0,4
4,Tyrosine metabolism,0.04095618850386546,4.626144578313253,14.781699366223426,"['DCT', 'MAOA', 'FAH']",0.9997481836555506,0,0,3
5,Arachidonic acid metabolism,0.05531266833275498,3.0854041013269,8.93148374399626,"['CBR1', 'TBXAS1', 'PLA2G5', 'PTGDS']",0.9997481836555506,0,0,4
6,Aldosterone synthesis and secretion,0.06250859910152648,1.99366568914956,5.527340724781857,"['NR4A2', 'NR4A1', 'CYP11A1', 'ATP1B3', 'CACNA1D', 'ATP2B2', 'ADCY8', 'CREB5']",0.9997481836555506,0,0,8
7,Glycerophospholipid metabolism,0.07140747150863895,1.9310606060606061,5.096750163763193,"['MBOAT2', 'PLA2G5', 'PNPLA6', 'GPCPD1', 'LPIN2', 'PLPP1', 'AGPAT3', 'SELENOI']",0.9997481836555506,0,0,8
8,RNA degradation,0.07140747150863895,1.9310606060606061,5.096750163763193,"['EXOSC7', 'BTG1', 'EXOSC9', 'DHX36', 'WDR61', 'NUDT16', 'PFKP', 'MPHOSPH6']",0.9997481836555506,0,0,8
9,Cortisol synthesis and secretion,0.08686623113847686,2.2689329354930377,5.543878780582043,"['NR4A1', 'CYP11A1', 'CACNA1D', 'ADCY8', 'CREB5']",0.9997481836555506,0,0,5
10,Insulin secretion,0.08829528925716633,1.9299334140435835,4.6840806389574,"['PCLO', 'ABCC8', 'KCNMB3', 'ATP1B3', 'CACNA1D', 'ADCY8', 'CREB5']",0.9997481836555506,0,0,7
11,Antigen processing and presentation,0.09455251445350543,2.2039337474120084,5.198197894937304,"['PSME2', 'HSPA2', 'CALR', 'HLA-E', 'LGMN']",0.9997481836555506,0,0,5
12,"Glycine, serine and threonine metabolism",0.10749004565724089,2.3722742878352046,5.291018645018091,"['GLDC', 'MAOA', 'CHDH', 'SDSL']",0.9997481836555506,0,0,4
13,Mineral absorption,0.11091941264059037,2.084475780127954,4.583660838240554,"['FTH1', 'ATP1B3', 'SLC30A1', 'ATP2B2', 'CLCN2']",0.9997481836555506,0,0,5
14,Nitrogen metabolism,0.12104156726082332,3.851083032490975,8.132028810430006,"['CA12', 'GLUD1']",0.9997481836555506,0,0,2
15,Platelet activation,0.1268054029163595,1.6687960687960688,3.4462334786982383,"['VASP', 'RAP1A', 'PPP1R12A', 'TBXAS1', 'TLN1', 'ADCY8', 'RASGRP1', 'MYLK']",0.9997481836555506,0,0,8
16,DNA replication,0.1284861128542751,2.202481475099087,4.519347617898596,"['POLD3', 'RNASEH2C', 'RFC3', 'MCM5']",0.9997481836555506,0,0,4
17,Tight junction,0.1472064242518969,1.4771395324235692,2.830080331913293,"['VASP', 'IGSF5', 'RAP1A', 'PPP2R2C', 'PPP2R2B', 'CACNA1D', 'AMOTL2', 'AMOTL1', 'ACTR3B', 'JAM2', 'JAM3']",0.9997481836555506,0,0,11
18,Type II diabetes mellitus,0.15103247592131597,2.055327704061118,3.8851045535511477,"['IRS1', 'ABCC8', 'CACNA1A', 'CACNA1D']",0.9997481836555506,0,0,4
19,Aminoacyl-tRNA biosynthesis,0.16271191589185727,2.311265060240964,4.19673507055134,"['MTFMT', 'EARS2', 'FARSB']",0.9997481836555506,0,0,3
20,Protein export,0.16271191589185727,2.311265060240964,4.19673507055134,"['SRP72', 'SEC62', 'SEC11A']",0.9997481836555506,0,0,3
21,Ubiquitin mediated proteolysis,0.17056365355284542,1.4270379684720604,2.523926018414557,"['DDB1', 'UBA7', 'UBE2Q2', 'FBXO2', 'CDC27', 'UBR5', 'UBE2D1', 'UBE3B', 'KLHL13', 'PIAS1', 'RHOBTB2']",0.9997481836555506,0,0,11
22,Purine metabolism,0.1770847557851114,1.4774194381326173,2.557600406021214,"['ENTPD5', 'ENPP4', 'AK4', 'AMPD2', 'NUDT16', 'AMPD3', 'ADCY8', 'PDE7A', 'AK9']",0.9997481836555506,0,0,9
23,Thyroid hormone synthesis,0.17760892803451878,1.7518939393939394,3.027572615115967,"['GSR', 'ATP1B3', 'TTF2', 'ADCY8', 'CREB5']",0.9997481836555506,0,0,5
24,Cell adhesion molecules,0.18099204729274412,1.5647261115205109,2.6745897633682247,"['IGSF11', 'NTNG2', 'VCAN', 'NECTIN3', 'JAM2', 'HLA-E', 'JAM3']",0.9997481836555506,0,0,7
25,Thyroid hormone signaling pathway,0.18414668068410153,1.4617526826775677,2.473318664334997,"['NOTCH2', 'NCOA1', 'THRB', 'MED13', 'PLCE1', 'ATP1B3', 'PLCD4', 'PFKP', 'PLCD1']",0.9997481836555506,0,0,9
26,Arginine biosynthesis,0.18641285970795554,2.8001312766655726,4.703636407342651,"['GLUD1', 'ACY1']",0.9997481836555506,0,0,2
27,Selenocompound metabolism,0.18641285970795554,2.8001312766655726,4.703636407342651,"['TXNRD1', 'MTR']",0.9997481836555506,0,0,2
28,Glutathione metabolism,0.18736656497219586,1.86804108637643,3.128386626740582,"['ODC1', 'GSR', 'LAP3', 'PRDX6']",0.9997481836555506,0,0,4
29,Ether lipid metabolism,0.20981490615277404,2.009324253535883,3.1376191696950895,"['PLA2G5', 'PLPP1', 'SELENOI']",0.9997481836555506,0,0,3
30,Glyoxylate and dicarboxylate metabolism,0.20981490615277404,2.009324253535883,3.1376191696950895,"['MCEE', 'GLDC', 'ACO1']",0.9997481836555506,0,0,3
31,Arginine and proline metabolism,0.2129900328626145,1.7610201619851802,2.7234351294723798,"['MAOA', 'ODC1', 'LAP3', 'L3HYPDH']",0.9997481836555506,0,0,4
32,Gastric acid secretion,0.22112011804351767,1.6053995571658615,2.422626924740964,"['KCNJ10', 'KCNJ16', 'ATP1B3', 'ADCY8', 'MYLK']",0.9997481836555506,0,0,5
33,D-Glutamine and D-glutamate metabolism,0.2227933136689829,5.1306089743589745,7.703664692413817,['GLUD1'],0.9997481836555506,0,0,1
34,Inositol phosphate metabolism,0.2241777760303934,1.5162051261720222,2.2672056311622506,"['IPPK', 'ISYNA1', 'INPP5D', 'PLCE1', 'PLCD4', 'PLCD1']",0.9997481836555506,0,0,6
35,Fat digestion and absorption,0.2321983479438211,2.3689715819679718,3.45908542087191,"['PLA2G5', 'PLPP1']",0.9997481836555506,0,0,2
36,Glycerolipid metabolism,0.23950941366180672,1.665569067257849,2.3803689477324226,"['MBOAT2', 'LPIN2', 'PLPP1', 'AGPAT3']",0.9997481836555506,0,0,4
37,Pancreatic secretion,0.2674421662968692,1.4814427722036418,1.9538036693497969,"['RAP1A', 'ATP1B3', 'ATP2B2', 'PLA2G5', 'ADCY8']",0.9997481836555506,0,0,5
38,Folate biosynthesis,0.2785578871444189,2.052787805856398,2.6237284218124106,"['CBR1', 'GPHN']",0.9997481836555506,0,0,2
39,Proximal tubule bicarbonate reclamation,0.2785578871444189,2.052787805856398,2.6237284218124106,"['GLUD1', 'ATP1B3']",0.9997481836555506,0,0,2
40,Nucleotide excision repair,0.2805517022327297,1.5402895054282268,1.9577037245545532,"['POLD3', 'DDB1', 'RFC3', 'GTF2H3']",0.9997481836555506,0,0,4
41,RIG-I-like receptor signaling pathway,0.2805517022327297,1.5402895054282268,1.9577037245545532,"['TRAF3', 'DHX58', 'TRIM25', 'ISG15']",0.9997481836555506,0,0,4
42,cAMP signaling pathway,0.28654283142045733,1.2469854730213252,1.5585663103788567,"['OXTR', 'RAP1A', 'PPP1R12A', 'ADORA1', 'PLCE1', 'ATP1B3', 'CACNA1D', 'ATP2B2', 'GLI1', 'ADCY8', 'CREB5']",0.9997481836555506,0,0,11
43,Cardiac muscle contraction,0.29136408340672343,1.4263508677759886,1.7589497139123524,"['MYL3', 'ATP1B3', 'CACNA1D', 'UQCRC2', 'UQCR10']",0.9997481836555506,0,0,5
44,One carbon pool by folate,0.3017029349289704,1.924338146811071,2.305958272532593,"['MTFMT', 'MTR']",0.9997481836555506,0,0,2
45,Phenylalanine metabolism,0.3148394822033179,3.0778846153846153,3.557087705240255,['MAOA'],0.9997481836555506,0,0,1
46,Phosphonate and phosphinate metabolism,0.3148394822033179,3.0778846153846153,3.557087705240255,['SELENOI'],0.9997481836555506,0,0,1
47,Calcium signaling pathway,0.31677660163742033,1.2109749739311784,1.3920865506377003,"['PDGFRB', 'OXTR', 'PPP3CB', 'PLCE1', 'CACNA1A', 'CACNA1D', 'ATP2B2', 'ADCY8', 'PLCD4', 'PLCD1', 'MYLK']",0.9997481836555506,0,0,11
48,Necroptosis,0.3203044486219481,1.2837974172719935,1.461581963206827,"['RNF31', 'GLUD1', 'PYGB', 'IL33', 'FTH1', 'CAPN2', 'HMGB1']",0.9997481836555506,0,0,7
49,Focal adhesion,0.32445167933966085,1.2022915911718521,1.353321852152744,"['VASP', 'PDGFRB', 'RAP1A', 'PPP1R12A', 'SHC1', 'CAPN2', 'ITGA7', 'PARVB', 'COL9A2', 'TLN1', 'MYLK']",0.9997481836555506,0,0,11
50,Cushing syndrome,0.32960215577121255,1.2449341903887359,1.3817137907547403,"['NR4A1', 'FZD3', 'RAP1A', 'CYP11A1', 'FZD9', 'CACNA1D', 'ADCY8', 'CREB5']",0.9997481836555506,0,0,8
51,Glutamatergic synapse,0.3302962551047966,1.268594217347956,1.4053046341079514,"['GRK3', 'PPP3CB', 'CACNA1A', 'CACNA1D', 'DLGAP1', 'ADCY8', 'SLC38A2']",0.9997481836555506,0,0,7
52,Lysosome,0.33888350966227015,1.2323878787878788,1.3335655186779571,"['SCARB2', 'AP1B1', 'SLC17A5', 'TPP1', 'AP3B1', 'ARSG', 'AP3B2', 'LGMN']",0.9997481836555506,0,0,8
53,Systemic lupus erythematosus,0.34752314801512807,1.7102553817355262,1.8076099645628105,"['RO60', 'SNRPD1']",0.9997481836555506,0,0,2
54,Porphyrin and chlorophyll metabolism,0.3700674219257302,1.6201152701247703,1.6105080975885442,"['FECH', 'EARS2']",0.9997481836555506,0,0,2
55,Protein processing in endoplasmic reticulum,0.37122094347403606,1.1526722611185594,1.1422496356203975,"['FBXO2', 'DNAJB11', 'HSPA4L', 'SEL1L', 'CAPN2', 'EIF2AK3', 'UBE2D1', 'HSPA2', 'CALR', 'SEC62', 'SEC31A']",0.9997481836555506,0,0,11
56,Regulation of actin cytoskeleton,0.37122094347403606,1.1526722611185594,1.1422496356203975,"['CYFIP2', 'ENAH', 'PDGFRB', 'MRAS', 'PPP1R12A', 'SPATA13', 'ITGA7', 'IQGAP1', 'ACTR3B', 'MYLK', 'ARHGEF6']",0.9997481836555506,0,0,11
57,Vascular smooth muscle contraction,0.38522443697152486,1.2155221790873798,1.1595220529268078,"['PPP1R12A', 'KCNMB3', 'CACNA1D', 'PLA2G5', 'ADCY8', 'MYLK']",0.9997481836555506,0,0,6
58,Adrenergic signaling in cardiomyocytes,0.38574863943736465,1.1732409812409812,1.1175933575996588,"['PPP2R2C', 'PPP2R2B', 'MYL3', 'ATP1B3', 'CACNA1D', 'ATP2B2', 'ADCY8', 'CREB5']",0.9997481836555506,0,0,8
59,Butanoate metabolism,0.39229474193571,1.5389891696750904,1.4400965404864141,"['OXCT1', 'L2HGDH']",0.9997481836555506,0,0,2
60,Linoleic acid metabolism,0.3959959476785821,2.1981456043956045,2.0362550402322572,['PLA2G5'],0.9997481836555506,0,0,1
61,Renin-angiotensin system,0.3959959476785821,2.1981456043956045,2.0362550402322572,['PRCP'],0.9997481836555506,0,0,1
62,Synthesis and degradation of ketone bodies,0.3959959476785821,2.1981456043956045,2.0362550402322572,['OXCT1'],0.9997481836555506,0,0,1
63,PPAR signaling pathway,0.4072288018981873,1.2564929469978583,1.1288082401113235,"['CYP27A1', 'CPT2', 'FABP5', 'PLIN2']",0.9997481836555506,0,0,4
64,Ribosome biogenesis in eukaryotes,0.41408650864042257,1.2025400060386473,1.0602559161614442,"['XPO1', 'HEATR1', 'MPHOSPH10', 'NAT10', 'MDN1']",0.9997481836555506,0,0,5
65,Amphetamine addiction,0.42120920463019357,1.2312665862484922,1.0645846670568906,"['PPP3CB', 'MAOA', 'CACNA1D', 'CREB5']",0.9997481836555506,0,0,4
66,Arrhythmogenic right ventricular cardiomyopathy,0.42120920463019357,1.2312665862484922,1.0645846670568906,"['ACTN2', 'CTNNA1', 'ITGA7', 'CACNA1D']",0.9997481836555506,0,0,4
67,AMPK signaling pathway,0.4214027458302913,1.1463216732780381,0.9906125150588242,"['PPP2R2C', 'IRS1', 'CAB39L', 'PPP2R2B', 'LEPR', 'PFKP', 'CREB5']",0.9997481836555506,0,0,7
68,GABAergic synapse,0.4263372941358576,1.1839464882943145,1.009343359220189,"['CACNA1A', 'CACNA1D', 'ADCY8', 'SLC38A2', 'GPHN']",0.9997481836555506,0,0,5
69,Leukocyte transendothelial migration,0.4263372941358576,1.1839464882943145,1.009343359220189,"['VASP', 'RAP1A', 'CTNNA1', 'JAM2', 'JAM3']",0.9997481836555506,0,0,5
70,Regulation of lipolysis in adipocytes,0.4286669978882286,1.282429718875502,1.0863140132728215,"['IRS1', 'ADORA1', 'ADCY8']",0.9997481836555506,0,0,3
