Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Tyrosine metabolism,0.011589188207031396,7.670175438596491,34.191208102547094,"['DCT', 'MAOA', 'FAH']",0.9999440970760968,0,0,3
2,Arachidonic acid metabolism,0.011775849877390419,5.11953125,22.739444813165328,"['CBR1', 'TBXAS1', 'PLA2G5', 'PTGDS']",0.9999440970760968,0,0,4
3,Mismatch repair,0.04313095638134198,4.258609486679662,13.386999794710293,"['POLD3', 'RFC3', 'MSH2']",0.9999440970760968,0,0,3
4,Glutathione metabolism,0.04993628454387485,3.0996685606060606,9.289729599111524,"['ODC1', 'GSR', 'LAP3', 'PRDX6']",0.9999440970760968,0,0,4
5,Nitrogen metabolism,0.05254688244984763,6.38035019455253,18.796827556801105,"['CA12', 'GLUD1']",0.9999440970760968,0,0,2
6,Aminoacyl-tRNA biosynthesis,0.054353697656019107,3.8321637426900583,11.16019063032053,"['MTFMT', 'EARS2', 'FARSB']",0.9999440970760968,0,0,3
7,Protein export,0.054353697656019107,3.8321637426900583,11.16019063032053,"['SRP72', 'SEC62', 'SEC11A']",0.9999440970760968,0,0,3
8,RNA degradation,0.05454931417184159,2.3279857397504458,6.771296046098599,"['EXOSC7', 'EXOSC9', 'DHX36', 'WDR61', 'NUDT16', 'MPHOSPH6']",0.9999440970760968,0,0,6
9,Arginine and proline metabolism,0.058677620759746,2.922098214285714,8.286184767522153,"['MAOA', 'ODC1', 'LAP3', 'L3HYPDH']",0.9999440970760968,0,0,4
10,Antigen processing and presentation,0.06333424423159541,2.8407118055555554,7.838458786681136,"['PSME2', 'CALR', 'HLA-E', 'LGMN']",0.9999440970760968,0,0,4
11,Glyoxylate and dicarboxylate metabolism,0.07350114175161049,3.3315535214848717,8.69686834526612,"['MCEE', 'GLDC', 'ACO1']",0.9999440970760968,0,0,3
12,Nucleotide excision repair,0.08381614394080662,2.555859375,6.336306736298493,"['POLD3', 'DDB1', 'RFC3', 'GTF2H3']",0.9999440970760968,0,0,4
13,RIG-I-like receptor signaling pathway,0.08381614394080662,2.555859375,6.336306736298493,"['TRAF3', 'DHX58', 'TRIM25', 'ISG15']",0.9999440970760968,0,0,4
14,Arginine biosynthesis,0.08457787931050212,4.639193491333569,11.459190751841916,"['GLUD1', 'ACY1']",0.9999440970760968,0,0,2
15,Selenocompound metabolism,0.08457787931050212,4.639193491333569,11.459190751841916,"['TXNRD1', 'MTR']",0.9999440970760968,0,0,2
16,"Glycine, serine and threonine metabolism",0.10295356832798816,2.8371236733809835,6.450135943369562,"['GLDC', 'MAOA', 'SDSL']",0.9999440970760968,0,0,3
17,Lysosome,0.11484537838089416,1.773522145927756,3.8382009239018653,"['SCARB2', 'AP1B1', 'TPP1', 'AP3B1', 'ARSG', 'AP3B2', 'LGMN']",0.9999440970760968,0,0,7
18,DNA replication,0.11916822270283489,2.6410566646501312,5.618106307878634,"['POLD3', 'RFC3', 'MCM5']",0.9999440970760968,0,0,3
19,Ribosome biogenesis in eukaryotes,0.11961178341107012,1.9970034246575343,4.240644598146844,"['XPO1', 'HEATR1', 'MPHOSPH10', 'NAT10', 'MDN1']",0.9999440970760968,0,0,5
20,Necroptosis,0.13022265770471456,1.8049826989619377,3.6794744550476985,"['RNF31', 'GLUD1', 'PYGB', 'IL33', 'FTH1', 'HMGB1']",0.9999440970760968,0,0,6
21,Folate biosynthesis,0.13375998031644476,3.4010376134889753,6.841895516769068,"['CBR1', 'GPHN']",0.9999440970760968,0,0,2
22,Glycerophospholipid metabolism,0.13631254227861814,1.9071472383678476,3.800572409054174,"['MBOAT2', 'PLA2G5', 'GPCPD1', 'AGPAT3', 'SELENOI']",0.9999440970760968,0,0,5
23,PPAR signaling pathway,0.13983277365217586,2.084980867346939,4.101799632414822,"['CYP27A1', 'CPT2', 'FABP5', 'PLIN2']",0.9999440970760968,0,0,4
24,D-Glutamine and D-glutamate metabolism,0.1429422467462055,8.493851132686084,16.523212611904267,['GLUD1'],0.9999440970760968,0,0,1
25,One carbon pool by folate,0.14688559378766164,3.188229571984436,6.115347187149595,"['MTFMT', 'MTR']",0.9999440970760968,0,0,2
26,Systemic lupus erythematosus,0.1738427123860079,2.8335495028102033,4.957590508806752,"['RO60', 'SNRPD1']",0.9999440970760968,0,0,2
27,Porphyrin and chlorophyll metabolism,0.18760184933752666,2.6842105263157894,4.491847505985033,"['FECH', 'EARS2']",0.9999440970760968,0,0,2
28,Cysteine and methionine metabolism,0.20154838924100785,2.0141582025238534,3.2261291206173657,"['AHCY', 'MTR', 'SDSL']",0.9999440970760968,0,0,3
29,Phenylalanine metabolism,0.20657189933453954,5.095533980582524,8.036201017211301,['MAOA'],0.9999440970760968,0,0,1
30,Phosphonate and phosphinate metabolism,0.20657189933453954,5.095533980582524,8.036201017211301,['SELENOI'],0.9999440970760968,0,0,1
31,Mineral absorption,0.21142062583875149,1.9623631728894886,3.0493272069437047,"['FTH1', 'ATP2B2', 'CLCN2']",0.9999440970760968,0,0,3
32,Hepatitis C,0.2248224770399934,1.5021914648212227,2.2419369076085585,"['RSAD2', 'PPP2R2C', 'TRAF3', 'PPP2R2B', 'EIF2AK3', 'EIF3E']",0.9999440970760968,0,0,6
33,Protein processing in endoplasmic reticulum,0.24914406539379313,1.3623097112860891,1.893234465718138,"['DNAJB11', 'HSPA4L', 'SEL1L', 'EIF2AK3', 'UBE2D1', 'CALR', 'SEC62', 'SEC31A']",0.9999440970760968,0,0,8
34,Ether lipid metabolism,0.257961748503588,2.124189364461738,2.87815756343428,"['PLA2G5', 'SELENOI']",0.9999440970760968,0,0,2
35,Linoleic acid metabolism,0.26548603405202886,3.639112343966713,4.826165470077196,['PLA2G5'],0.9999440970760968,0,0,1
36,Phototransduction,0.2932848204093306,3.183980582524272,3.905505793604477,['GUCA1B'],0.9999440970760968,0,0,1
37,RNA transport,0.31554765684783376,1.2849147008522848,1.4820791522983312,"['CYFIP2', 'XPO1', 'NUP210', 'CLNS1A', 'EIF4EBP2', 'EIF3E', 'AAAS']",0.9999440970760968,0,0,7
38,alpha-Linolenic acid metabolism,0.3200334802921868,2.8299892125134845,3.2242906550740043,['PLA2G5'],0.9999440970760968,0,0,1
39,Base excision repair,0.3286676764158998,1.7572789480746007,1.9553385911667693,"['POLD3', 'HMGB1']",0.9999440970760968,0,0,2
40,Allograft rejection,0.34577160899473963,2.5467961165048543,2.704638419321086,['HLA-E'],0.9999440970760968,0,0,1
