Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,RUNX1 (human),0.004883252645710198,1.3429374994489653,7.147037839066697,"['SLC46A3', 'DSCC1', 'GPATCH2', 'TESK2', 'TSEN2', 'WDR89', 'ANTXR1', 'CCDC102B', 'TM7SF2', 'ALKBH3', 'FAM110B', 'EPHB2', 'TMEM8B', 'HMGN1', 'MORC4', 'NUP210', 'PAQR4', 'TYW3', 'ARRDC3', 'ARMC9', 'SHQ1', 'ZW10', 'MYL3', 'DNAJB11', 'RABL3', 'SNRPF', 'UQCRC2', 'UBA7', 'ABHD4', 'SHC1', 'SP140', 'HSPA4L', 'SEL1L', 'CACNA1A', 'WDR61', 'PLA2G5', 'MRO', 'SULT1A1', 'ADAP2', 'SCFD2', 'CYP11A1', 'DHX36', 'SERPINH1', 'DHX37', 'UTP20', 'AMZ2', 'ST3GAL3', 'SEC31A', 'NTNG2', 'ANKRD26', 'EIF2AK3', 'RAB27A', 'ARHGAP27', 'MOV10', 'PKIB', 'DCHS2', 'TBXAS1', 'NDUFAF2', 'MPHOSPH10', 'TPP1', 'FAT3', 'MYCBPAP', 'LGMN', 'PIWIL2', 'PYGB', 'PPP1R13B', 'MTMR12', 'SLC44A2', 'ATF7IP2', 'CELF6', 'AP2A1', 'HMGB1', 'XPO1', 'CPT2', 'TRIM4', 'SNAP29', 'DGCR2', 'SLC13A3', 'MRPS27', 'GPR35', 'WDR35', 'DDB1', 'DNAJC7', 'TRAF3', 'ZNF239', 'ZNF117', 'TLCD1', 'SGK2', 'RNF31', 'ITIH4', 'DNAH1', 'AHCY', 'ATP2C1', 'AGPAT3', 'ERICH1', 'KIAA0355', 'EXOSC9', 'BAHD1', 'MEST', 'SEC11A', 'LMLN', 'GDF10', 'CADPS', 'AIG1', 'S100B', 'APTX', 'ENOX1', 'FABP5', 'PPP2R2B', 'EIF3L', 'CD9', 'C16ORF89']",0.7758567511804164,0,0,112
2,SMARCA2 (human),0.007496590389660203,1.4641205099916872,7.164391106008992,"['SCARB2', 'CYFIP2', 'LMBR1L', 'SLC46A3', 'PPP1R13B', 'MTMR12', 'HMGB2', 'CELF6', 'AP2A1', 'TTF2', 'WDR89', 'GPR89B', 'XPO1', 'TRIM4', 'AIFM2', 'DHX57', 'CHCHD6', 'FAM110B', 'TRIM69', 'ZNF844', 'NUDT16', 'HMGN2', 'PTGDS', 'TMEM8B', 'ZNF682', 'ZNF362', 'RSAD2', 'TNNI3K', 'AMPD3', 'TERF1', 'DNAJC7', 'SETBP1', 'PPDPF', 'RABL3', 'ITGA7', 'SNRPF', 'DNAH1', 'LMAN2L', 'SHC1', 'TUBD1', 'ACTR3B', 'SLC25A28', 'BAHD1', 'ZNF626', 'ANO10', 'C2ORF76', 'RNF20', 'CADPS', 'ZNF77', 'AIG1', 'APTX', 'CLK3', 'ACBD3', 'PLCD1', 'LGMN']",0.7758567511804164,0,0,55
3,SOX9 (human),0.00818960525714239,3.7546628407460547,18.04074036152782,"['FASTKD2', 'PPP2R2B', 'TTC4', 'TRIM26', 'HLA-E', 'PATL2']",0.7758567511804164,0,0,6
4,PPARG::RXRA (mouse),0.013233827785998901,17.020752269779507,73.614396411396,"['PRSS35', 'MYLK']",0.7758567511804164,0,0,2
5,NFKB1 (mouse),0.018184001628590962,1.3012622823358746,5.214435268047025,"['SEMA5A', 'CYFIP2', 'MTFMT', 'ACY1', 'MTMR12', 'AVIL', 'N4BP2L1', 'AP2A1', 'WDR89', 'DUSP15', 'VSIG10', 'GPHN', 'TM7SF2', 'IPO5', 'ALKBH3', 'MCEE', 'CPT2', 'ADAMTSL4', 'ZMIZ1', 'CAPN5', 'PALM', 'TRIM25', 'CPNE3', 'NUDT16', 'HMGN2', 'PTGDS', 'HMGN1', 'H2AFY', 'PAQR4', 'ABCC8', 'TERF1', 'SHQ1', 'CCDC80', 'OAF', 'ZW10', 'PPDPF', 'MYL3', 'RABL3', 'MAL', 'MCM5', 'TMEM106A', 'TRIM56', 'IPPK', 'AHCY', 'FECH', 'SHC1', 'SMYD5', 'SP140', 'NTN5', 'PLA2G5', 'UQCR10', 'DDX60', 'AAAS', 'CLCN2', 'AGPAT3', 'GLIS2', 'EXOSC7', 'PDZD2', 'GMDS', 'EXOSC9', 'BAHD1', 'SERPINH1', 'AMZ2', 'ST3GAL3', 'ANKRD29', 'ANKRD24', 'TXNRD1', 'TMEM192', 'PARVB', 'GTF2H3', 'GPN1', 'DCBLD1', 'ENOX1', 'LETM1', 'MOV10', 'PKIB', 'EIF3M', 'FUBP3', 'DNAJA4', 'MPHOSPH10', 'AMOTL1', 'CALR', 'ACBD3', 'GLIPR1L2', 'PLCD1', 'NUCB2', 'FERMT2', 'LGMN']",0.7758567511804164,0,0,88
6,CPEB1 (human),0.02015593870794299,4.264973958333333,16.65155148476695,"['ANKRD26', 'AIFM2', 'RAB27A', 'UQCR10']",0.7758567511804164,0,0,4
7,MZF1 5-13 (human),0.02487137752969323,1.9924731182795699,7.360270682640149,"['CYFIP2', 'CA12', 'ANKRD26', 'PRKDC', 'SHC1', 'TTC4', 'ODC1', 'KREMEN1', 'TRIM26', 'ME2', 'DCBLD1', 'HLA-E']",0.7758567511804164,0,0,12
8,PGR (human),0.028190988608222067,1.3988196572466236,4.99204171537825,"['SCARB2', 'CHODL', 'GLDC', 'NAT10', 'TUBD1', 'NTN5', 'DDX60L', 'MRO', 'ATP2C1', 'LIAS', 'DDX60', 'DTX4', 'CCDC102B', 'SULT1A1', 'KIAA0355', 'ORC3', 'PLAGL1', 'ANO10', 'EIF4EBP2', 'UPP2', 'EPHB2', 'HERC6', 'NTNG2', 'METAP1D', 'SLC13A3', 'H2AFY', 'ABCC8', 'ARMCX5-GPRASP2', 'TXNRD1', 'PHF11', 'ARMC9', 'MBOAT2', 'ARHGAP27', 'S100B', 'LRPPRC', 'CLK3', 'CCDC80', 'PPP2R2C', 'PPP2R2B', 'COL5A2', 'ALDH1A1', 'TPP1', 'SGK2']",0.7758567511804164,0,0,43
9,MEF2A (human),0.030699637260475306,1.2728480132922164,4.433971705848517,"['SLC46A3', 'FASTKD2', 'ATF7IP2', 'GPATCH2', 'HMGB2', 'TESK2', 'MRPS10', 'DDX60L', 'CELF6', 'TTF2', 'SIPA1L2', 'AFF3', 'WDR89', 'GPR89B', 'VSIG10', 'DCAF7', 'MYLK', 'RGS5', 'AIFM2', 'FAM110B', 'TRIM69', 'UPP2', 'TRIM26', 'CPNE3', 'EPHB2', 'PAAF1', 'DFFA', 'SLC30A9', 'RFC3', 'RSAD2', 'H2AFY', 'ACOT11', 'AP3B1', 'C6ORF62', 'HLA-E', 'PATL2', 'CYP27A1', 'C12ORF45', 'POLR1A', 'IVD', 'CRY2', 'ZNF239', 'LAP3', 'ZNF28', 'AHCY', 'LMAN2L', 'HEATR1', 'CACNA1A', 'DDX60', 'ACTR3B', 'STYXL1', 'SULT1A1', 'EPB41L5', 'C7ORF50', 'BGLAP', 'CYP11A1', 'EXOSC9', 'PLAGL1', 'EP400', 'ANO10', 'EIF4EBP2', 'ARSG', 'MEST', 'ST3GAL3', 'JAM3', 'RNF20', 'ANKRD29', 'C11ORF65', 'TXNRD1', 'RANBP17', 'PHF11', 'PARVB', 'AIG1', 'GPN1', 'PARP12', 'PKIB', 'SCCPDH', 'PPP2R2B', 'MPHOSPH10', 'FAT3', 'PLCD1', 'LGMN', 'MPHOSPH6']",0.7758567511804164,0,0,83
10,FOS (human),0.035086164308592634,1.379906661552231,4.622616120552945,"['IPPK', 'LMBR1L', 'ITIH4', 'DNAH1', 'LMAN2L', 'ACY1', 'INTU', 'MTMR12', 'FECH', 'SMYD5', 'GLDC', 'SDSL', 'GPR89B', 'C7ORF50', 'ENDOU', 'ADAP2', 'ADAMTSL4', 'CYP11A1', 'DHX36', 'SERPINH1', 'UPP2', 'ARSG', 'SEC62', 'ZNF564', 'CA12', 'ZNF441', 'DNAH12', 'NTNG2', 'RNF43', 'RANBP17', 'MAP1LC3B2', 'RAB27A', 'HLA-E', 'PATL2', 'CYP27A1', 'AFG3L2', 'DCHS2', 'EIF3L', 'IVD', 'RABL3', 'DEGS2', 'GLIPR1L2']",0.7758567511804164,0,0,42
