Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-4258,0.01771022977119287,1.4257713751428474,5.751009744469787,"['SEMA5A', 'PYGB', 'PGAP2', 'SLC43A2', 'SHC1', 'GUCA1B', 'TUBD1', 'CELF6', 'DUSP15', 'VSIG10', 'DCAF7', 'AGPAT3', 'GLIS2', 'EPB41L5', 'AIFM2', 'ZMIZ1', 'BAHD1', 'DHX58', 'PALM', 'ZNF626', 'EP400', 'TRIM25', 'EPHB2', 'SNAP29', 'JAM3', 'DGCR2', 'NTNG2', 'DFFA', 'ZNF362', 'MIGA1', 'ANGEL2', 'GSR', 'EIF2AK3', 'KREMEN1', 'TMEM192', 'ATP2B2', 'LRPPRC', 'MED6', 'CLK3', 'SETX', 'BACE1', 'C1ORF159', 'NFX1', 'OAF', 'TRAF3', 'MAPT', 'KCTD16']",0.9999886719018031,0,0,47
2,mmu-miR-551b,0.019467705753192503,1.8965011154162263,7.470314672432759,"['FARP1', 'SF3B3', 'RANBP17', 'HEATR1', 'EIF2AK3', 'HMGA2', 'SELENOI', 'DDB1', 'SERP1', 'SRP72', 'OTULIN', 'FAT3', 'TNIK', 'EMC8', 'TMEM8B']",0.9999886719018031,0,0,15
3,hsa-miR-4740-3p,0.03621551311766913,1.3570227223440399,4.502964685069781,"['LMBR1L', 'ANKRD33B', 'MTMR12', 'SHC1', 'METTL2A', 'ASIP', 'TUBD1', 'CACNA1A', 'TSEN2', 'LIAS', 'AGPAT3', 'ZMIZ1', 'KIAA0355', 'CAPN5', 'PALM', 'ZNF626', 'ANO10', 'EIF4EBP2', 'TRIM25', 'TRIM26', 'CCDC93', 'SNAP29', 'HMGN1', 'FARP1', 'DFFA', 'MIGA1', 'GPR35', 'KREMEN1', 'AP1B1', 'ATP2B2', 'COLQ', 'MED6', 'SHISA6', 'SETX', 'PPP2R2C', 'NFX1', 'TRAF3', 'SHPK', 'OTULIN', 'RABL3', 'MYCBPAP', 'MAPT', 'TMEM106A', 'SLC2A4RG', 'CSNK1G1', 'TAF1']",0.9999886719018031,0,0,46
4,hsa-miR-4540,0.036590640231972636,1.3357300168415598,4.418545210090298,"['SEMA5A', 'KDM5A', 'ANKRD33B', 'PGAP2', 'FASTKD2', 'MTR', 'CELF6', 'HMGB1', 'TSEN2', 'MYLK', 'PCLO', 'UBE2Q2', 'SEC62', 'ZNF441', 'MORC4', 'ACTN2', 'TYW3', 'ANGEL2', 'C6ORF62', 'AMPD3', 'GPCPD1', 'MMP16', 'TET3', 'RABL3', 'MAL', 'ZNF117', 'MAPT', 'TMEM106A', 'TRIM56', 'CSNK1G1', 'IPPK', 'SHC1', 'HEATR1', 'SEL1L', 'TUBD1', 'POLD3', 'PRTG', 'METTL6', 'MBNL3', 'MDN1', 'ST3GAL3', 'LMLN', 'TMEM50B', 'HMGA2', 'PRSS35', 'LRPPRC', 'TARBP1', 'LETM1', 'MFAP3', 'TPP1', 'AMOTL1']",0.9999886719018031,0,0,51
5,mmu-miR-496,0.05065614711232699,1.2996558342709643,3.876476557193791,"['CYFIP2', 'DSCC1', 'VSIG10', 'PITPNC1', 'MYLK', 'IPO5', 'UNC80', 'RGS5', 'FAM110B', 'UPP2', 'CCDC93', 'TMEM8B', 'RNF43', 'MIGA1', 'VPS33B', 'AMPD3', 'BACE1', 'MMP16', 'SETBP1', 'KCTD10', 'TRAF3', 'TET3', 'ALDH1A1', 'RAI14', 'CSNK1G1', 'SLFN5', 'FECH', 'HEATR1', 'SEL1L', 'POLD3', 'PRTG', 'EPB41L5', 'SRP72', 'GMDS', 'EXOSC9', 'PLAGL1', 'MBNL3', 'MEST', 'PTCD3', 'CA12', 'FARP1', 'ANKRD29', 'TMEM50B', 'AIG1', 'PUM3', 'TTLL4', 'DNAJA4', 'EIF3L', 'OTULIN', 'KIAA0825', 'FERMT2', 'SLC2A4RG']",0.9999886719018031,0,0,52
6,mmu-miR-3093-5p,0.057771556163919255,1.2776688771452511,3.642964542972996,"['SEMA5A', 'ANKRD33B', 'GLDC', 'UBE2D1', 'CELF6', 'VSIG10', 'MYLK', 'ARHGAP44', 'AIFM2', 'ZMIZ1', 'DHX57', 'PALM', 'NUDT16', 'ERC2', 'CCDC93', 'DGCR2', 'ZNF362', 'SLC13A3', 'MIGA1', 'NUP210', 'ENTPD5', 'GPCPD1', 'SHISA6', 'KCTD10', 'TRAF3', 'TET3', 'L2HGDH', 'MAPT', 'SLFN5', 'SF3B3', 'SLC47A1', 'SLC43A2', 'SMYD5', 'SEL1L', 'ATP2C1', 'FAM214B', 'SELENOI', 'AGPAT3', 'PRTG', 'KIAA0355', 'BAHD1', 'EIF4EBP2', 'SEC11A', 'EMC8', 'JAM3', 'LMLN', 'APTX', 'COLQ', 'PPP2R2C', 'H2AFY2', 'MFAP3', 'PIN4', 'CEP41', 'AMOTL1', 'KIAA0825']",0.9999886719018031,0,0,55
7,mmu-miR-1249,0.05814876242476185,1.5453012048192771,4.395996657397884,"['RNF20', 'LMLN', 'KLHL18', 'NTNG2', 'MTFMT', 'ANKRD33B', 'TYW3', 'TMEM50B', 'KREMEN1', 'ARHGAP44', 'TTLL4', 'TFCP2', 'PCLO', 'AIFM2', 'CAPN5', 'EPHB2', 'FERMT2', 'LGMN']",0.9999886719018031,0,0,18
8,hsa-miR-4633-5p,0.05837772757292452,1.2713873220521086,3.611783599010806,"['SLC46A3', 'OXTR', 'N4BP2L1', 'ZNF44', 'TTF2', 'HMGB1', 'SIPA1L2', 'ANTXR1', 'PRSS23', 'PITPNC1', 'IPO5', 'UNC80', 'RGS5', 'TRIM4', 'LEPR', 'TRIM25', 'SNAP29', 'RSAD2', 'ARRDC3', 'PATL2', 'BACE1', 'SHQ1', 'CCDC80', 'MMP16', 'POLR1A', 'KCTD10', 'ZW10', 'RABL3', 'MAL', 'ZNF117', 'L2HGDH', 'UQCRC2', 'ZMYND12', 'KCTD16', 'CSNK1G1', 'FECH', 'LIAS', 'SELENOI', 'EPB41L5', 'SRP72', 'KIAA0355', 'BAHD1', 'ZNF626', 'ARSG', 'MBNL3', 'GBP1', 'DNAH12', 'LRRC75A', 'RANBP17', 'EIF2AK3', 'MBOAT2', 'LRPPRC', 'TFCP2', 'DNAJA4', 'AMOTL1', 'DZIP1', 'KIAA0825']",0.9999886719018031,0,0,57
9,mmu-miR-151-3p,0.06291322253955747,1.2665734899709138,3.5033409080359257,"['SEMA5A', 'KDM5A', 'FASTKD2', 'MTR', 'N4BP2L1', 'CELF6', 'SIPA1L2', 'AFF3', 'PRSS23', 'DCAF7', 'RGS5', 'SERP1', 'CAPN5', 'LEPR', 'UPP2', 'NUDT16', 'ERC2', 'SEC62', 'L3HYPDH', 'SNAP29', 'EARS2', 'ZNF362', 'AMPD3', 'TERF1', 'ADGRF3', 'MMP16', 'SETBP1', 'TET3', 'NAAA', 'CRY2', 'TNIK', 'KCTD16', 'CSNK1G1', 'SLFN5', 'SF3B3', 'MAOA', 'SEL1L', 'SELENOI', 'PDZD2', 'PDCD11', 'MBNL3', 'MEST', 'MDN1', 'RANBP17', 'EIF2AK3', 'MBOAT2', 'LETM1', 'SETX', 'DNAJA4', 'COL5A2', 'TPP1', 'CEP41', 'DEGS2', 'ACBD3', 'DZIP1', 'TAF1']",0.9999886719018031,0,0,56
10,hsa-miR-516a-5p,0.0666960943485594,1.4805802743789396,4.008832303301064,"['SCARB2', 'PTCD3', 'RSAD2', 'MIGA1', 'SELENOI', 'CYP27A1', 'EPB41L5', 'ADAP2', 'PPP2R2C', 'DCHS2', 'SCFD2', 'FAM110B', 'TET3', 'MAL', 'FAT3', 'L2HGDH', 'CALR', 'MTA2', 'PLCD4', 'SNAP29']",0.9999886719018031,0,0,20
