Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Amino Acid metabolism WP3925,0.00477735323974973,3.318262636525273,17.73235951442452,"['GLUD1', 'MAOA', 'RARS', 'ALDH1A1', 'ODC1', 'GSR', 'FAH', 'FARSB']",0.7804755178600928,0,0,8
2,Eicosanoid Synthesis WP167,0.005291359443119274,10.959899749373433,57.44828822303688,"['TBXAS1', 'PLA2G5', 'PTGDS']",0.7804755178600928,0,0,3
3,Prostaglandin Synthesis and Regulation WP98,0.010109257588950931,5.389391447368421,24.760500970299454,"['CBR1', 'CYP11A1', 'TBXAS1', 'PTGDS']",0.8907967115847576,0,0,4
4,Sulfation Biotransformation Reaction WP692,0.019356837287751866,12.764591439688717,50.352606056699216,"['SULT1A1', 'GSR']",0.8907967115847576,0,0,2
5,Eicosanoid metabolism via cyclooxygenases (COX) WP4719,0.020864185376850832,5.898785425101215,22.82665506253198,"['TBXAS1', 'PLA2G5', 'PTGDS']",0.8907967115847576,0,0,3
6,Urea cycle and metabolism of amino groups WP497,0.024638561839608584,5.47702589807853,20.283850533395572,"['GLUD1', 'ACY1', 'ODC1']",0.8907967115847576,0,0,3
7,Methionine De Novo and Salvage Pathway WP3580,0.033211892508728975,4.791666666666667,16.314893116552703,"['AHCY', 'ODC1', 'MTR']",0.8907967115847576,0,0,3
8,Arylamine metabolism WP694,0.03782417250307553,inf,inf,['SULT1A1'],0.8907967115847576,0,0,1
9,Sleep regulation WP3591,0.03800540745210874,4.5094599243206055,14.746054932356877,"['OXTR', 'AHCY', 'PTGDS']",0.8907967115847576,0,0,3
10,DNA Replication WP466,0.038272827587490156,3.410416666666667,11.128241070566828,"['POLD3', 'RFC3', 'ORC3', 'MCM5']",0.8907967115847576,0,0,4
11,Folate-Alcohol and Cancer Pathway Hypotheses WP1589,0.04309576515971027,7.292384658143413,22.92966781084829,"['ALDH1A1', 'MTR']",0.8907967115847576,0,0,2
12,Methionine metabolism leading to sulfur amino acids and related disorders WP4292,0.04309576515971027,7.292384658143413,22.92966781084829,"['AHCY', 'MTR']",0.8907967115847576,0,0,2
13,Ciliary landscape WP4352,0.04641153277138383,1.7502836384832368,5.373733603112556,"['NEK8', 'INTU', 'TFAP2E', 'EIPR1', 'DCAF7', 'LRPPRC', 'EXOSC7', 'AFG3L2', 'MSH2', 'EXOSC9', 'XPNPEP3', 'MCM5', 'SNAP29']",0.8907967115847576,0,0,13
14,DNA Mismatch Repair WP531,0.04858267741168824,4.034164358264081,12.201282673798996,"['POLD3', 'RFC3', 'MSH2']",0.8907967115847576,0,0,3
15,Trans-sulfuration pathway WP2333,0.05254688244984763,6.38035019455253,18.796827556801105,"['AHCY', 'MTR']",0.8907967115847576,0,0,2
16,Iron metabolism in placenta WP2007,0.05254688244984763,6.38035019455253,18.796827556801105,"['FTH1', 'ACO1']",0.8907967115847576,0,0,2
17,Oxidative Stress WP408,0.054353697656019107,3.8321637426900583,11.16019063032053,"['MAOA', 'TXNRD1', 'GSR']",0.8907967115847576,0,0,3
18,Photodynamic therapy-induced unfolded protein response WP3613,0.054353697656019107,3.8321637426900583,11.16019063032053,"['DNAJB11', 'EIF2AK3', 'CALR']",0.8907967115847576,0,0,3
19,Ethanol effects on histone modifications WP3996,0.0668218072484863,3.4832535885167464,9.42472908810745,"['AHCY', 'ALDH1A1', 'MTR']",0.9532955575088616,0,0,3
20,One-carbon metabolism WP241,0.07350114175161049,3.3315535214848717,8.69686834526612,"['MTFMT', 'AHCY', 'MTR']",0.9532955575088616,0,0,3
21,Melatonin metabolism and effects WP3298,0.0804644651010068,3.192495126705653,8.044894954309987,"['SULT1A1', 'MAOA', 'CRY2']",0.9532955575088616,0,0,3
22,Nucleotide Excision Repair WP4753,0.08381614394080662,2.555859375,6.336306736298493,"['POLD3', 'DDB1', 'RFC3', 'GTF2H3']",0.9532955575088616,0,0,4
23,Deregulation of Rab and Rab Effector Genes in Bladder Cancer WP2291,0.08457787931050212,4.639193491333569,11.459190751841916,"['RAB27A', 'UNC13D']",0.9532955575088616,0,0,2
24,Cysteine and methionine catabolism WP4504,0.09628389536097845,4.252269779507134,9.952242699905703,"['AHCY', 'MTR']",0.9532955575088616,0,0,2
25,Novel intracellular components of RIG-I-like receptor (RLR) pathway WP3865,0.10104207539047359,2.376998546511628,5.448599474363721,"['TRAF3', 'DHX58', 'TRIM25', 'ISG15']",0.9532955575088616,0,0,4
26,Retinoblastoma gene in cancer WP2446,0.1039471263667103,2.0956979243527636,4.7443937573121095,"['POLD3', 'RFC3', 'PRKDC', 'HMGB2', 'HMGB1']",0.9532955575088616,0,0,5
27,Constitutive Androstane Receptor Pathway WP2875,0.10841490413843718,3.9248727925770726,8.720241973306871,"['SULT1A1', 'DNAJC7']",0.9532955575088616,0,0,2
28,Mitochondrial complex III assembly WP4921,0.10841490413843718,3.9248727925770726,8.720241973306871,"['UQCR10', 'UQCRC2']",0.9532955575088616,0,0,2
29,Activation of NLRP3 Inflammasome by SARS-CoV-2 WP4876,0.109242549887937,12.741747572815534,28.212581769839087,['TRAF3'],0.9532955575088616,0,0,1
30,Amino Acid Metabolism Pathway Excerpt (Histidine catabolism extension) WP4661,0.109242549887937,12.741747572815534,28.212581769839087,['GLUD1'],0.9532955575088616,0,0,1
31,Fatty Acid Omega Oxidation WP206,0.109242549887937,12.741747572815534,28.212581769839087,['ALDH1A1'],0.9532955575088616,0,0,1
32,Vitamin D-sensitive calcium signaling in depression WP4698,0.11094629504081376,2.735588972431078,6.014764157488097,"['CYP27A1', 'GSR', 'ATP2B2']",0.9532955575088616,0,0,3
33,Selenium Micronutrient Network WP15,0.11335878599055858,2.2710069444444443,4.9444303988957925,"['TXNRD1', 'GSR', 'MTR', 'SELENOI']",0.9532955575088616,0,0,4
34,DNA Repair Pathways Full Network WP4946,0.1232103371817449,1.7388177847292425,3.6408450507132084,"['DDB1', 'POLD3', 'RFC3', 'MSH2', 'PRKDC', 'HMGB1', 'GTF2H3']",0.9532955575088616,0,0,7
35,"Non-genomic actions of 1,25 dihydroxyvitamin D3 WP4341",0.13299606340674297,2.1285807291666665,4.294274859024057,"['RSAD2', 'ISG15', 'IFI44L', 'PLCD1']",0.9532955575088616,0,0,4
36,Somatic sex determination WP4814,0.1429422467462055,8.493851132686084,16.523212611904267,['PTGDS'],0.9532955575088616,0,0,1
37,Tamoxifen metabolism WP691,0.1429422467462055,8.493851132686084,16.523212611904267,['SULT1A1'],0.9532955575088616,0,0,1
38,The alternative pathway of fetal androgen synthesis WP4524,0.1429422467462055,8.493851132686084,16.523212611904267,['CYP11A1'],0.9532955575088616,0,0,1
39,Fas ligand pathway and stress induction of heat shock proteins WP314,0.14509239042087005,2.3929093567251463,4.619235285644822,"['DFFA', 'PRKDC', 'NFX1']",0.9532955575088616,0,0,3
40,FBXL10 enhancement of MAP/ERK signaling in diffuse large B-cell lymphoma WP4553,0.16025897687812526,3.000457770656901,5.493730662039648,"['H2AFY', 'H2AFY2']",0.9532955575088616,0,0,2
41,PKC-gamma calcium signaling pathway in ataxia WP4760,0.16025897687812526,3.000457770656901,5.493730662039648,"['CACNA1A', 'ATP2B2']",0.9532955575088616,0,0,2
42,SARS-CoV-2 innate immunity evasion and cell-specific immune response WP5039,0.17265718977448521,2.187301587301587,3.841879775634869,"['TRAF3', 'DHX58', 'TRIM25']",0.9532955575088616,0,0,3
43,7-oxo-C and 7beta-HC pathways WP5064,0.1738427123860079,2.8335495028102033,4.957590508806752,"['CYP27A1', 'ACOT11']",0.9532955575088616,0,0,2
44,Striated Muscle Contraction Pathway WP383,0.1738427123860079,2.8335495028102033,4.957590508806752,"['ACTN2', 'MYL3']",0.9532955575088616,0,0,2
45,Serotonin Transporter Activity WP1455,0.17536937555205068,6.3699029126213595,11.089114357163757,['MAOA'],0.9532955575088616,0,0,1
46,Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism WP4523,0.17536937555205068,6.3699029126213595,11.089114357163757,['CYP11A1'],0.9532955575088616,0,0,1
47,Vitamin D Metabolism WP1531,0.17536937555205068,6.3699029126213595,11.089114357163757,['CYP27A1'],0.9532955575088616,0,0,1
48,Molybdenum cofactor (Moco) biosynthesis WP4507,0.17536937555205068,6.3699029126213595,11.089114357163757,['GPHN'],0.9532955575088616,0,0,1
49,NAD Biosynthesis II (from tryptophan) WP2485,0.17536937555205068,6.3699029126213595,11.089114357163757,['NADSYN1'],0.9532955575088616,0,0,1
50,Osteoblast Signaling WP322,0.17536937555205068,6.3699029126213595,11.089114357163757,['BGLAP'],0.9532955575088616,0,0,1
51,Glycogen Synthesis and Degradation WP500,0.1821554897788473,2.126380766731644,3.6210023617877796,"['PYGB', 'PPP2R2C', 'PPP2R2B']",0.9532955575088616,0,0,3
52,Regulation of Microtubule Cytoskeleton WP2038,0.1821554897788473,2.126380766731644,3.6210023617877796,"['TESK2', 'MAPT', 'EPHB2']",0.9532955575088616,0,0,3
53,Proteasome Degradation WP183,0.1835496095876541,1.8566761363636364,3.1475679033616055,"['UBA7', 'UBE2D1', 'PSME2', 'HLA-E']",0.9532955575088616,0,0,4
54,Type II interferon signaling (IFNG) WP619,0.20150377047657886,2.549805447470817,4.084653660729525,"['ISG15', 'GBP1']",0.9532955575088616,0,0,2
55,ATM Signaling Network in Development and Disease  WP3878,0.20154838924100785,2.0141582025238534,3.2261291206173657,"['RNF20', 'PRKDC', 'HMGN1']",0.9532955575088616,0,0,3
56,Peroxiredoxin 2 induced ovarian failure WP4873,0.20657189933453954,5.095533980582524,8.036201017211301,['CYP11A1'],0.9532955575088616,0,0,1
57,Cytosolic DNA-sensing pathway WP4655,0.21142062583875149,1.9623631728894886,3.0493272069437047,"['IL33', 'TRIM25', 'ISG15']",0.9532955575088616,0,0,3
58,Type I collagen synthesis in the context of Osteogenesis imperfecta WP4786,0.2155180663092606,2.4282008523253658,3.7265854378296583,"['SERPINH1', 'TMEM38B']",0.9532955575088616,0,0,2
59,TYROBP causal network in microglia WP3945,0.22961641531821617,2.3176512203749557,3.4100648171417647,"['ADAP2', 'TMEM106A']",0.9532955575088616,0,0,2
60,Gastric Cancer Network 2 WP2363,0.22961641531821617,2.3176512203749557,3.4100648171417647,"['RFC3', 'DSCC1']",0.9532955575088616,0,0,2
61,Biogenic Amine Synthesis WP550,0.23659597771334973,4.2459546925566345,6.120124732260678,['MAOA'],0.9532955575088616,0,0,1
62,"Cerebral organic acidurias, including diseases WP4519",0.23659597771334973,4.2459546925566345,6.120124732260678,['L2HGDH'],0.9532955575088616,0,0,1
63,Estrogen metabolism WP697,0.23659597771334973,4.2459546925566345,6.120124732260678,['SULT1A1'],0.9532955575088616,0,0,1
64,Ketogenesis and Ketolysis WP4742,0.23659597771334973,4.2459546925566345,6.120124732260678,['CPT2'],0.9532955575088616,0,0,1
65,Ciliopathies WP4803,0.23864153665007823,1.3809321132155778,1.9785894504570039,"['NEK8', 'INTU', 'XPNPEP3', 'CEP83', 'PKD1L1', 'CEP41', 'WDR35', 'GLIS2']",0.9532955575088616,0,0,8
66,Phosphoinositides metabolism WP4971,0.24161053578791233,1.821776663881927,2.58770295746063,"['MTMR12', 'PLCD4', 'PLCD1']",0.9532955575088616,0,0,3
67,PPAR signaling pathway WP3942,0.24161053578791233,1.821776663881927,2.58770295746063,"['CYP27A1', 'CPT2', 'FABP5']",0.9532955575088616,0,0,3
68,Vitamin B12 metabolism WP1533,0.24377247000594854,2.2167145998984945,3.1289369670289635,"['MCEE', 'MTR']",0.9532955575088616,0,0,2
69,Resistin as a regulator of inflammation WP4481,0.24377247000594854,2.2167145998984945,3.1289369670289635,"['PLCD4', 'PLCD1']",0.9532955575088616,0,0,2
70,Metapathway biotransformation Phase I and II WP702,0.2540172120800684,1.5012087026591459,2.0571862248645316,"['CYP27A1', 'SULT1A1', 'CYP11A1', 'GSR', 'NAT10']",0.9532955575088616,0,0,5
71,Vitamin A and carotenoid metabolism WP716,0.257961748503588,2.124189364461738,2.87815756343428,"['SULT1A1', 'ALDH1A1']",0.9532955575088616,0,0,2
72,GABA receptor Signaling WP4159,0.257961748503588,2.124189364461738,2.87815756343428,"['AP2A1', 'GPHN']",0.9532955575088616,0,0,2
73,Oxidation by Cytochrome P450 WP43,0.257961748503588,2.124189364461738,2.87815756343428,"['CYP27A1', 'CYP11A1']",0.9532955575088616,0,0,2
74,Oxysterols derived from cholesterol WP4545,0.257961748503588,2.124189364461738,2.87815756343428,"['CYP27A1', 'ACOT11']",0.9532955575088616,0,0,2
75,Supression of HMGB1 mediated inflammation by THBD WP4479,0.26548603405202886,3.639112343966713,4.826165470077196,['HMGB1'],0.9532955575088616,0,0,1
76,Valproic acid pathway WP3871,0.26548603405202886,3.639112343966713,4.826165470077196,['IVD'],0.9532955575088616,0,0,1
77,Heme Biosynthesis WP561,0.26548603405202886,3.639112343966713,4.826165470077196,['FECH'],0.9532955575088616,0,0,1
78,Leptin and adiponectin WP3934,0.26548603405202886,3.639112343966713,4.826165470077196,['LEPR'],0.9532955575088616,0,0,1
79,NRF2 pathway WP2884,0.268458954119158,1.4664732213149785,1.9284962383710873,"['CBR1', 'FTH1', 'TXNRD1', 'GSR', 'PRDX6']",0.9532955575088616,0,0,5
80,Translation Factors WP107,0.28281901188933856,1.6628527841342486,2.100096797372725,"['EIF2AK3', 'EIF4EBP2', 'EIF3E']",0.9532955575088616,0,0,3
81,Trans-sulfuration and one-carbon metabolism WP2525,0.2863507653900945,1.9604908709967075,2.451667876486619,"['AHCY', 'MTR']",0.9532955575088616,0,0,2
82,Serotonin and anxiety-related events WP3944,0.2932848204093306,3.183980582524272,3.905505793604477,['PLCD4'],0.9532955575088616,0,0,1
83,Vitamin B12 Disorders WP4271,0.2932848204093306,3.183980582524272,3.905505793604477,['MTR'],0.9532955575088616,0,0,1
84,Cytosine methylation WP3585,0.2932848204093306,3.183980582524272,3.905505793604477,['TET3'],0.9532955575088616,0,0,1
85,Dopamine metabolism WP2436,0.2932848204093306,3.183980582524272,3.905505793604477,['MAOA'],0.9532955575088616,0,0,1
86,NLR Proteins WP288,0.2932848204093306,3.183980582524272,3.905505793604477,['EPHB2'],0.9532955575088616,0,0,1
87,Base Excision Repair WP4752,0.30050996689330445,1.8877359850122497,2.2695765691874126,"['POLD3', 'HMGB1']",0.9532955575088616,0,0,2
88,Proximal tubule transport WP4917,0.30050996689330445,1.8877359850122497,2.2695765691874126,"['SLC13A3', 'SLC47A1']",0.9532955575088616,0,0,2
