Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,SP1 (mouse),1.7462225251632958e-07,2.105104444639942,32.756774010827066,"['ALK', 'IRS1', 'USP34', 'NUDT4', 'RPS6KA3', 'PPP3CB', 'MED13', 'PPP4R1', 'PPP4R2', 'RASGEF1A', 'RASSF3', 'PPP4R4', 'MACROD2', 'LZTS2', 'ARID2', 'TEAD1', 'NCOA1', 'TLE2', 'AGTPBP1', 'PPP1R12A', 'DUSP1', 'FBXO2', 'VPS13C', 'DYRK1A', 'SLC30A1', 'ATP1B3', 'EBF4', 'RGMB', 'MRPS6', 'PTBP2', 'AJAP1', 'PIAS1', 'ENAH', 'SIK2', 'RHOQ', 'AK4', 'CACNA1D', 'PDS5B', 'ADCY8', 'SLC5A3', 'SLC7A2', 'PHF21A', 'TMEM65', 'UBR5', 'MXI1', 'CTNNA1', 'FNIP1', 'RREB1', 'SLC38A2', 'SPECC1', 'VASP', 'PLK5', 'TMEM184B', 'FAM78B', 'RNF24', 'STARD10', 'NFATC2', 'ARID3A', 'DEK', 'BBIP1', 'KLF4', 'MPP6', 'KLF2', 'NR4A2', 'ASXL1', 'NR4A1', 'STAG1', 'NFIB', 'SMOC1', 'SP3', 'TRIP10', 'SSBP2', 'PDE7A', 'LPIN2']",4.8894230704572284e-05,0,0,74
2,EGR1 (mouse),1.1975091157669243e-06,2.207314865109542,30.09732730786163,"['THRB', 'BTG1', 'IRS1', 'DOCK7', 'USP34', 'TTC28', 'RIMS1', 'RPS6KA3', 'PPP3CB', 'PPP4R1', 'PPP4R2', 'RASSF3', 'ADORA1', 'DLGAP1', 'MACROD2', 'TEAD1', 'AGTPBP1', 'COL27A1', 'COL23A1', 'MSL2', 'DYRK1A', 'EBF4', 'RGMB', 'MRPS6', 'PTBP2', 'AJAP1', 'PPA2', 'TBC1D5', 'ISYNA1', 'WDR26', 'CACNA1D', 'PRCP', 'PDS5B', 'SLC5A3', 'SLC7A2', 'PHF21A', 'PCDH17', 'PGBD1', 'UBR5', 'RBBP6', 'FAM78B', 'PLEKHA1', 'FBXL17', 'FZD9', 'PDE4DIP', 'KLF2', 'PUM2', 'STAG1', 'COL5A1', 'SP3', 'TACC1', 'SSBP2', 'LPIN2', 'PFKP']",0.00012552960322626469,0,0,54
3,SMAD4 (mouse),1.3449600345671217e-06,2.213587818619407,29.9258174780049,"['THRB', 'USP34', 'COL12A1', 'RPS6KA3', 'MED13', 'PPP4R1', 'PPP4R4', 'LZTS2', 'ARID2', 'TEAD1', 'COL27A1', 'PPP1R12A', 'COL23A1', 'MTUS1', 'DYRK1A', 'ATP1B3', 'EBF4', 'ZFX', 'PTBP2', 'AJAP1', 'ENAH', 'MRAS', 'RHOQ', 'NOTCH2', 'KANK2', 'WDR26', 'ANKRD12', 'AK4', 'CACNA1D', 'NRF1', 'PHF21A', 'TMEM65', 'DEAF1', 'UBR5', 'RBBP6', 'SLC38A2', 'FZD3', 'FBXL17', 'FZD9', 'RASSF8', 'DEK', 'BBIP1', 'KLF4', 'MPP6', 'OXR1', 'NR4A2', 'ASXL1', 'STAG1', 'NFIB', 'ASXL2', 'SP3', 'SSBP2', 'PDE7A']",0.00012552960322626469,0,0,53
4,MEF2A (human),5.082547030731177e-05,1.7914579008073819,17.712346601546425,"['PHF3', 'BTG1', 'CAB39L', 'RORA', 'ARHGAP6', 'RIMS1', 'PPP3CB', 'ZNF608', 'CSRP1', 'CDC27', 'SCAPER', 'PDK1', 'NCOA1', 'DDX17', 'PPP1R12A', 'MTUS1', 'DYRK1A', 'ETV1', 'MRPL48', 'NPNT', 'CGRRF1', 'MRPS6', 'ZFX', 'PARP8', 'ENAH', 'CNKSR3', 'SPATA13', 'EFHC1', 'SREK1', 'SIK2', 'CAPS2', 'ARHGEF6', 'SLC43A3', 'COL11A1', 'SLC41A2', 'AK4', 'NRF1', 'KLHL13', 'C9ORF72', 'SLC5A3', 'PHF21A', 'ACVR1C', 'SNX27', 'GPNMB', 'ATXN7', 'KCNMB3', 'SLC17A5', 'CD59', 'RREB1', 'ZBED5', 'SASH1', 'STARD13', 'PLEKHA1', 'ARHGAP29', 'PDE4DIP', 'PCDHB12', 'MPP6', 'OTOGL', 'NR4A2', 'NR4A3', 'NFIB', 'DLC1', 'SMOC1', 'COL9A2', 'VPS45', 'TNRC6A', 'PCDHB7']",0.0035577829215118237,0,0,67
5,CBEPB (human),8.763192481273957e-05,1.8037962587816196,16.851723374127157,"['BTG1', 'RORA', 'PTPRK', 'ARHGAP6', 'RIMS1', 'ZNF608', 'CSRP1', 'IQUB', 'CAPN2', 'MACROD2', 'SCAPER', 'EYS', 'AGTPBP1', 'CDKL5', 'ATRX', 'DYRK1A', 'HAUS3', 'ETV1', 'NPNT', 'ZFX', 'TOPORS', 'PIAS1', 'MRAS', 'PPA2', 'KIAA2026', 'PEAK1', 'ASTN2', 'CREB5', 'CAPS2', 'NRF1', 'KLHL13', 'LPP', 'C9ORF72', 'PHF21A', 'ACVR1C', 'GPNMB', 'ATXN7', 'MXI1', 'SLC17A5', 'MAP4K5', 'ARGLU1', 'SASH1', 'JAM2', 'STARD13', 'FAM78B', 'NEBL', 'STARD10', 'FBXL17', 'PDE4DIP', 'LARP7', 'KCNJ16', 'SGCZ', 'OXR1', 'IGSF11', 'NR4A1', 'NFIB', 'DLC1', 'ZNF654', 'PDE7A', 'PCDHB7']",0.004173237673182625,0,0,60
6,MYB (human),0.00010005143721528335,2.071675867060845,19.079774537630275,"['IGSF5', 'KCNE4', 'CAB39L', 'COL11A1', 'SLC41A2', 'PRCP', 'KLHL13', 'PPM1D', 'PGBD1', 'RASSF3', 'ATXN7', 'SESN1', 'KCNMB3', 'EPC1', 'ENPP4', 'DLGAP1', 'ZNF644', 'MAP4K5', 'NCOA1', 'DDX17', 'ZNF583', 'PLEKHA1', 'MTUS1', 'DYRK1A', 'PDE4DIP', 'RASSF8', 'KCNJ16', 'ETV1', 'PCDHB10', 'OXR1', 'TOPORS', 'MLH3', 'PARP8', 'VCAN', 'KIAA2026', 'PIGM', 'PDE7A', 'PCDHB7']",0.004173237673182625,0,0,38
7,En1 (mouse),0.00010433094182956563,2.478066800061567,22.718774127700826,"['RNASEH2C', 'PDS5B', 'PGBD1', 'PPP3CB', 'ACVR1C', 'PPP4R1', 'RASSF3', 'ADAMTSL3', 'MXI1', 'RREB1', 'TEAD1', 'SCAPER', 'ADAMTS6', 'TMEM14C', 'FAM78B', 'KLF4', 'CGRRF1', 'OXR1', 'PTBP2', 'PUM2', 'PCDHB16', 'LCOR', 'PIGM', 'ASTN2', 'RHOQ']",0.004173237673182625,0,0,25
8,BCL6 (human),0.0004871039040385282,1.9129251700680272,14.589943594376539,"['SLC43A3', 'PTPRK', 'KLHL13', 'PCDH19', 'LPP', 'RANBP3L', 'FAM168A', 'PPP4R1', 'ATXN7', 'ADORA1', 'KCNMB3', 'SLC17A5', 'CDH23', 'EPC1', 'PLCE1', 'CD59', 'DLGAP1', 'ZBED5', 'PDK1', 'DDX17', 'PPP1R12A', 'CDKL5', 'MTUS1', 'PDE4DIP', 'RFX3', 'ETV1', 'PCDHB12', 'SLC39A12', 'MLH3', 'PARP8', 'PRPF39', 'DLC1', 'EFHC1', 'VPS45', 'ASTN2', 'LPIN2', 'PCDHB7']",0.017048636641348487,0,0,37
9,TCF4 (human),0.0005918772043117704,1.5541372945807113,11.550676870927305,"['COL12A1', 'HSPB2', 'PLOD2', 'PTPRK', 'ARHGAP6', 'RIMS1', 'PPP3CB', 'SESN1', 'SACS', 'ZNF644', 'EYS', 'TMEM14C', 'GALNT8', 'DDX17', 'PPP1R12A', 'CDKL5', 'VPS13C', 'MTUS1', 'SLC39A11', 'HAUS3', 'ADAM10', 'ETV1', 'SLC39A12', 'NPNT', 'RGMB', 'PTBP2', 'C1QL2', 'PARP8', 'PIAS1', 'ENAH', 'VCAN', 'PEAK1', 'CREB5', 'ARHGEF6', 'IGSF5', 'SLC41A2', 'AK4', 'NRF1', 'PDS5B', 'KLHL13', 'PCDH19', 'LPP', 'ZNF69', 'PCDH17', 'RHOBTB2', 'RAD54B', 'RANBP3L', 'NWD1', 'ACVR1C', 'FAM168A', 'SNX27', 'ATXN7', 'OXCT1', 'MXI1', 'CDH23', 'CD59', 'CDH26', 'MAP4K5', 'N4BP2', 'SASH1', 'JAM2', 'SPECC1', 'ZNF583', 'FZD3', 'STARD13', 'FAM78B', 'NEBL', 'ST8SIA1', 'STARD10', 'ARHGAP29', 'PDE4DIP', 'LARP7', 'RASSF8', 'NFATC2', 'PCDHB10', 'OXR1', 'MLH3', 'PUM2', 'IGSF11', 'NFIB', 'DLC1', 'SP3', 'PDE7A', 'MEGF9']",0.0184139574674773,0,0,84
10,YY1 (human),0.0006706654064663283,1.4995474425122894,10.957553345396809,"['BACH2', 'RIMS1', 'RPS6KA3', 'SESN1', 'SCAPER', 'EYS', 'TLE2', 'AGTPBP1', 'CDKL5', 'FBXO2', 'COL23A1', 'MTUS1', 'DYRK1A', 'RFX3', 'ADAM10', 'NPNT', 'GEM', 'DKK3', 'PIAS1', 'SREK1', 'ISYNA1', 'SLC41A2', 'NRF1', 'C9ORF72', 'PHF21A', 'RHOBTB2', 'RIC8B', 'ATXN7', 'CDH23', 'CDH26', 'RREB1', 'KLHDC2', 'VASP', 'FZD3', 'STARD13', 'LARP7', 'RASSF8', 'PUM2', 'NR4A2', 'MLLT10', 'NR4A1', 'NR4A3', 'SLC6A9', 'COL5A1', 'AMOTL2', 'ZNF654', 'PCDHB7', 'PHF3', 'PTPRK', 'DLGAP1', 'ZNF644', 'TEAD1', 'ADAMTS6', 'NCOA1', 'PPP1R12A', 'DUSP1', 'VPS13C', 'ATRX', 'MSL2', 'SLC39A11', 'AMPD2', 'ETV1', 'RGMB', 'ZFX', 'PTBP2', 'PARP8', 'ENAH', 'MRAS', 'PEAK1', 'COL21A1', 'LCOR', 'CREB5', 'CAPS2', 'ARHGEF6', 'PPM1D', 'SLC7A2', 'RANBP3L', 'ACVR1C', 'GPNMB', 'OXCT1', 'MXI1', 'RBBP6', 'FNIP1', 'MAP4K5', 'ZNF583', 'PLEKHA1', 'RNF24', 'FBXL17', 'PDE4DIP', 'KCNJ16', 'ARID3A', 'PCDHB12', 'PCDHB10', 'OXR1', 'OTOGL', 'GRIK1-AS1', 'NFIB', 'DLC1', 'TACC1', 'VPS45', 'PNPLA6', 'PDE7A', 'TNRC6A', 'MEGF9']",0.018778631381057193,0,0,104
