Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-340-5p,4.809511036004335e-05,2.4646289888504422,24.50415483758168,"['PHF3', 'SLC41A2', 'ANKRD12', 'PDS5B', 'SLC7A2', 'NUDT4', 'PPP3CB', 'MED13', 'ATXN7', 'PNISR', 'ZNF583', 'PLEKHA1', 'MTUS1', 'PDE4DIP', 'ADAM10', 'NPNT', 'MARCH6', 'PUM2', 'PIAS1', 'NR4A2', 'MLLT10', 'VCAN', 'DLC1', 'SMOC1', 'PCDHB16', 'CCSER2', 'CREB5', 'MEGF9']",0.0684684771534863,0,0,28
2,mmu-miR-145a-5p,5.566542858007017e-05,10.692122186495176,104.74164639545943,"['NR4A2', 'THRB', 'IRS1', 'FBXL17', 'KLF4', 'RREB1']",0.0684684771534863,0,0,6
3,hsa-miR-4310,0.00011793940206653225,3.9934426229508198,36.12204472651926,"['NR4A2', 'PNISR', 'RACGAP1', 'PLEKHA1', 'IRS1', 'SPATA13', 'CREBRF', 'NFATC2', 'LCOR', 'SREK1', 'DEK', 'RHOQ']",0.07253273227091733,0,0,12
4,hsa-miR-7157-5p,0.00011793940206653225,3.9934426229508198,36.12204472651926,"['NR4A2', 'PNISR', 'RACGAP1', 'PLEKHA1', 'IRS1', 'SPATA13', 'CREBRF', 'NFATC2', 'LCOR', 'SREK1', 'DEK', 'RHOQ']",0.07253273227091733,0,0,12
5,mmu-miR-129-5p,0.0001642880104390214,2.9757965194109772,25.93076207193365,"['NCOA1', 'BTG1', 'RFX3', 'ARID3A', 'PDS5B', 'LPP', 'BACH2', 'DCAF6', 'PUM2', 'VCAN', 'MED13', 'PEAK1', 'ASXL2', 'SP3', 'CREBRF', 'FNIP1', 'TNRC6A']",0.08082970113599854,0,0,17
6,hsa-miR-1183,0.000255775056021672,5.364482200647249,44.37077055586151,"['ZNF608', 'RACGAP1', 'PLEKHA1', 'ERBIN', 'NFATC2', 'DEK', 'N4BP2', 'PIAS1']",0.10486777296888553,0,0,8
7,hsa-miR-5197-3p,0.00035213278750148254,3.765665525469447,29.942697771547508,"['RPS6KA3', 'VCAN', 'MED13', 'WDR26', 'PEAK1', 'CDC27', 'P3H2', 'ERBIN', 'AK4', 'TNRC6A', 'ARHGEF6']",0.12374952246480674,0,0,11
8,mmu-miR-467f,0.0004216506763906781,3.0790571442931096,23.928379526786284,"['FZD3', 'C8ORF48', 'WDR26', 'FBXL17', 'NFATC2', 'ARMC8', 'PTPRK', 'KLHL13', 'SLC7A2', 'PIAS1', 'ENAH', 'CREBRF', 'SREK1', 'ARID2']",0.12965758299013352,0,0,14
9,mmu-miR-1955-3p,0.0010325159447818946,10.630191693290735,73.09061271797535,"['KCNJ10', 'LPP', 'SLC5A3', 'JAZF1']",0.24818154482150326,0,0,4
10,mmu-miR-466f-3p,0.0012043449830839922,2.392930563652542,16.084847186921998,"['C8ORF48', 'WDR26', 'FBXL17', 'PDE4DIP', 'NFATC2', 'ARMC8', 'PTPRK', 'KLHL13', 'SLC7A2', 'PIAS1', 'ENAH', 'RIC8B', 'ATXN7', 'KIAA2026', 'INPP5D', 'CREBRF', 'SREK1', 'SASH1']",0.24818154482150326,0,0,18
