Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Ribosome,3.2589585995761e-21,6.523907792380699,307.75151457060235,"['RPL34', 'MRPS12', 'MRPS10', 'RPL10A', 'RPL9', 'RPL6', 'MRPL32', 'MRPL33', 'RPS4X', 'RPS14', 'MRPL3', 'RPL7A', 'MRPL2', 'RPS19', 'RPS18', 'RPL35', 'RPL38', 'RPL37', 'RPL39', 'RPS10', 'RPS13', 'RPL21', 'RPS8', 'RPL23', 'RPL22', 'MRPS18A', 'MRPS21', 'RPSA', 'MRPS6', 'RPL24', 'RPL27', 'RPL29', 'RPL10', 'MRPL18', 'RPL12', 'RPL11', 'RPL36A', 'RPS27L', 'MRPL15', 'MRPL20', 'RPS15A', 'RPS3', 'RPL15', 'RPS27A', 'RPL17', 'RPL41', 'RPL35A', 'MRPL30', 'RPS27', 'RPS29', 'FAU', 'RSL24D1', 'RPS24', 'RPL26L1', 'RPS23']",9.320621594787646e-19,0,0,55
2,Oxidative phosphorylation,2.149188133233592e-14,5.486593406593407,172.66913603238132,"['NDUFB6', 'COX4I1', 'ATP5MC2', 'NDUFB2', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1', 'COX7C', 'UQCRH', 'ATP5MC1', 'UQCRFS1', 'ATP6V1E1', 'ATP5MG', 'NDUFV1', 'ATP5MF', 'ATP5ME', 'ATP6V1F', 'ATP5PF', 'ATP6V1G1', 'NDUFA7', 'ATP6V1G2', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'SDHC', 'NDUFC1', 'COX6C', 'ATP5F1E', 'COX6B1', 'COX7A2L', 'PPA2', 'UQCRQ', 'NDUFS6', 'NDUFS5', 'NDUFAB1']",3.0733390305240367e-12,0,0,41
3,Coronavirus disease,7.453362884717201e-13,3.99216708472778,111.48102984189806,"['RPL34', 'PIK3CB', 'RPL10A', 'RPL9', 'RPL6', 'RPS4X', 'RPS14', 'RPL7A', 'RPS19', 'RPS18', 'RPL35', 'RPL38', 'RPL37', 'RPL39', 'RPS10', 'RPS13', 'PRKCG', 'RPL21', 'RPS8', 'RPL23', 'RPL22', 'RPSA', 'RPL24', 'RPL27', 'RPL29', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'PIK3R3', 'RPS27L', 'RPS15A', 'RPS3', 'RPL15', 'RPS27A', 'RPL17', 'RPL41', 'RPL35A', 'ISG15', 'NFKB1', 'NFKBIA', 'MAS1', 'RPS27', 'RPS29', 'FAU', 'RSL24D1', 'RPS24', 'RPL26L1', 'RPS23']",7.105539283430398e-11,0,0,49
4,Diabetic cardiomyopathy,8.85499466488712e-11,3.5396002227860635,81.9327345890463,"['RYR2', 'NDUFB6', 'COX4I1', 'CAMK2A', 'ATP5MC2', 'NDUFB2', 'PIK3R3', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'PIK3CB', 'COX5B', 'COX7C', 'COX7A1', 'UQCRH', 'ATP5MC1', 'MPC2', 'UQCRFS1', 'NDUFV1', 'PRKCG', 'ATP5PF', 'NDUFA7', 'ATP5PD', 'SMAD3', 'NDUFA6', 'PARP1', 'NDUFA5', 'PRKCD', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'SDHC', 'NDUFC1', 'COX6C', 'ATP5F1E', 'NFKB1', 'COX6B1', 'COX7A2L', 'PLCB4', 'TBC1D4', 'UQCRQ', 'NDUFS6', 'NDUFS5', 'NDUFAB1', 'SLC25A5']",6.33132118539429e-09,0,0,46
5,Thermogenesis,5.277173789139729e-09,2.8965195047886008,55.207300130066905,"['COX4I1', 'COX7C', 'ACTG1', 'UQCRFS1', 'COA5', 'ACSL6', 'NDUFC2', 'SDHC', 'NDUFC1', 'COX6B1', 'COX7A2L', 'NDUFS6', 'NDUFS5', 'SOS1', 'SOS2', 'MGLL', 'SMARCD1', 'NDUFB6', 'ATP5MC2', 'NDUFB2', 'NDUFB1', 'UQCR11', 'COX7A2', 'ADCY1', 'UQCR10', 'COX5B', 'ADCY7', 'COX7A1', 'UQCRH', 'ATP5MC1', 'COX14', 'ATP5MG', 'NDUFV1', 'ATP5MF', 'ATP5ME', 'COA4', 'ATP5PF', 'COA3', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1E', 'NDUFAF8', 'UQCRQ', 'NDUFAB1']",3.018543407387925e-07,0,0,49
6,Amyotrophic lateral sclerosis,4.1538984959699937e-08,2.3035182336231586,39.15205507160744,"['COX4I1', 'COX7C', 'ACTG1', 'PSMD8', 'PSMD7', 'UQCRFS1', 'NEFH', 'GABARAPL2', 'GABARAPL1', 'ANXA11', 'NDUFC2', 'SDHC', 'NDUFC1', 'NRG1', 'COX6B1', 'COX7A2L', 'TUBB2A', 'ALS2', 'NRG3', 'NDUFS6', 'NDUFS5', 'CAT', 'HAP1', 'PFN2', 'RAB1A', 'VCP', 'NDUFB6', 'DNAH5', 'ATP5MC2', 'NDUFB2', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'COX5B', 'COX7A1', 'GABARAP', 'PSMA7', 'UQCRH', 'ATP5MC1', 'ATG101', 'HNRNPA1', 'NDUFV1', 'ATP5PF', 'DNAH11', 'XBP1', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'DNAH14', 'NDUFA2', 'EIF2AK3', 'NDUFA1', 'CHCHD10', 'COX6C', 'EIF2S1', 'ATP5F1E', 'SOD1', 'UQCRQ', 'NDUFAB1', 'ACTR10', 'DNAL4', 'RAB5A', 'DNAL1']",1.9800249497456968e-06,0,0,65
7,Pathways of neurodegeneration,8.607995268439991e-08,2.101166365280289,34.181751927314856,"['RYR2', 'COX4I1', 'PARK7', 'COX7C', 'PSMD8', 'PSMD7', 'UQCRFS1', 'NEFH', 'PRKCG', 'GABARAPL2', 'GABARAPL1', 'WNT5A', 'NDUFC2', 'NDUFC1', 'SDHC', 'DKK2', 'COX6B1', 'COX7A2L', 'PLCB4', 'TUBB2A', 'ALS2', 'NDUFS6', 'NDUFS5', 'CAT', 'HAP1', 'SLC25A5', 'STX1A', 'RAB1A', 'VCP', 'NDUFB6', 'DNAH5', 'CAMK2A', 'NDUFB2', 'ATP5MC2', 'PSEN2', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'COX5B', 'COX7A1', 'GABARAP', 'PSMA7', 'UQCRH', 'ATP5MC1', 'ATG101', 'RPS27A', 'NDUFV1', 'WNT10B', 'ATP5PF', 'DNAH11', 'NDUFA7', 'XBP1', 'NDUFA6', 'ATP5PD', 'NDUFA5', 'BDNF', 'DNAH14', 'NDUFA2', 'EIF2AK3', 'NDUFA1', 'BRAF', 'UBE2G2', 'COX6C', 'EIF2S1', 'NFKB1', 'ATP5F1E', 'SOD1', 'APC', 'UQCRQ', 'NDUFAB1', 'CALM3', 'RAB5A', 'ACTR10', 'DNAL4', 'DNAL1']",3.5169809239626245e-06,0,0,76
8,Huntington disease,3.011626325220531e-07,2.330238066631194,34.98995862397418,"['COX4I1', 'COX7C', 'PSMD8', 'PSMD7', 'UQCRFS1', 'NDUFC2', 'SDHC', 'NDUFC1', 'COX6B1', 'COX7A2L', 'PLCB4', 'TUBB2A', 'NDUFS6', 'NDUFS5', 'TBPL1', 'HAP1', 'SLC25A5', 'STX1A', 'NDUFB6', 'DNAH5', 'ATP5MC2', 'NDUFB2', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'COX5B', 'COX7A1', 'PSMA7', 'UQCRH', 'ATP5MC1', 'ATG101', 'AP2S1', 'POLR2F', 'NDUFV1', 'POLR2K', 'POLR2L', 'ATP5PF', 'DNAH11', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'BDNF', 'DNAH14', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1E', 'SOD1', 'UQCRQ', 'NDUFAB1', 'ACTR10', 'DNAL4', 'DNAL1']",1.0766564112663398e-05,0,0,55
9,Parkinson disease,4.5714927728589867e-07,2.4834055880796737,36.25339016217691,"['NDUFB6', 'COX4I1', 'CAMK2A', 'ATP5MC2', 'NDUFB2', 'NDUFB1', 'UQCR11', 'COX7A2', 'TXN', 'UQCR10', 'PARK7', 'COX5B', 'COX7C', 'COX7A1', 'PSMA7', 'UQCRH', 'ATP5MC1', 'PSMD8', 'PSMD7', 'UQCRFS1', 'RPS27A', 'NDUFV1', 'ATP5PF', 'XBP1', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA2', 'EIF2AK3', 'NDUFA1', 'NDUFC2', 'SDHC', 'NDUFC1', 'UBE2G2', 'COX6C', 'EIF2S1', 'ATP5F1E', 'COX6B1', 'COX7A2L', 'TUBB2A', 'UQCRQ', 'NDUFS6', 'NDUFS5', 'NDUFAB1', 'CALM3', 'SLC25A5']",1.4527188144863003e-05,0,0,47
10,Non-alcoholic fatty liver disease,5.380448881172312e-07,2.9951739364261654,43.23630574472366,"['NDUFB6', 'COX4I1', 'NDUFB2', 'PIK3R3', 'NDUFB1', 'COX7A2', 'UQCR11', 'PIK3CB', 'UQCR10', 'COX5B', 'COX7A1', 'COX7C', 'UQCRH', 'UQCRFS1', 'NDUFV1', 'XBP1', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA2', 'EIF2AK3', 'NDUFA1', 'NDUFC2', 'SDHC', 'NDUFC1', 'COX6C', 'EIF2S1', 'NFKB1', 'COX6B1', 'COX7A2L', 'UQCRQ', 'NDUFS6', 'NDUFS5', 'NDUFAB1']",1.5388083800152814e-05,0,0,34
