Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Oxidative Phosphorylation,2.7750629540080433e-12,3.420782034866542,91.02819929507471,"['ISCA1', 'COX4I1', 'MRPS12', 'ETFB', 'COX7C', 'NNT', 'IDH3B', 'TIMM17A', 'UQCRFS1', 'ATP6V1E1', 'ATP6V1G1', 'NDUFC2', 'SDHC', 'NDUFC1', 'COX6B1', 'COX7A2L', 'NDUFS6', 'SLC25A5', 'ISCU', 'NDUFB6', 'ABCB7', 'TIMM13', 'ATP5MC2', 'NDUFB2', 'NDUFB1', 'UQCR11', 'COX7A2', 'MRPL15', 'UQCR10', 'TIMM10', 'MRPS30', 'COX5B', 'UQCRH', 'ATP5MC1', 'POLR2F', 'NDUFV1', 'ATP5MG', 'ATP5MF', 'DECR1', 'ATP6V1F', 'ATP5ME', 'TIMM8B', 'ATP5PF', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'MDH2', 'IDH1', 'IDH2', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1E', 'UQCRQ', 'NDUFAB1']",1.3875314770040216e-10,0,0,56
2,Myc Targets V1,1.1922970164112827e-05,2.317773083322428,26.276694854049484,"['YWHAE', 'RPL34', 'HNRNPR', 'RPL6', 'PSMA7', 'SRM', 'PSMD8', 'EEF1B2', 'PSMD7', 'YWHAQ', 'SNRPD1', 'RPS3', 'EIF4H', 'SNRPB2', 'TXNL4A', 'HNRNPA1', 'RPS10', 'ACP1', 'CCT4', 'NOP56', 'DDX18', 'RANBP1', 'NPM1', 'DUT', 'PTGES3', 'RPL22', 'PA2G4', 'EIF2S2', 'HSPE1', 'EIF2S1', 'NME1', 'LSM2', 'SERBP1', 'NDUFAB1', 'EIF3J', 'POLE3', 'NHP2', 'ERH', 'MCM6', 'SSBP1']",0.00029807425410282066,0,0,40
3,Unfolded Protein Response,0.0010467460535121395,2.3000469688328247,15.783080826962124,"['NOP56', 'TTC37', 'XBP1', 'NPM1', 'POP4', 'GOSR2', 'EIF2AK3', 'SLC1A4', 'PDIA6', 'EIF2S1', 'LSM4', 'YWHAZ', 'HSP90B1', 'RPS14', 'EXOSC5', 'TATDN2', 'SERP1', 'TUBB2A', 'SPCS1', 'DNAJA4', 'NHP2', 'BANF1']",0.01744576755853566,0,0,22
4,UV Response Dn,0.0023008693327763036,2.0573553719008264,12.497339899337458,"['SMAD3', 'MIOS', 'BDNF', 'DYRK1A', 'PIK3R3', 'PTPRM', 'LAMC1', 'NR3C1', 'ADD3', 'LTBP1', 'NFKB1', 'IGF1R', 'RGS4', 'TGFBR3', 'INPP4B', 'NIPBL', 'ARHGEF9', 'PLCB4', 'SCN8A', 'COL5A2', 'AGGF1', 'AMPH', 'MGLL', 'CAP2']",0.028760866659703795,0,0,24
5,Myc Targets V2,0.0033083245061472063,2.7104012803627695,15.479951176977867,"['NOP56', 'DDX18', 'NPM1', 'SORD', 'IMP4', 'PA2G4', 'HSPE1', 'SRM', 'EXOSC5', 'LAS1L', 'MRTO4', 'DCTPP1', 'SLC29A2']",0.03308324506147206,0,0,13
6,Allograft Rejection,0.024774041643121577,1.8471677156608663,6.830750260544589,"['PRKCG', 'NPM1', 'DYRK3', 'CARTPT', 'RPL9', 'CTSS', 'NME1', 'MRPL3', 'CCND2', 'RPS19', 'EIF3J', 'ST8SIA4', 'STAT4', 'JAK2', 'RPL39', 'EIF4G3']",0.18177919149634475,0,0,16
7,Spermatogenesis,0.025449086809488264,1.8841345573136852,6.91680005827146,"['RPL39L', 'DDX4', 'NPY5R', 'PARP2', 'DDX25', 'STRBP', 'BRAF', 'IDE', 'GMCL1', 'SNAP91', 'TSN', 'CAMK4', 'SCG5', 'NF2', 'NEFH']",0.18177919149634475,0,0,15
8,Notch Signaling,0.03441177604689046,2.8410430839002268,9.572486828781372,"['JAG1', 'MAML2', 'WNT5A', 'PSEN2', 'ST3GAL6', 'DTX4']",0.21507360029306538,0,0,6
9,DNA Repair,0.06434277349912751,1.4946563573883163,4.100635529478838,"['FEN1', 'RFC3', 'DUT', 'POLR3GL', 'RFC2', 'USP11', 'GMPR2', 'EDF1', 'GTF2H3', 'GTF2H5', 'NME1', 'APRT', 'SNAPC5', 'POLE4', 'DGUOK', 'MPC2', 'REV3L', 'POLR2F', 'TK2', 'CCNO', 'POLR2K']",0.3574598527729306,0,0,21
10,Angiogenesis,0.07415912372202656,2.5052985164154036,6.517639748514396,"['CCND2', 'JAG1', 'COL5A2', 'SLCO2A1', 'LPL']",0.37079561861013277,0,0,5
