Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-613,0.0006315758193144948,2.7997970158696686,20.62692372767628,"['RAB5C', 'H3F3B', 'SMKR1', 'WBP2', 'BDNF', 'ANK1', 'ARPP19', 'PSMA7', 'HSP90B1', 'FGD4', 'SERP1', 'ABI2', 'ANP32E', 'PPIB', 'HNRNPA1', 'PTMA', 'KCNJ2']",0.6387625443895715,0,0,17
2,hsa-miR-1251-3p,0.0007523900831304184,2.9855307769447497,21.47270057168093,"['WARS', 'UBE2B', 'MDH2', 'CAMK2A', 'RNF19B', 'B3GALT5', 'CHRDL1', 'HS3ST1', 'NUDCD3', 'BCL7A', 'SMARCAD1', 'MAL2', 'ASTN2', 'XPR1', 'SLC29A2']",0.6387625443895715,0,0,15
3,hsa-miR-10b-3p,0.0011000231703354444,2.8523842117271276,19.431650762331778,"['YWHAE', 'CLSTN2', 'ABRACL', 'RTF1', 'B3GALT5', 'ARPP19', 'LMNB1', 'IGF1R', 'FGD4', 'TRAPPC6A', 'EIF4H', 'RPL37', 'POLE', 'PAG1', 'RPS24']",0.6387625443895715,0,0,15
4,hsa-miR-4636,0.0011237272696930092,10.658565601631544,72.38342961868561,"['MTMR3', 'LUZP1', 'NACC2', 'PET117', 'ACACA']",0.6387625443895715,0,0,5
5,hsa-miR-4529-5p,0.0012885076394267636,3.0880800486063644,20.548920274673442,"['VAV3', 'AGTPBP1', 'NXN', 'PLK2', 'LAMC1', 'PCSK6', 'RHOA', 'LMNB1', 'TUBB2A', 'PHF5A', 'ABI2', 'HMGN2', 'HNRNPA0']",0.6387625443895715,0,0,13
6,hsa-miR-125b-2-3p,0.0016096351839091118,2.3153029403029404,14.891444406261986,"['VAV3', 'CSTB', 'SYT2', 'PARP2', 'GINS3', 'CAVIN4', 'TMTC1', 'ASH2L', 'SOBP', 'RPL9', 'ANK1', 'ARPP19', 'IGF1R', 'SESN1', 'TTC21B', 'C16ORF58', 'CSMD2', 'HNRNPA1', 'PTMA', 'RBM43']",0.6387625443895715,0,0,20
7,hsa-miR-206,0.0016096351839091118,2.3153029403029404,14.891444406261986,"['RAB5C', 'H3F3B', 'BDNF', 'SMKR1', 'WBP2', 'ANK1', 'ARPP19', 'PSMA7', 'IGF1R', 'HSP90B1', 'SOD1', 'FGD4', 'CCND2', 'SERP1', 'ABI2', 'ANP32E', 'PPIB', 'HNRNPA1', 'PTMA', 'KCNJ2']",0.6387625443895715,0,0,20
8,hsa-miR-100-5p,0.0016743448083606069,1.765091748159543,11.283054846538377,"['YWHAE', 'VCP', 'RAB5C', 'RPL10', 'MRPS33', 'RPL36A', 'HMGB1', 'RPL10A', 'ARPP19', 'ANAPC11', 'CAMKK2', 'PAPSS1', 'IGF1R', 'GNA13', 'RPL7A', 'RPS15A', 'RPL15', 'HMGN1', 'RPL39L', 'MAPK1IP1L', 'RRM2', 'RPL21', 'TSC22D1', 'H2AFY', 'RPS8', 'H3F3A', 'NDUFA2', 'NDUFC2', 'WTIP', 'GTPBP1', 'ATAT1', 'EEF1A1', 'PIKFYVE', 'RPS27', 'SERBP1', 'CCNYL1', 'VPS45', 'PFN2', 'FKBP5']",0.6387625443895715,0,0,39
9,hsa-miR-145-3p,0.00231198320969449,2.8498519024834814,17.29760243272706,"['SMAD3', 'CLSTN2', 'DESI1', 'TPM1', 'ABRACL', 'PDIA6', 'MYO1B', 'CDC23', 'CCND2', 'NFIC', 'POLE3', 'SFT2D2', 'RPS24']",0.7840191951097315,0,0,13
10,hsa-miR-6873-5p,0.0028144780332362077,1.83492184703496,10.77645647964977,"['SMARCD1', 'MTMR3', 'WBP2', 'ATXN7L3B', 'SNU13', 'CHRDL1', 'RPH3A', 'GNG3', 'GLRA3', 'ZNF827', 'ADAMTS17', 'ENSA', 'ERC1', 'CCDC50', 'HNRNPA0', 'PPIL1', 'RRM2', 'TPM3', 'SLC35C2', 'USP45', 'NDUFA2', 'YWHAZ', 'DUSP7', 'LSM2', 'CCDC88A', 'HAP1', 'UBE2V1', 'SFT2D2', 'KCTD15', 'ARHGEF6', 'GLYR1']",0.8589786957436906,0,0,31
11,hsa-miR-4540,0.0030985163271263307,4.016669338034942,23.203623508327716,"['YWHAE', 'DDX6', 'EID1', 'CASZ1', 'ODF2L', 'PHF5A', 'KLHL23', 'B3GALT5']",0.8596974391263237,0,0,8
12,hsa-miR-6760-5p,0.006031245106282918,1.7264323911382735,8.823453779581062,"['WBP2', 'CHRDL1', 'ZDHHC3', 'AKR7A2', 'CCND2', 'ADAMTS17', 'ERC1', 'HMGN2', 'DCAF11', 'CCDC50', 'ATP6V1F', 'HNRNPA0', 'NDUFA5', 'FANCC', 'DUSP7', 'LRRC20', 'CCDC88A', 'TUBB2A', 'NFIC', 'TMEM216', 'POLE3', 'HAP1', 'UBE2V1', 'ASTN2', 'NPTXR', 'SFT2D2', 'KCTD15', 'MON1B', 'ARHGEF6', 'FKBP5', 'GLYR1']",0.9993927170315551,0,0,31
13,hsa-miR-1204,0.00997171647204957,6.816304347826087,31.40954778998514,"['SGPL1', 'RAB5C', 'BRPF3', 'ANK1']",0.9993927170315551,0,0,4
14,mmu-miR-1964-5p,0.011391138568488595,4.735251907243749,21.18987130740154,"['CAMK4', 'USP45', 'SLC25A5', 'CPEB3', 'COA5']",0.9993927170315551,0,0,5
15,hsa-miR-889-5p,0.01213885644102436,2.586712968704783,11.410879946297126,"['UNC80', 'NCOA1', 'NSA2', 'MARCKS', 'KIAA1143', 'NHS', 'ZNF644', 'TXN', 'KIAA1958', 'PTMA']",0.9993927170315551,0,0,10
16,hsa-miR-8485,0.012360975843941536,1.3151799914131428,5.777863045190716,"['DGKG', 'TXNL4B', 'GRIK3', 'NR3C1', 'CHRDL1', 'AFF1', 'IGF1R', 'AFF2', 'CDH7', 'IPO5', 'ZMYM2', 'TATDN2', 'NNT', 'NUDT16', 'FGFBP3', 'JAK2', 'SS18', 'PRMT8', 'SLC30A3', 'STRBP', 'PHKA1', 'GTPBP1', 'KLHL42', 'EID1', 'TRAPPC6A', 'FAM169B', 'PEAK1', 'SCN8A', 'CRY2', 'RABL3', 'TBPL1', 'GLCCI1', 'SREK1', 'NPTXR', 'ASTN2', 'GLYR1', 'BEX4', 'RAB1A', 'USP27X', 'SLC41A2', 'GOSR2', 'GREB1L', 'SLC1A4', 'ATXN7L3B', 'TIMM10', 'PET117', 'PARL', 'ARHGAP12', 'PRRG3', 'PCNX1', 'SGPL1', 'DSEL', 'NACC2', 'FAM177A1', 'EIF4H', 'ST8SIA4', 'ABL2', 'MAP3K21', 'CSMD2', 'MEF2D', 'PAG1', 'CD99', 'ZNF585A', 'CCT4', 'SYT5', 'DNAJC19', 'IGBP1', 'NUS1', 'SPAG7', 'SYT2', 'NDUFA5', 'CAVIN4', 'CADPS', 'KLHL23', 'B3GALT5', 'PLXDC2', 'WTIP', 'MYO16', 'GCK', 'ATAT1', 'TSPAN14', 'ARMC10', 'CCDC9', 'SERBP1', 'LYRM7', 'C18ORF32', 'PIN1', 'NF2', 'CPEB3', 'DNAL1', 'MON1B']",0.9993927170315551,0,0,91
17,mmu-miR-804,0.012791244626723172,1.6655348373235113,7.260056955011324,"['NCAN', 'MRPL15', 'AKAP5', 'ZDHHC3', 'COMMD8', 'FAM241B', 'BLOC1S3', 'SLC38A6', 'SAP18', 'TRIM27', 'ZFP37', 'POLR3GL', 'STRBP', 'PDE4C', 'DYNLL1', 'EFR3B', 'EBNA1BP2', 'MRPL51', 'GNL3L', 'SOAT1', 'SCO1', 'ABI2', 'TTC5', 'UBE2V2', 'PIN1', 'PPIH', 'ZNF830', 'ZNF697']",0.9993927170315551,0,0,28
18,hsa-miR-4775,0.012822164519204149,1.5480058984050578,6.744011540727827,"['YWHAE', 'SLC24A2', 'VKORC1L1', 'TSHZ2', 'ATF7IP2', 'RHOBTB3', 'GSKIP', 'MRPS10', 'SLC8A1', 'NCALD', 'DCAF16', 'MED10', 'NRIP2', 'NHS', 'CEP170', 'ZFP37', 'NEO1', 'SMIM14', 'TUB', 'AGTPBP1', 'PARP1', 'PDE4C', 'WTIP', 'SVIP', 'PTBP2', 'TTC9', 'WNK1', 'LYRM7', 'ANP32E', 'NUCB1', 'LETMD1', 'KIAA1958', 'PAXBP1', 'RNF141', 'DCTPP1', 'JCAD', 'MON1B']",0.9993927170315551,0,0,37
19,hsa-miR-504-5p,0.014914964935914234,1.981814572165972,8.33430360367839,"['SMIM14', 'PPIL1', 'TPM4', 'RPL10', 'GSS', 'KIAA1143', 'RHOA', 'TMEM101', 'GNL3L', 'POLR3D', 'CRY2', 'SERBP1', 'MACROD2', 'HMGN2', 'C11ORF58', 'ZNF585A']",0.9993927170315551,0,0,16
20,hsa-miR-8064,0.015104270689318525,1.8197626841243864,7.629860488714124,"['NUS1', 'TXNL4B', 'MIGA1', 'NDUFA5', 'RPL34', 'TPM1', 'CADPS', 'GRIK3', 'IMP4', 'B3GALT5', 'WTIP', 'ATAT1', 'CCND2', 'SCN8A', 'NACC2', 'DSEL', 'CRY2', 'TBPL1', 'MAP3K21', 'DNAL1']",0.9993927170315551,0,0,20
21,mmu-miR-146b-5p,0.015250811153200572,5.679800724637682,23.759302700717427,"['SLC47A1', 'CAMK2A', 'MLLT3', 'NFKB1']",0.9993927170315551,0,0,4
22,hsa-miR-320a,0.017039083379923044,1.3462232085442563,5.4821514720321245,"['YWHAE', 'MRPS12', 'HMGB1', 'RPL9', 'ACTG1', 'IGF1R', 'LMNB1', 'RPS4X', 'RPL7A', 'TMEM101', 'CCND2', 'TMEM43', 'DPYSL2', 'SMARCAD1', 'ERC1', 'TEAD1', 'ZFP37', 'NEO1', 'EARS2', 'RAB2A', 'VKORC1', 'MAPK1IP1L', 'WARS', 'ANXA11', 'IMP4', 'SDHC', 'YWHAZ', 'COX6B1', 'DOK3', 'VOPP1', 'RPL27', 'PFDN6', 'SNRPB', 'ENPEP', 'EPB41', 'ARL3', 'ATXN7L3B', 'TMTC1', 'ADCY1', 'ARPP19', 'OAZ1', 'SRM', 'DNAJB5', 'PPP1R7', 'POLR2F', 'PSMF1', 'DCAF11', 'MEF2D', 'ZNF267', 'TUB', 'PPIL1', 'XBP1', 'NPM1', 'MDH2', 'UQCC2', 'RITA1', 'C20ORF27', 'NPM3', 'ARHGAP26', 'RPS27', 'RAB14', 'WNK1', 'POLR3D', 'EIF3J', 'MYO5C', 'CALM3', 'VPS45', 'CPEB3', 'YPEL2']",0.9993927170315551,0,0,69
23,hsa-miR-6124,0.01761522905073271,1.6485925925925926,6.658651409275701,"['FEN1', 'PRUNE2', 'ADAM22', 'LENG8', 'SNU13', 'SLC8A1', 'IGF1R', 'GNG3', 'YWHAQ', 'SNRPD1', 'ENSA', 'AP1S1', 'PCBD1', 'RAB11FIP4', 'ZNF267', 'KCNJ2', 'TPM3', 'STRBP', 'H3F3A', 'DPM2', 'CRY2', 'LYRM7', 'LCOR', 'CALM3', 'CPEB3', 'SFT2D2']",0.9993927170315551,0,0,26
