Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,ELK4 (human),0.00016866655138946776,1.4164356435643564,12.305407686208133,"['TXNL4B', 'PGAP3', 'DCAF4', 'TXN2', 'RGS4', 'RGS3', 'SESN1', 'CDC27', 'CHCHD7', 'CCDC96', 'NUDT16', 'SNRPD3', 'SOX5', 'SNRPN', 'TSTD1', 'MED8', 'ACOT13', 'ARID5B', 'SDHD', 'WBP11', 'TMEM130', 'SYTL2', 'EBNA1BP2', 'SFRP2', 'FNDC4', 'FSCN1', 'SNRPG', 'SNRPE', 'SREK1', 'RPL29', 'XPR1', 'PARM1', 'RBM8A', 'BTF3L4', 'UBE2J2', 'RPF2', 'STK4', 'GSPT1', 'C1ORF50', 'HSD11B2', 'EIF1AD', 'DGUOK', 'THPO', 'STK36', 'CPAMD8', 'PMVK', 'BAG1', 'KCNMB3', 'PSMF1', 'ZC3H15', 'PACSIN1', 'FIS1', 'TRAPPC1', 'CCDC138', 'TIPARP', 'LRBA', 'BTBD11', 'LSM5', 'GPN1', 'EIF2S1', 'HOPX', 'LSM2', 'DLG1', 'SP2', 'ARPC3', 'UBXN10', 'SP3', 'RNF181', 'COL9A3', 'GNB5', 'NF2', 'ITPA', 'KLHDC9', 'SPAG16', 'MYOM1', 'DDX49', 'RBM26', 'MRPS12', 'EFCAB3', 'ETFB', 'LAMC1', 'MRPL32', 'AFF1', 'TMEM101', 'ADAMTS2', 'ZNF529', 'NKIRAS2', 'ARIH1', 'RIOK1', 'CCDC50', 'ANKRD6', 'GRIPAP1', 'HELLS', 'WARS', 'H2AFY', 'TIGD6', 'DCAKD', 'GLRX5', 'CCDC113', 'NME2', 'MRPS21', 'ZNF75D', 'TOX4', 'TRAPPC6A', 'VAMP7', 'MRPL51', 'DNAJC7', 'CAT', 'TRAF5', 'RPUSD3', 'ARHGEF2', 'RAPGEF6', 'SLFN5', 'PLAG1', 'MRPS33', 'GOSR2', 'UQCR11', 'ZNF2', 'TIMM10', 'UQCR10', 'MRM1', 'NCALD', 'NT5E', 'TMEM169', 'C18ORF21', 'RHO', 'BRD9', 'SNRPB2', 'ATP6V0E2', 'CCDC71', 'CXORF40B', 'HES4', 'TIMM8A', 'ANKIB1', 'PDAP1', 'PLXDC2', 'EIF3M', 'CCS', 'KIF26B', 'MGAT4A', 'C18ORF32', 'NBR1', 'AGGF1', 'KIAA1958', 'YPEL4', 'CDKN3']",0.05498529575296649,0,0,146
2,NRF1 (mouse),0.0018227715484717543,1.3161550488265397,8.301512547846333,"['PARS2', 'SYAP1', 'CISD1', 'NRL', 'TMEM97', 'TTF2', 'CCDC28A', 'RDM1', 'GRIP1', 'RPS14', 'RPS6KA5', 'GNPTAB', 'CAPN7', 'CREB3L4', 'MAGOH', 'ARL16', 'TXNL4A', 'ENPP6', 'CHCHD1', 'SOX5', 'PLEKHJ1', 'CCDC155', 'ATP6V1G1', 'SLC30A9', 'AGTPBP1', 'RPS8', 'ARRDC3', 'PAM16', 'TPM1', 'SYTL1', 'CIRBP', 'ACOT13', 'IMP4', 'RPSA', 'MR1', 'MED6', 'COX6B1', 'NPAS4', 'FAM169B', 'MRTO4', 'ZSCAN21', 'NHP2', 'UBE2V2', 'ERP29', 'RPL27', 'UBE2V1', 'TCTA', 'SNRNP25', 'PRR13', 'RAB5C', 'TMEM161A', 'MGST3', 'SLC41A2', 'ZCCHC9', 'COX7A2', 'PDS5B', 'CABP1', 'NDRG1', 'RHOBTB2', 'MTM1', 'DSN1', 'LCN12', 'BAG1', 'ZC3H15', 'BTF3', 'AFAP1L2', 'CRTAP', 'NDFIP1', 'CCDC12', 'TMEM50B', 'TRAPPC4', 'LRBA', 'MRPL27', 'FANCC', 'NBEAL2', 'EIF2S2', 'FBXO33', 'STAG1', 'LSM7', 'ARPC3', 'NF2', 'ITPA', 'RPS23', 'SPAG16', 'MESP2', 'ITK', 'DHRS11', 'NCAN', 'WDR3', 'ZFAND2A', 'COX4I1', 'COX7C', 'MRPL32', 'HINT1', 'TMEM43', 'SCRN3', 'CASP2', 'BBS4', 'SS18', 'MKKS', 'CNOT6L', 'TNNC2', 'SORD', 'TUBG2', 'SYP', 'DYNLL1', 'COMMD5', 'CTU1', 'TFDP2', 'SYF2', 'SLC25A19', 'PPDPF', 'RPUSD3', 'CRY2', 'PFDN1', 'ITGB1BP1', 'EAPP', 'CRELD2', 'RAPGEF6', 'POMP', 'PET117', 'CAMKK2', 'MRPL55', 'PSMB6', 'PPP1R7', 'POLR2D', 'PCBD1', 'DNAJC5G', 'SNRPB2', 'RPS2', 'DCAF11', 'HNRNPA1', 'ATP6V0E2', 'CGREF1', 'NPM1', 'NDUFA6', 'NDUFA5', 'TAF12', 'GTF2H3', 'COX6C', 'NAP1L4', 'HINFP', 'TJP1', 'DNAJA1', 'TTC9', 'SPCS1', 'EIF3K', 'FKBP1B', 'EIF3J', 'EIF3F', 'YPEL4', 'RAB9B']",0.29711176240089593,0,0,152
3,MEF2A (human),0.0029425015315266935,1.2357500102854384,7.20256300130361,"['PLEKHB2', 'NUDT1', 'TXNDC15', 'STMN1', 'CDC27', 'CHEK1', 'MPV17', 'ATP6V1E1', 'ZNF169', 'C2ORF81', 'PDK1', 'C2ORF80', 'ATP6V1G2', 'METTL1', 'C17ORF49', 'COG4', 'ALG5', 'MED8', 'MRPS18B', 'MRPS18A', 'ANK2', 'DKK2', 'SYTL2', 'EML5', 'TMEM126A', 'ALPK3', 'LAP3', 'LETMD1', 'BEX2', 'TMEM161A', 'MEAF6', 'CAPSL', 'TMTC1', 'COPS7A', 'TXN', 'FPR2', 'PRDM11', 'NEU3', 'DGUOK', 'C7ORF50', 'COMMD8', 'ZNHIT3', 'KCNMB3', 'PSMF1', 'HBQ1', 'BTF3', 'AFAP1L2', 'STARD13', 'HOMER1', 'EXOC6B', 'C12ORF73', 'GPN1', 'SLC16A14', 'FBXL2', 'CPEB3', 'BEX5', 'SCN2B', 'LGMN', 'RPAIN', 'MRPS17', 'FASTKD2', 'ATF7IP2', 'PRKAG1', 'MRPS10', 'ZCCHC17', 'PIGV', 'MED11', 'MAP1LC3A', 'BBS9', 'RIOK1', 'FGFBP3', 'NCOA1', 'VAV3', 'RAB6C', 'CCDC115', 'SSR2', 'ANO6', 'C6ORF62', 'TUBG2', 'ZFX', 'APRT', 'TOX4', 'C12ORF45', 'LRRC7', 'CINP', 'RHOV', 'ARHGEF6', 'CAPS2', 'GRP', 'KIAA1324L', 'RPS27L', 'PSMA7', 'MRPL55', 'FGD6', 'TCEAL4', 'TCEAL2', 'C18ORF21', 'FAM177A1', 'AP2S1', 'ATP6V0E2', 'CAP2', 'LSAMP', 'CRIPT', 'TTC1', 'HINFP', 'DPY19L1', 'FABP3', 'GSTA4', 'TTC5', 'KLHL7', 'FKBP1B', 'TSR2', 'PNPLA4', 'PKN2', 'CIAPIN1', 'N6AMT1', 'ANKRD36', 'NDUFA12', 'RPP30', 'SYAP1', 'MRFAP1', 'SLA', 'TTF2', 'FGF1', 'HDDC3', 'SLC8A1', 'RIMS2', 'RGS4', 'EEF1B2', 'GRIP1', 'GNPTAB', 'SH2D5', 'TMSB10', 'SYBU', 'PHYH', 'C11ORF87', 'SLC30A9', 'RPS8', 'DYRK1A', 'ANXA11', 'ARID5B', 'CARTPT', 'CCNB1IP1', 'COX6B1', 'ARMCX5', 'CARD18', 'AMPH', 'SREK1', 'SNRPC', 'PPIB', 'ANKRD17', 'PARM1', 'RBM8A', 'BRI3', 'COX15', 'SLC41A2', 'COX7A1', 'PHF21A', 'TTC21B', 'ABL2', 'AP4S1', 'SAC3D1', 'HSPA6', 'SLC4A10', 'ZBTB10', 'DCDC2', 'DSTN', 'LSM5', 'LSM4', 'FBXO33', 'LSM2', 'SCCPDH', 'TMEM17', 'NBEA', 'UBXN10', 'ZFP62', 'CDK1', 'PIN1', 'NF2', 'GNB5', 'NIT1', 'EIF4G3', 'AFF1', 'SENP6', 'GM2A', 'ZNF529', 'SCRN3', 'TMEM107', 'PHACTR2', 'CA8', 'ERC1', 'PAAF1', 'H2AFY', 'CXORF56', 'PPP2R5A', 'TGFBR3', 'SLC25A18', 'TFDP2', 'PALLD', 'SLC25A19', 'CRY2', 'LANCL2', 'RP9', 'DSG3', 'SLC25A5', 'PFDN6', 'NDUFB5', 'GMPR2', 'VPS4B', 'TYRP1', 'ADD3', 'NCALD', 'FBXL22', 'PDE11A', 'POLR2D', 'LRRC8C', 'NHS', 'MAL2', 'C17ORF100', 'DCAF11', 'GBP2', 'POLR2K', 'OPCML', 'PPIL1', 'CHURC1', 'NDUFA5', 'NELL2', 'SLC4A7', 'POLE4', 'RSPH1', 'MGAT4A', 'FAM98C', 'SSBP1', 'VPS45', 'EIF3D', 'RBM43', 'PTPN3']",0.3197518330925674,0,0,237
4,GATA2 (human),0.00485526967388972,1.1508251072213342,6.1312401441727316,"['MAPKBP1', 'RNH1', 'PGAP2', 'TRRAP', 'FRMPD2', 'TMEM97', 'DCAF4', 'RPL6', 'PSMD8', 'PSMD7', 'CREB3L4', 'DPYSL2', 'STMN1', 'AP1S1', 'MPV17', 'A1BG-AS1', 'ZNF169', 'RPL39', 'C2ORF80', 'SAP30BP', 'ACOT8', 'MECR', 'ACOT7', 'CSNK2A1', 'PRKCB', 'PRKCD', 'REV1', 'MED8', 'DNTTIP1', 'ZFYVE21', 'DKK2', 'MED6', 'SYTL2', 'EML5', 'SCN10A', 'RBP4', 'MYL7', 'CLPP', 'ZSCAN21', 'TMEM126A', 'SPIN2B', 'PSME2', 'VOPP1', 'RPL27', 'RPL29', 'NGEF', 'ENPEP', 'MEAF6', 'MRPL18', 'HHLA3', 'WDR64', 'COPS7A', 'WDR61', 'MRPL14', 'FPR2', 'FAM149A', 'GABARAP', 'C12ORF65', 'HSD11B2', 'MRPL20', 'ADAMTS17', 'AFMID', 'KCNMB3', 'SERPINH1', 'RDH16', 'HBQ1', 'ELANE', 'NR2C2AP', 'ZSCAN18', 'BTF3', 'WNT10B', 'HEXIM2', 'AFAP1L2', 'WNT10A', 'STARD13', 'PRPF38A', 'CADM1', 'SIVA1', 'HOMER1', 'TIPARP', 'MRPL27', 'WDR53', 'BRAF', 'BTBD11', 'PA2G4', 'FAM136A', 'GPN1', 'SLC16A14', 'MRPL21', 'C12ORF76', 'TMEM99', 'PYDC1', 'CDK13', 'C19ORF48', 'LGMN', 'HRK', 'MYOM1', 'DENND1B', 'KCNC2', 'EFCAB3', 'PRKAG1', 'TMEM53', 'MRPL33', 'TMEM43', 'TMSB4X', 'MED10', 'ENSA', 'COL10A1', 'TK2', 'RIOK1', 'JAK2', 'TEAD1', 'CEP68', 'HELLS', 'ZNF362', 'LRRC49', 'SLC39A10', 'SERPINB9', 'C6ORF62', 'TMEM42', 'GMIP', 'MED29', 'MED28', 'TMEM177', 'MZT2A', 'C12ORF45', 'F8', 'NSA2', 'MRAS', 'MRPL51', 'VAMP7', 'PLCB4', 'LRRC7', 'CINP', 'RAPGEF2', 'PPARG', 'CLDND2', 'ASAH1', 'GRP', 'RNMT', 'PELI2', 'RPL11', 'SEZ6', 'RPS27L', 'TMEM160', 'TIMM10', 'PET117', 'TM9SF4', 'PSMB6', 'FGD6', 'SNX25', 'RHO', 'RICTOR', 'RPS2', 'TAF9B', 'RPS27A', 'CDKN2D', 'ATRNL1', 'TTC9C', 'PLXDC2', 'FAM71E1', 'GTF2H5', 'ADAT2', 'LRRC20', 'LYRM1', 'MKLN1', 'FAM200A', 'FABP3', 'AGBL1', 'SLCO3A1', 'MORN2', 'PSMC1', 'LPCAT3', 'LYRM7', 'C4ORF3', 'PCYOX1L', 'CIAPIN1', 'CCDC3', 'ZNF576', 'YPEL4', 'HSPA1A', 'ZNF691', 'COL16A1', 'ANKRD36', 'PDCD6', 'TUSC2', 'SYAP1', 'SLA', 'MPV17L2', 'PLOD2', 'RPL10A', 'FGF1', 'C1ORF74', 'SLC8A1', 'TM7SF2', 'RPH3A', 'SESN1', 'NUDT16', 'TMSB10', 'SYBU', 'ZNF442', 'TLE4', 'RAB2A', 'ZNF441', 'SNRPN', 'SERF1B', 'TPM3', 'RPS8', 'IGFBP2', 'DYRK1A', 'VASH2', 'UBE2E2', 'THOC2', 'THOC7', 'ENKUR', 'NPAS4', 'EBNA1BP2', 'MAF', 'ARMCX5', 'MRTO4', 'NHP2', 'FSCN1', 'LY6D', 'S100A6', 'ERP29', 'SNRPG', 'SREK1', 'TNIK', 'PPEF1', 'SNRPC', 'SQSTM1', 'SLC27A5', 'CCDC24', 'ARL3', 'CUL2', 'AK5', 'HSP90B1', 'EIF1AD', 'ORC6', 'STK36', 'CPAMD8', 'ABL2', 'BRIX1', 'AP4S1', 'SDF2L1', 'BOD1', 'ZBTB16', 'NEK6', 'SLC4A10', 'ZBTB10', 'TOR1B', 'LSM5', 'HOPX', 'LSM2', 'COPS4', 'LSM7', 'LRCH1', 'TMEM17', 'NBEA', 'ZFP62', 'NACA', 'CDK1', 'NF2', 'NIT1', 'RSL24D1', 'EIF4G3', 'RNF13', 'COX4I1', 'CDCA7L', 'ETFB', 'ADAMTS2', 'C6ORF226', 'ZNF529', 'PHACTR2', 'ZNF525', 'WDR7', 'NEO1', 'CCDC50', 'DST', 'OR14I1', 'LANCL1', 'SORD', 'GPX7', 'ASMTL', 'ZNF75D', 'PTBP2', 'NIPSNAP1', 'DUSP23', 'DNAJC7', 'TFDP2', 'SYF2', 'LANCL2', 'ITGA8', 'DSG2', 'GTF3C6', 'VPS4B', 'LRTM2', 'TYRP1', 'NDUFB2', 'NDUFB1', 'SEMA3F', 'MLLT3', 'MRM1', 'PPM1E', 'FBXL22', 'MTHFSD', 'SLITRK2', 'ZNF626', 'NHS', 'POLR2F', 'PCBD1', 'SNRPB2', 'FNIP1', 'CCDC71', 'BEND5', 'POLR2K', 'NOP56', 'NDUFA7', 'PPIL1', 'DUT', 'SPAG7', 'PCDH7', 'RPL35A', 'NELL2', 'GSTZ1', 'EIF3M', 'ZNF619', 'CDKN2AIPNL', 'DNAJA4', 'POLR3D', 'MGAT4A', 'ZNF737', 'TLL2', 'PDCD2', 'EIF3F', 'SEC24D', 'MMACHC', 'EIF3D', 'KCNK4', 'PTPN3', 'SLC23A2', 'PLEKHB2', 'ZMYND8', 'NUDT1', 'NUDT2', 'ZDHHC6', 'TXNDC15', 'ZDHHC4', 'RPS14', 'SPATA24', 'CDC27', 'CHEK1', 'PART1', 'CCDC96', 'ARL16', 'SNRPD3', 'TRIM27', 'ATP6V1E1', 'SEC62', 'TNS3', 'EPHA4', 'ATP6V1G1', 'ALG8', 'METTL1', 'IL1R1', 'MRPS18A', 'COX7A2L', 'FNDC4', 'KCTD10', 'PPP1R3E', 'CDC37', 'C22ORF34', 'FLYWCH2', 'KCNQ5', 'ALPK3', 'CTXN1', 'EIF1B', 'CCNO', 'KCTD16', 'L3MBTL1', 'CASZ1', 'BEX2', 'ZNF324B', 'BEX1', 'STXBP4', 'CAPSL', 'MGST3', 'ZBTB1', 'SUPT4H1', 'TMTC1', 'OMA1', 'MYL12B', 'SNX3', 'SGPL1', 'PPCS', 'INPP5D', 'N4BP3', 'RAB11FIP4', 'SNX5', 'DECR1', 'FER1L5', 'TMEM50B', 'SIAH2', 'SNHG8', 'NBEAL2', 'PYCR2', 'SMARCA1', 'MANF', 'AIMP1', 'STAG1', 'ARMC10', 'WNK1', 'ANP32E', 'HAR1A', 'ITM2A', 'BEX5', 'RPS23', 'ITM2C', 'SPAG16', 'FEN1', 'UBXN1', 'FASTKD2', 'ZFAND2A', 'CITED4', 'MRPS12', 'PTPRK', 'PTPRH', 'COX7C', 'HINT1', 'ZMYM2', 'MAP1LC3A', 'NNT', 'SEC61G', 'NKIRAS2', 'REV3L', 'MUC12', 'BBS9', 'HTATIP2', 'VAV3', 'PRMT5', 'PBRM1', 'CCDC115', 'IL15', 'CCDC113', 'NME2', 'ZDHHC12', 'MRPS21', 'ANO6', 'SYP', 'TMEM150C', 'ZFX', 'NME1', 'COMMD5', 'ARHGEF9', 'CCKBR', 'RPUSD3', 'ARHGEF2', 'CRELD2', 'ARHGEF6', 'NAPA', 'MAGEH1', 'PNCK', 'INPP1', 'MRPS33', 'KIAA1324L', 'SATB2', 'PRICKLE2', 'IBA57', 'ALOX12B', 'NEDD8', 'NOL3', 'HSD17B8', 'CAMKK2', 'TCEAL7', 'NT5E', 'TCEAL6', 'TCEAL3', 'TCEAL2', 'CAP2', 'ZNF585A', 'TSNAX', 'GINS3', 'UBE2G2', 'TJP1', 'TTC5', 'KIF26B', 'FKBP1B', 'AGGF1', 'PNPLA4', 'KIAA1958', 'TOMM6', 'GDA', 'NDUFA12', 'PRDM6', 'BCCIP', 'NR3C1', 'ACTG1', 'TXN2', 'RDM1', 'RGS4', 'EEF1B2', 'SCGN', 'DOCK11', 'RGS3', 'CCND2', 'CHCHD7', 'PHYH', 'LMO3', 'PAM16', 'ALG14', 'ANXA11', 'SDHC', 'KCTD3', 'SDHD', 'CARTPT', 'CCNB1IP1', 'COX6B1', 'DPM3', 'TMX2', 'SCN8A', 'UBE2V2', 'CHMP4B', 'AMPH', 'PRTN3', 'UBE2V1', 'FAM161B', 'ISCU', 'RAI14', 'FAIM', 'KLHL18', 'COX16', 'KLHL14', 'SLC41A2', 'OR9Q1', 'COX7A2', 'PDS5B', 'CABP1', 'EFNA5', 'STK4', 'RPF2', 'ODF2L', 'ZMAT2', 'COX11', 'C16ORF58', 'NDUFV1', 'ZC3H15', 'PACSIN1', 'DNAJC19', 'CRTAP', 'ACBD4', 'CCDC138', 'GGH', 'ISG15', 'EIF2S2', 'AP4B1', 'MANBAL', 'IFT20', 'TMEM234', 'DLG1', 'FGF14', 'IFT27', 'GNB5', 'ACBD3', 'DNAL4', 'EDA', 'RBM26', 'HSPB8', 'DPY30', 'HMGB3', 'CLEC14A', 'LAMC1', 'HMGB1', 'TRIAP1', 'DMKN', 'AFF1', 'AFF2', 'RPS4X', 'SDR16C5', 'FYCO1', 'TMEM101', 'CYP26B1', 'YWHAQ', 'CASP6', 'TMEM107', 'PDE4B', 'CASP2', 'UQCRFS1', 'MKKS', 'SVOP', 'H2AFY', 'CXORF56', 'DCAKD', 'ARAP1', 'GPCPD1', 'GAP43', 'TBC1D4', 'VGF', 'PALLD', 'PEAK1', 'IFNE', 'CRY2', 'PFDN1', 'CHI3L1', 'ITGB1BP1', 'PFDN2', 'ZMYND12', 'PFDN6', 'CHMP5', 'HEMGN', 'NXN', 'GMPR2', 'POMP', 'ADD3', 'PARL', 'DLL3', 'HSPD1', 'STRN3', 'ACAN', 'PRRG3', 'ERLEC1', 'PDE11A', 'IL1RL2', 'ERICH1', 'DDT', 'NRIP2', 'C17ORF100', 'CDIPT', 'CRYM', 'HES4', 'ABCF1', 'OPCML', 'C2ORF74', 'C2ORF73', 'PTCD2', 'RRM2', 'USP20', 'HS3ST1', 'NAP1L4', 'SOD1', 'RSPH3', 'RSPH1', 'CCS', 'PNKD', 'POLE3', 'RBM43']",0.3957044784220122,0,0,645
5,E2F4 (human),0.01009932117003941,1.6458300447250724,7.563061521113241,"['WBP2', 'MGST3', 'MRPL18', 'C1ORF131', 'COX7C', 'CCND2', 'DPYSL2', 'CHEK1', 'ENSA', 'TWISTNB', 'SLC16A6', 'PHACTR2', 'DNAJC5G', 'EARS2', 'SAC3D1', 'CHID1', 'CEP68', 'RABGAP1L', 'MKKS', 'LRRC49', 'PPP2R5A', 'FANCC', 'MANBAL', 'ENKUR', 'MFAP1', 'LPCAT3', 'C18ORF32', 'CDK1', 'FXYD7', 'PRTN3', 'CCNO']",0.5327463527002051,0,0,31
6,Tal1::Gata1 (mouse),0.010628825614687266,6.3712026633374945,28.951927213445114,"['VAMP7', 'DHX8', 'GM2A', 'FCF1']",0.5327463527002051,0,0,4
7,ZNF354C (human),0.012215872778396277,1.2850336949198555,5.660598002985305,"['VKORC1L1', 'COL16A1', 'GMFG', 'PRDM6', 'FCF1', 'TMEM97', 'TM7SF2', 'RGS4', 'RPS14', 'CAPN7', 'BANF1', 'NUDT16', 'SEC62', 'TMSB10', 'EARS2', 'ACOT7', 'PRKCB', 'UBE2E2', 'ZCRB1', 'SYTL2', 'DPM3', 'TIPRL', 'PPIH', 'UBE2V1', 'PPEF1', 'VPS25', 'NGEF', 'SLC27A5', 'FAIM', 'KLHL18', 'ENY2', 'KLHL14', 'RPS19BP1', 'BRI3', 'CCDC24', 'COPS7A', 'STK4', 'MCHR2', 'FAM149A', 'RAP1A', 'INPP5D', 'EXPH5', 'PACSIN1', 'CRTAP', 'NMB', 'CCDC12', 'ZBTB16', 'NEK6', 'SLC16A13', 'LSM2', 'TFCP2', 'NBEA', 'NACA', 'SP3', 'EIF4G3', 'SCN2B', 'RPAIN', 'RBM26', 'MRPS12', 'MED19', 'HMGB3', 'TMEM186', 'ALAD', 'TMEM221', 'RPS4X', 'HINT1', 'SEC61B', 'MDP1', 'BCAS2', 'CCDC113', 'PLA2G4C', 'ANO6', 'HAS2-AS1', 'GMIP', 'DYNLL1', 'MED29', 'NIPSNAP1', 'MRPL52', 'CTU1', 'ZEB1', 'PLCB4', 'FCHSD2', 'DNAJC7', 'RNMT', 'RPL11', 'NOL3', 'PPM1E', 'LAGE3', 'NCALD', 'TCEAL7', 'PDE11A', 'HAUS7', 'MAL2', 'C17ORF100', 'CCT4', 'IGBP1', 'BRF2', 'USP20', 'MKLN1', 'CCS', 'AGBL1', 'MORN2', 'C4ORF3', 'EIF3J', 'NUCB1', 'PDCD2', 'ZNF575']",0.5327463527002051,0,0,107
8,NKX3-1 (human),0.01697239980163503,1.666051725349638,6.791104722251192,"['RPAIN', 'ZNF324B', 'NRSN1', 'COX4I1', 'EFCAB3', 'RPS27L', 'TUBD1', 'FPR2', 'PTPRK', 'PDS5B', 'DTX4', 'C1ORF50', 'GLRA1', 'SLC16A6', 'ABL2', 'PSMF1', 'JAK2', 'CAP2', 'OPCML', 'THOC2', 'KCTD3', 'GCK', 'LSM2', 'PALLD', 'GNB5']",0.5327463527002051,0,0,25
9,IRF8 (human),0.01738435201896807,1.2305460370141053,4.986399930445667,"['SLC23A2', 'NDUFA12', 'TUSC2', 'CISD1', 'FCF1', 'BCCIP', 'SLA', 'ZDHHC6', 'DCAF4', 'SLC8A1', 'CCDC28A', 'RIMS2', 'ALKBH2', 'RPS14', 'RGS3', 'CHEK1', 'CHCHD7', 'ENPP6', 'HMGN2', 'SEC62', 'SYBU', 'PDK1', 'COG4', 'PRKCD', 'CLEC11A', 'MRPS18A', 'THNSL1', 'MR1', 'TMEM130', 'DPM3', 'FAM169B', 'KCTD10', 'KIAA2026', 'SNRPG', 'CHMP4B', 'COL8A1', 'FLYWCH2', 'SNRPE', 'SREK1', 'RPL29', 'ZNF324B', 'DHX8', 'MEAF6', 'MRPL18', 'COX7A2', 'CABP1', 'AK5', 'C12ORF66', 'MCHR2', 'MYL12B', 'RHOBTB2', 'COMMD8', 'ZBBX', 'BAG1', 'NDUFV1', 'RAB11FIP4', 'RPL41', 'NMB', 'TRAPPC1', 'ACBD4', 'AUTS2', 'SIAH2', 'ISG15', 'SMARCA1', 'LSM5', 'LSM4', 'LRCH1', 'NBEA', 'UQCRQ', 'UBXN10', 'ITGA10', 'CDK1', 'FXYD7', 'IFT27', 'RNF181', 'PIN4', 'CDK13', 'KLHDC9', 'MESP1', 'MRPS16', 'WDR3', 'MRPS12', 'ATF7IP2', 'PRKAG1', 'COX7C', 'MRPL32', 'TMEM186', 'UNC80', 'SERP2', 'NIPBL', 'NETO1', 'NNT', 'ADAMTSL3', 'PDE4B', 'JAK2', 'BBS4', 'HELLS', 'GRIPAP1', 'DBNL', 'DST', 'MRPS23', 'GAB1', 'ANO6', 'TCTE3', 'LRTOMT', 'ZEB1', 'MRPL51', 'THRAP3', 'PALLD', 'LANCL2', 'ITGB1BP1', 'DCTPP1', 'SATB2', 'GOSR2', 'IBA57', 'ZNF2', 'UQCR10', 'DBF4B', 'MLLT3', 'PDE11A', 'BAHD1', 'C18ORF21', 'SUSD5', 'HNRNPA1', 'DCAF11', 'OPCML', 'BRF2', 'PCDH7', 'LSAMP', 'LYSMD1', 'ADAT2', 'NELL2', 'TJP1', 'LYRM1', 'FABP3', 'SLCO3A1', 'KLHL7', 'PNPLA4']",0.5327463527002051,0,0,138
10,Sox5 (mouse),0.019104097654273487,1.4116622246835808,5.587150766396765,"['MAML2', 'LAMC1', 'DMKN', 'MRPL32', 'ABCC12', 'PSMD7', 'NETO1', 'SLC16A6', 'REV3L', 'RSPO3', 'BANF1', 'ENPP6', 'SNRPN', 'ATP6V1G2', 'SLC30A3', 'CCDC115', 'THNSL2', 'TMEM177', 'RBP4', 'VAMP7', 'ZSCAN21', 'PPEF1', 'PRR13', 'RAI14', 'SLC47A1', 'WBP1', 'CAPSL', 'VPS4B', 'SUPT4H1', 'WDR64', 'FPR2', 'CABP1', 'PHF21A', 'ODF2L', 'KIF3B', 'PMVK', 'ST3GAL6', 'BRIX1', 'RPS27A', 'BTF3', 'DUT', 'TMEM50B', 'TRAPPC8', 'MEIS3', 'SNUPN', 'LYRM1', 'TTC9', 'CDC42SE2', 'MON1B']",0.5327463527002051,0,0,49
