Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-719,0.0053051411581723626,1.446379602687823,7.577696856031611,"['TDRKH', 'HRK', 'AHCTF1', 'EDA', 'CITED4', 'BCCIP', 'NRL', 'NR3C1', 'RIMS2', 'ADAMTS2', 'MPC1', 'TRPS1', 'STMN1', 'NEK2', 'NEO1', 'SS18', 'C11ORF87', 'DBNL', 'LMO3', 'TPM1', 'ARID5B', 'PHKA1', 'C6ORF62', 'POU3F1', 'DUSP23', 'PRPF4', 'INF2', 'RP9', 'SLC25A5', 'LDAH', 'JCAD', 'ANKRD17', 'DMAC1', 'SLC41A2', 'ZBTB1', 'ILDR2', 'TGFA', 'CABP1', 'PHF21A', 'PDE11A', 'FGD6', 'TCEAL5', 'ANKH', 'ADAMTS17', 'LRRC8C', 'C16ORF58', 'CLSPN', 'SCN3B', 'CAP2', 'HOMER1', 'AUTS2', 'CEP350', 'ARPC5', 'KBTBD11', 'TIMM10B', 'TTC9', 'TMEM17', 'MFAP1', 'LPCAT3', 'C18ORF32', 'UST', 'NBR1', 'VPS45', 'RNF141', 'PTPN3']",0.999975058026664,0,0,65
2,hsa-miR-4304,0.022718650561446185,1.3712802274025515,5.189704750282626,"['PARS2', 'HSPB8', 'BCL7A', 'DPYSL2', 'CHCHD7', 'TEAD1', 'NCOA1', 'PRKCB', 'C17ORF49', 'ACOT13', 'ARID5B', 'PDIA6', 'GRIP2', 'TFDP2', 'DNAJC7', 'SCN8A', 'C19ORF25', 'VOPP1', 'CTXN1', 'FKBP5', 'CASZ1', 'PARM1', 'TMEM161A', 'PNCK', 'STXBP4', 'KIAA1324L', 'ADCY1', 'DTX4', 'MRPL57', 'MESD', 'ACACB', 'NCALD', 'DLL3', 'ANKH', 'KIF3B', 'FAM241B', 'VHL', 'RAB11FIP4', 'PTCD2', 'SURF2', 'LSAMP', 'DCDC2', 'TPD52L2', 'KBTBD11', 'ATOX1', 'NAP1L4', 'SLC4A7', 'PDCL3', 'SLC4A8', 'SYT11', 'UBXN10', 'ANP32E', 'CALM3', 'RPS23']",0.999975058026664,0,0,54
3,hsa-miR-3150a-5p,0.030325173710183187,1.21970990742338,4.263833957995141,"['DGKG', 'N6AMT1', 'MAPKBP1', 'RPP30', 'SLA', 'RRH', 'TXNDC15', 'DCAF4', 'NUDT4', 'RPS6KA5', 'CAPN7', 'NUDT19', 'NUDT16', 'SPA17', 'SCN1A', 'PDK1', 'EPHA4', 'ST6GAL2', 'LMO3', 'ARRDC3', 'ACOT13', 'ARID5B', 'SDHC', 'GRIP2', 'TIPRL', 'KCNQ5', 'SREK1', 'XPR1', 'FKBP5', 'BEX4', 'MTMR3', 'RBM8A', 'METTL2A', 'DNAJC24', 'PDS5B', 'HNRNPLL', 'EFNA5', 'ACACB', 'GSPT1', 'RHOBTB2', 'EIF1AD', 'NEU3', 'BLOC1S6', 'TKFC', 'KIF3B', 'SCN3B', 'RAB11FIP4', 'EXPH5', 'CNTLN', 'COA3', 'WNT10A', 'DNAH11', 'HELZ', 'DNAJC18', 'TIMM10B', 'UST', 'C16ORF46', 'BEX5', 'DENND1B', 'MTMR10', 'AFF2', 'ZMYM2', 'NETO1', 'ADAMTSL3', 'PHACTR2', 'ITGAV', 'ARIH1', 'HIF1AN', 'JAK3', 'NEO1', 'STPG1', 'SS18', 'GRIPAP1', 'ABCC4', 'DST', 'DESI1', 'MRPS25', 'TIGD6', 'SORD', 'NDUFC2', 'SYP', 'GPCPD1', 'ZFX', 'ZEB1', 'PEAK1', 'CRY2', 'DSG2', 'SLFN5', 'KIAA1324L', 'MLLT3', 'PPM1E', 'CAMKK2', 'GNA13', 'ERLEC1', 'GNG3', 'PDE11A', 'RAB40B', 'C17ORF102', 'RICTOR', 'TIMM8A', 'CHURC1', 'SPRYD7', 'LSAMP', 'NPM3', 'GTF2H5', 'MKLN1', 'CYP24A1', 'PDE10A', 'CDKN2AIPNL', 'SYT11', 'MGAT4A', 'ZNF737', 'PCYOX1L', 'PKN2', 'PDCD2', 'RNF141', 'RBM43', 'PTPN3']",0.999975058026664,0,0,118
4,hsa-miR-3150b-5p,0.030325173710183187,1.21970990742338,4.263833957995141,"['DGKG', 'N6AMT1', 'MAPKBP1', 'RPP30', 'SLA', 'RRH', 'TXNDC15', 'DCAF4', 'NUDT4', 'RPS6KA5', 'CAPN7', 'NUDT19', 'NUDT16', 'SPA17', 'SCN1A', 'PDK1', 'EPHA4', 'ST6GAL2', 'LMO3', 'ARRDC3', 'ACOT13', 'ARID5B', 'SDHC', 'GRIP2', 'TIPRL', 'KCNQ5', 'SREK1', 'XPR1', 'FKBP5', 'BEX4', 'MTMR3', 'RBM8A', 'METTL2A', 'DNAJC24', 'PDS5B', 'HNRNPLL', 'EFNA5', 'ACACB', 'GSPT1', 'RHOBTB2', 'EIF1AD', 'NEU3', 'BLOC1S6', 'TKFC', 'KIF3B', 'SCN3B', 'RAB11FIP4', 'EXPH5', 'CNTLN', 'COA3', 'WNT10A', 'DNAH11', 'HELZ', 'DNAJC18', 'TIMM10B', 'UST', 'C16ORF46', 'BEX5', 'DENND1B', 'MTMR10', 'AFF2', 'ZMYM2', 'NETO1', 'ADAMTSL3', 'PHACTR2', 'ITGAV', 'ARIH1', 'HIF1AN', 'JAK3', 'NEO1', 'STPG1', 'SS18', 'GRIPAP1', 'ABCC4', 'DST', 'DESI1', 'MRPS25', 'TIGD6', 'SORD', 'NDUFC2', 'SYP', 'GPCPD1', 'ZFX', 'ZEB1', 'PEAK1', 'CRY2', 'DSG2', 'SLFN5', 'KIAA1324L', 'MLLT3', 'PPM1E', 'CAMKK2', 'GNA13', 'ERLEC1', 'GNG3', 'PDE11A', 'RAB40B', 'C17ORF102', 'RICTOR', 'TIMM8A', 'CHURC1', 'SPRYD7', 'LSAMP', 'NPM3', 'GTF2H5', 'MKLN1', 'CYP24A1', 'PDE10A', 'CDKN2AIPNL', 'SYT11', 'MGAT4A', 'ZNF737', 'PCYOX1L', 'PKN2', 'PDCD2', 'RNF141', 'RBM43', 'PTPN3']",0.999975058026664,0,0,118
5,hsa-miR-3144-3p,0.037579117962356225,1.18079736035327,3.8745583562359505,"['VKORC1L1', 'PLEKHB2', 'TMEM200A', 'RPP30', 'MPI', 'FCF1', 'ZDHHC6', 'SMC5', 'NR3C1', 'NR3C2', 'IPO5', 'GRIP1', 'CHCHD2', 'NUDT19', 'NUDT16', 'MACROD2', 'SEC62', 'C11ORF87', 'SERF1B', 'TPM3', 'DYRK1A', 'ACOT13', 'ENKUR', 'EML5', 'PCP4', 'MAF', 'TCEANC2', 'ADTRP', 'TCTA', 'JCAD', 'FKBP5', 'KMT2E', 'ENY2', 'EPB41', 'COX15', 'MGST3', 'ZBTB1', 'OR9Q1', 'COPS7A', 'DNAJC24', 'DTX4', 'STK4', 'ARPP19', 'GSPT1', 'SNX3', 'SGPL1', 'ANKH', 'PRKAR2B', 'ARSK', 'MAP3K21', 'MLEC', 'ABL2', 'SNX5', 'PACSIN1', 'DNAJC19', 'RABGAP1L', 'CEP350', 'SRD5A3', 'ZBTB10', 'THAP12', 'DSTN', 'HELZ', 'ARPC5', 'FBXO33', 'EIF2S1', 'DNAJC18', 'AFDN', 'STAG2', 'TMEM99', 'ZFP62', 'SP3', 'EIF4G3', 'RPS23', 'SCN2B', 'DENND1B', 'ZCCHC12', 'RNF13', 'FASTKD2', 'HMGB3', 'UNC80', 'ENSA', 'PHACTR2', 'RSPO3', 'ITGAV', 'HIF1AN', 'FGFBP3', 'BBS4', 'CEP68', 'VAV3', 'TSFM', 'CNOT6L', 'CXORF56', 'LANCL1', 'KIAA1143', 'GAB1', 'C6ORF62', 'GPCPD1', 'ZFX', 'CNKSR2', 'TOX4', 'ARHGEF9', 'PEAK1', 'LRRC7', 'LANCL2', 'DSG2', 'DSG3', 'DMAC1', 'KIAA1324L', 'SATB2', 'GOSR2', 'PELI2', 'RPS27L', 'UQCR11', 'PPM1E', 'MTHFSD', 'GNA13', 'ERLEC1', 'NT5E', 'PDE11A', 'FGD6', 'RBBP4', 'BAHD1', 'FAM177A1', 'ZNF626', 'NHS', 'SCN7A', 'MAL2', 'ZNF106', 'RPL15', 'TAF9B', 'ZNF585A', 'NEGR1', 'ATRNL1', 'PCDH7', 'SPRYD7', 'LYSMD1', 'GTF2H3', 'HS3ST1', 'GTF2H5', 'SLC4A7', 'PDE10A', 'CYP24A1', 'SLCO3A1', 'ABI2', 'SYT11', 'MGAT4A', 'EIF3J', 'APLF', 'NBR1', 'LYRM7', 'TLL2', 'PDCD2', 'SEC24D']",0.999975058026664,0,0,153
6,mmu-miR-376a,0.04150875594898512,1.4534302415013074,4.6245983035169145,"['KLHL18', 'DENND1B', 'PRKAG1', 'ILDR2', 'DNAJC24', 'ZC3HAV1', 'FGF1', 'GABARAP', 'PHF21A', 'AFF1', 'NR3C2', 'GNA13', 'C1QTNF6', 'ADAMTS17', 'SLC16A6', 'FGFBP3', 'TXNL4A', 'FNIP2', 'CAP2', 'SLC30A3', 'PCDH7', 'LANCL1', 'SERPINB9', 'ENKUR', 'TGFBR3', 'MKLN1', 'ALS2', 'CACHD1', 'ARHGEF2', 'KCTD16']",0.999975058026664,0,0,30
7,hsa-miR-3713,0.04387526862139436,1.217674661105318,3.806943509317949,"['N6AMT1', 'VKORC1L1', 'MAML2', 'PGAP3', 'RPP30', 'SLA', 'TMEM97', 'FGF1', 'NARS', 'RIMS2', 'MACROD2', 'HMGN2', 'ZFP37', 'C11ORF87', 'ARID5B', 'PDIA4', 'NEIL2', 'ALPK3', 'SNRPE', 'XPR1', 'KCTD16', 'PFN2', 'L3MBTL1', 'DHX8', 'ZC3HAV1', 'HNRNPLL', 'EFNA5', 'STK4', 'PHF21A', 'DSN1', 'ODF2L', 'THPO', 'CLSPN', 'COA3', 'NDFIP1', 'POLR3GL', 'C12ORF73', 'PYCR3', 'AFDN', 'SCCPDH', 'CDK1', 'RSL24D1', 'RPS23', 'MTMR10', 'NRSN1', 'NCAN', 'HSPB8', 'ATF7IP2', 'HMGB3', 'AFF1', 'SERP2', 'ZMYM2', 'STBD1', 'SCRN3', 'TRPS1', 'ENSA', 'TMEM107', 'PDE4B', 'TEAD1', 'CCDC50', 'HELLS', 'ABCC4', 'CXORF56', 'TIGD6', 'SMIM19', 'CCDC113', 'GAB1', 'MED29', 'TBC1D4', 'TFDP2', 'PAX7', 'LDAH', 'RNMT', 'SATB2', 'UQCR11', 'AGPAT1', 'ADD3', 'HSD17B8', 'STRN3', 'GNA13', 'MCRIP1', 'ZNF626', 'TWISTNB', 'NHS', 'RICTOR', 'ANKIB1', 'SGTB', 'CRIPT', 'TJP1', 'TTC9', 'MKLN1', 'SLC4A8', 'PDE10A', 'SLCO3A1', 'ABI2', 'LYRM7', 'PNPLA4', 'VPS45', 'RBM43']",0.999975058026664,0,0,99
8,hsa-miR-337-5p,0.044592588725897137,1.3290370792377726,4.1335546515329105,"['DGKG', 'EPB41', 'NCAN', 'TUSC2', 'ZMYND8', 'RNF19B', 'ILDR2', 'COPS7A', 'DNAJC24', 'ADCY7', 'PHF21A', 'IPO5', 'MTHFSD', 'C3ORF18', 'ODF2L', 'TMEM43', 'GM2A', 'HAUS7', 'MACROD2', 'TRIM27', 'C16ORF58', 'CA8', 'TEAD1', 'TNS3', 'EARS2', 'SMIM12', 'OPCML', 'CHID1', 'SVOP', 'RRM2', 'MDH2', 'NEK6', 'GLRX5', 'KIAA1143', 'PDAP1', 'SYP', 'POU3F1', 'TPD52L2', 'PDIA6', 'KBTBD11', 'HINFP', 'TJP1', 'AFDN', 'DLG1', 'WNK1', 'PEAK1', 'FKBP5', 'KCTD16']",0.999975058026664,0,0,48
9,hsa-miR-3678-5p,0.04806796030156471,1.4512657143835852,4.404793792863037,"['PARM1', 'PSMD13', 'PRDM6', 'ZCCHC9', 'WDR61', 'MCM10', 'STK4', 'NDRG1', 'EIF1AD', 'BLOC1S6', 'ADAMTS2', 'ORC6', 'TRPS1', 'FAM3A', 'ITGAV', 'FNIP1', 'CADM1', 'DESI1', 'DDIAS', 'TPM3', 'THNSL1', 'SLC16A14', 'KLHL42', 'EFNA2', 'SLCO3A1', 'CHMP4B', 'ALPK3', 'SQSTM1']",0.999975058026664,0,0,28
10,mmu-miR-99a,0.05252625418466638,1.4090273076055067,4.151617456216821,"['ITK', 'MTMR3', 'ADCY1', 'PDS5B', 'ARPP19', 'IGF1R', 'C3ORF18', 'DSN1', 'NIPBL', 'CYP26B1', 'ZMYM2', 'ERICH1', 'FAM110D', 'NKIRAS2', 'STBD1', 'BAG1', 'DENR', 'ENPP6', 'CHID1', 'COA4', 'CUBN', 'PRMT5', 'WARS', 'HELZ', 'PRPF4', 'TXLNB', 'TFDP2', 'PEAK1', 'ANP32E', 'CEP83', 'LDAH']",0.999975058026664,0,0,31
