Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-5692b,0.00010404295490992672,2.2992234432234433,21.08550387261924,"['FOCAD', 'ZCCHC9', 'BTF3L4', 'TYRP1', 'PRICKLE2', 'TMTC1', 'NR3C1', 'MLLT3', 'ADD3', 'AFF1', 'DSN1', 'CCND2', 'RAP1A', 'TRPS1', 'NHS', 'ABL2', 'PHACTR2', 'SNRPB2', 'CA8', 'ZFP37', 'SNX5', 'ABCF1', 'PRKCD', 'SDHD', 'SYP', 'NPM3', 'NELL2', 'SYF2', 'BOLA3', 'UST', 'C8ORF33']",0.1583013558954535,0,0,31
2,hsa-miR-5692c,0.00010404295490992672,2.2992234432234433,21.08550387261924,"['FOCAD', 'ZCCHC9', 'BTF3L4', 'TYRP1', 'PRICKLE2', 'TMTC1', 'NR3C1', 'MLLT3', 'ADD3', 'AFF1', 'DSN1', 'CCND2', 'RAP1A', 'TRPS1', 'NHS', 'ABL2', 'PHACTR2', 'SNRPB2', 'CA8', 'ZFP37', 'SNX5', 'ABCF1', 'PRKCD', 'SDHD', 'SYP', 'NPM3', 'NELL2', 'SYF2', 'BOLA3', 'UST', 'C8ORF33']",0.1583013558954535,0,0,31
3,hsa-miR-4794,0.0015418181822140478,2.2019675925925926,14.257284181142241,"['VKORC1L1', 'SLC35F6', 'ZNF324B', 'RRM2', 'GTF3C6', 'MPI', 'ALG14', 'CD3EAP', 'IBA57', 'IMP4', 'STK4', 'LRTOMT', 'SPCS1', 'FMC1', 'NRIP2', 'LPCAT3', 'ARSK', 'LYRM7', 'SERPINH1', 'FBXL2', 'LETMD1', 'HNRNPA1']",0.8083218211916279,0,0,22
4,hsa-miR-664a-5p,0.0015418181822140478,2.2019675925925926,14.257284181142241,"['VKORC1L1', 'SLC35F6', 'ZNF324B', 'RRM2', 'GTF3C6', 'MPI', 'ALG14', 'CD3EAP', 'IBA57', 'IMP4', 'STK4', 'LRTOMT', 'SPCS1', 'FMC1', 'NRIP2', 'LPCAT3', 'ARSK', 'LYRM7', 'SERPINH1', 'FBXL2', 'LETMD1', 'HNRNPA1']",0.8083218211916279,0,0,22
5,hsa-miR-4468,0.0016109954445484352,2.0720190189535215,13.324953330241826,"['RAB5C', 'PLEKHB2', 'WBP2', 'FCF1', 'PRICKLE2', 'IBA57', 'PHF21A', 'HSP90B1', 'ASGR2', 'DOCK11', 'KIF3B', 'ST3GAL5', 'ZNF106', 'C16ORF58', 'RAB2A', 'PPIL1', 'NPM1', 'SPRYD3', 'SMIM19', 'ALG14', 'PYCR1', 'EHD2', 'CDK1', 'CHMP4B', 'PRR13']",0.8083218211916279,0,0,25
6,hsa-miR-3607-5p,0.001688356870735935,2.797215242881072,17.85742068073072,"['PPIL1', 'NDUFB5', 'MRPS21', 'HSPD1', 'TMEM189', 'TMEM101', 'FAM169B', 'SLC16A6', 'DSG2', 'ALPK3', 'UBE2V1', 'SOX5', 'PRR13', 'ABCF1']",0.8083218211916279,0,0,14
7,hsa-miR-216b-5p,0.0019278872445357767,2.1567460317460316,13.482532394865618,"['BEX3', 'ZNF324B', 'PRPF38A', 'TIMM29', 'CSNK2A1', 'TPM3', 'SORD', 'IMP4', 'ABCC12', 'TM9SF4', 'MED28', 'SDR16C5', 'HINT1', 'NSA2', 'CAPN7', 'NNT', 'AKIP1', 'ANP32E', 'TCEANC2', 'MAP3K21', 'FGF10', 'MON1B']",0.8083218211916279,0,0,22
8,hsa-miR-1229-3p,0.0021250655831524887,1.8644285714285713,11.473605081545939,"['ZNF324B', 'FEN1', 'TRRAP', 'WDR3', 'MED19', 'TM9SF4', 'NEU3', 'MYDGF', 'RPL7A', 'CHCHD2', 'IL1RL2', 'ZMYM2', 'POLR2D', 'ZNF525', 'TRIM27', 'ERC1', 'CDIPT', 'HNRNPA1', 'TIMM8A', 'PBRM1', 'ACOT7', 'LRBA', 'CEP350', 'NME2', 'SLC16A13', 'VWA8', 'MRPL51', 'ALS2', 'NF2', 'LETMD1', 'KCTD15']",0.8083218211916279,0,0,31
9,hsa-miR-1267,0.0025743728688690103,2.0230221571628184,12.06156017988479,"['VKORC1L1', 'PRPF38A', 'ANKRD36', 'CUL2', 'KIAA1143', 'IBA57', 'C12ORF73', 'FANCC', 'UBE2G2', 'PLXDC2', 'C1ORF50', 'MED29', 'HS3ST1', 'MKLN1', 'CCS', 'RPS6KA5', 'RBBP4', 'C18ORF21', 'UBE2V2', 'TCEANC2', 'ERC1', 'GRSF1', 'HNRNPA1', 'ABCF1']",0.8237215177048303,0,0,24
10,hsa-miR-6502-3p,0.0027069389342912593,2.6321558774263476,15.561139266289578,"['ZNF324B', 'CCDC115', 'GTF3C6', 'NCAN', 'MPI', 'ALG14', 'SLC39A10', 'IMP4', 'AFF2', 'LRTOMT', 'TFDP2', 'IFNE', 'SLC16A6', 'CHMP4B']",0.8237215177048303,0,0,14
