Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,GATA4 human,0.003915729823432519,6.070890591966173,33.6494503783926,"['SGPL1', 'CCND2', 'SUMO1', 'STAR', 'NPPA', 'ERBB2', 'FGF10']",0.9997873561783204,0,0,7
2,MAF mouse,0.01123661116040711,inf,inf,"['MAF', 'CCND2', 'CRYAB']",0.9997873561783204,0,0,3
3,ATF6 human,0.020323268333593852,4.161479524438573,16.213077726911475,"['DNAJC3', 'RTN3', 'XBP1', 'WBP1', 'DDIT3', 'NUCB1']",0.9997873561783204,0,0,6
4,PPARD human,0.03136252532144142,4.33405969360803,15.005128188372735,"['HSD11B2', 'CAT', 'LPL', 'TXN', 'SOD1']",0.9997873561783204,0,0,5
5,IKBKB mouse,0.037399268891102344,10.398627243928194,34.17097186104969,"['NFKBIA', 'PTGS2', 'NFKB1']",0.9997873561783204,0,0,3
6,POU3F1 mouse,0.037399268891102344,10.398627243928194,34.17097186104969,"['EGR2', 'MPZ', 'LOR']",0.9997873561783204,0,0,3
7,PAX6 human,0.049006352800700495,4.622128333773436,13.93943931245956,"['ITGB1', 'PCSK1', 'FABP7', 'PROX1']",0.9997873561783204,0,0,4
8,NRF1 human,0.07137591965153377,2.600330250990753,6.8643380832139105,"['PRDX5', 'SNRPN', 'CAPNS1', 'IDE', 'COX6A1', 'SDHB']",0.9997873561783204,0,0,6
9,ASCL1 mouse,0.08095792251474597,3.4663321890678636,8.713755060893378,"['CDKN2D', 'DLL4', 'BUB1', 'DLL3']",0.9997873561783204,0,0,4
10,EGR1 human,0.09493295448123279,1.49819844789357,3.527634661809148,"['TOE1', 'PTEN', 'PSEN2', 'SLC4A2', 'PTGS2', 'NFKB1', 'SOD1', 'PTP4A1', 'HSD11B2', 'CCND2', 'FAP', 'UBE2S', 'MYB', 'STMN1', 'PPARG', 'TCF4', 'LTB', 'EAPP', 'PTGES']",0.9997873561783204,0,0,19
11,BCL6 human,0.09717924248406037,2.311228533685601,5.387931670427903,"['XBP1', 'CCND2', 'SUMO1', 'CHEK1', 'PDCD2', 'NFKB1']",0.9997873561783204,0,0,6
12,CREBBP mouse,0.10716361270098361,1.835723395651227,4.099901918144539,"['GRIP1', 'NFYA', 'STAR', 'FTH1', 'FOS', 'CRYAB', 'CLOCK', 'NFKB1', 'HINFP']",0.9997873561783204,0,0,9
13,TRP73 mouse,0.12721928654650674,2.0799471598414794,4.288524524703423,"['PDGFRB', 'CASP8AP2', 'PTEN', 'E2F1', 'BAX', 'NR3C1']",0.9997873561783204,0,0,6
14,FOXP3 mouse,0.13053621183661113,3.4656810982048576,7.056489244810137,"['ERBB2', 'SKP2', 'NFKB1']",0.9997873561783204,0,0,3
15,HSF2 human,0.13053621183661113,3.4656810982048576,7.056489244810137,"['MAP2K4', 'FOS', 'TXN']",0.9997873561783204,0,0,3
16,NCOA3 mouse,0.13053621183661113,3.4656810982048576,7.056489244810137,"['NFKBIA', 'PPARG', 'CLOCK']",0.9997873561783204,0,0,3
17,FOS human,0.14449785627810866,1.541148451971421,2.981337204308667,"['CASP9', 'ACTA1', 'BATF3', 'STAR', 'DDIT3', 'NPY', 'NPPA', 'NEFL', 'FOS', 'MELTF', 'PTGS2', 'NFKB1']",0.9997873561783204,0,0,12
18,PTTG1 human,0.14545611790283114,2.1663695192815635,4.176502273481402,"['CDC42', 'LGALS1', 'CDK1', 'RAC1', 'RHOA']",0.9997873561783204,0,0,5
19,CREM human,0.16113133909447783,1.8907169448781074,3.4515708575421504,"['ZAP70', 'G6PD', 'GPX4', 'STAR', 'DUSP1', 'FOS']",0.9997873561783204,0,0,6
20,APC human,0.16682286619953612,2.310536044362292,4.137760422656959,"['F8', 'DLG1', 'ODC1', 'PTGS2']",0.9997873561783204,0,0,4
21,ETV4 mouse,0.16682286619953612,2.310536044362292,4.137760422656959,"['CCND2', 'TERT', 'ERBB2', 'PTGS2']",0.9997873561783204,0,0,4
22,REST human,0.18341104770265934,1.5600079323109466,2.645813206386257,"['PCSK1', 'GLRA1', 'VGF', 'STAT1', 'DYRK1A', 'CD59', 'SCG3', 'CARTPT', 'CHGB']",0.9997873561783204,0,0,9
23,NKX2-5 mouse,0.18661179171592007,1.9255150554675118,3.2324098765599802,"['NPPA', 'MOV10L1', 'CALR', 'JARID2', 'FGF10']",0.9997873561783204,0,0,5
24,NR1H4 human,0.18661179171592007,1.9255150554675118,3.2324098765599802,"['ABCC4', 'FABP6', 'ABCB4', 'ABCB11', 'NFKB1']",0.9997873561783204,0,0,5
