Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,ILF3,1.2236258437040142e-09,2.2274379597561325,45.71025088966544,"['RPL5', 'RPL3', 'RPL32', 'RPL8', 'RPL10A', 'RPL9', 'RPL6', 'RPL7', 'TXN2', 'ACTG1', 'RPS14', 'RPS17', 'RPL18A', 'MAGOH', 'SMARCAD1', 'RPS13', 'RAB2A', 'GABARAPL2', 'GABARAPL1', 'RPL21', 'CSNK2A1', 'TPM4', 'PRKCB', 'RPS8', 'RPL23', 'RPL22', 'ILF2', 'PDIA4', 'EEF1A1', 'RPL24', 'RPL27', 'RPL29', 'SNRPC', 'LRRC59', 'KHDRBS2', 'CUL2', 'MRPL17', 'MRPL15', 'NDRG1', 'GABARAP', 'UQCRH', 'MRPL11', 'MRPL20', 'RAP1A', 'NDUFV3', 'NDUFV1', 'XRCC6', 'LSM2', 'RPS26', 'RPS25', 'RPS28', 'RPS20', 'RPS24', 'RPS23', 'MRPS14', 'MRPS10', 'MRPL32', 'MRPL4', 'RPS4X', 'RPL7A', 'MAP1LC3B', 'MAP1LC3A', 'MRPL40', 'SUMO1', 'SUMO2', 'MRPL9', 'HSP90AA1', 'SSR4', 'RPS3A', 'MRPL45', 'RCN2', 'RPL37A', 'VAMP2', 'SF3B5', 'STAU1', 'RPL10', 'MRPS35', 'RPL12', 'RPL11', 'RPS27L', 'NEDD8', 'MRPL55', 'RPS15A', 'RPS3', 'RPL13', 'SNCG', 'RPL15', 'RPS2', 'RPL18', 'HNRNPA1', 'RPL17', 'RAE1', 'RPL19', 'NOP56', 'NDUFA2', 'RRP1B', 'SPCS2', 'RAB14', 'LNX1', 'LAMTOR2', 'SLIRP', 'SSBP1']",3.267081002689718e-07,0,0,102
2,ESR1,1.3215264612889633e-06,1.467845209546704,19.8698141250953,"['RPL5', 'RPL3', 'POP1', 'TRRAP', 'EHMT2', 'ALKBH7', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPS14', 'NSDHL', 'RPS17', 'RPS19', 'RPL18A', 'SNRPD1', 'RPL36AL', 'RPS18', 'RPS6KA2', 'PRKACA', 'RPS10', 'RPS13', 'RPS12', 'DDX18', 'CSNK2A1', 'RPL21', 'RPL22', 'KRT8', 'MED4', 'MED6', 'GTPBP4', 'INPP4B', 'RPL24', 'VDAC1', 'RPL29', 'RPL28', 'PIK3R3', 'ZC3HAV1', 'ZNHIT3', 'SERPINH1', 'RRS1', 'DECR1', 'BTF3', 'FIS1', 'XBP1', 'XRCC6', 'XRCC5', 'GADD45A', 'RPS26', 'RPS25', 'DCHS1', 'HYOU1', 'CALM3', 'RPS20', 'CALM2', 'RPS24', 'AARS', 'RPS23', 'MRPS17', 'ARF1', 'MYL6B', 'MED17', 'MED13', 'ATIC', 'TUBA1A', 'MED10', 'TMED2', 'SEC61B', 'SPTAN1', 'NCOA1', 'VAV3', 'NCOA2', 'PRMT2', 'PARP1', 'ACAD9', 'SSR3', 'NME2', 'FOS', 'GNL2', 'MRPS6', 'GNL3', 'NME1', 'DDB1', 'PSMA5', 'PLCB3', 'TUBB2A', 'PPARG', 'ALDOA', 'STAU1', 'MRPS35', 'RPL10', 'RPL12', 'RPL11', 'NEDD8', 'PSMA7', 'PAK1', 'EXOSC4', 'RPS15A', 'PSMB2', 'RPS3', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPL17', 'CCT4', 'RPL19', 'NPM1', 'MDH2', 'PTGES3', 'RRP1B', 'PSMC5', 'DHRS7', 'SPCS2', 'MYBBP1A', 'PSMC1', 'APEX1', 'HSPA1B', 'MPG', 'IRS1', 'PRDM2', 'RPL10A', 'IGF1R', 'GRIP1', 'RGS3', 'FAM162A', 'RUVBL2', 'ARHGDIA', 'NPPA', 'CFL1', 'AP2M1', 'PDIA3', 'G6PD', 'SLC30A9', 'SUPT16H', 'RPS9', 'RPS7', 'RPS8', 'TPM1', 'SARS', 'RPSA', 'ILF2', 'PDIA4', 'EEF1A1', 'KAT6A', 'DNAJB11', 'FKBP4', 'FKBP5', 'GLYR1', 'LRRC59', 'VCP', 'PHB', 'HSP90B1', 'RAP1A', 'BAG1', 'PGK1', 'HSPA9', 'HSPA8', 'GOT1', 'ZBTB16', 'IDH2', 'ARPC4', 'NFKB1', 'CDK8', 'CDK7', 'SP2', 'NACA', 'SP3', 'GNB1', 'CDK1', 'TAB2', 'EIF4G3', 'YWHAE', 'GSK3B', 'HSP90AB1', 'THRA', 'YWHAB', 'CHD9', 'PTEN', 'HMGB2', 'HMGB1', 'RPS4X', 'RPL7A', 'SUMO1', 'YWHAQ', 'BCAS2', 'YWHAH', 'ACTR2', 'HSP90AA1', 'H2AFY', 'DDX54', 'RPL13A', 'EDF1', 'RPS3A', 'YWHAZ', 'DDOST', 'ACTA1', 'HAX1', 'RCN2', 'PIK3CA', 'THRAP3', 'TRAF6', 'RPL37A', 'LCOR', 'MYH9', 'TOP1', 'SLC25A5', 'RBM23', 'SOS1', 'SOS2', 'OTUB1', 'RAB1A', 'SMARCD1', 'SMARCD3', 'RPL36A', 'DDX21', 'SLC3A2', 'RNF4', 'NR2C2', 'HSPD1', 'RBBP4', 'POLR2D', 'ERBB2', 'HNRNPA1', 'SEC11A', 'HNRNPA0', 'ABCF1', 'NOP56', 'PTCD3', 'DUT', 'SSB', 'HSPE1', 'EIF3I', 'SPAG1', 'P4HB', 'EIF3F', 'VPS45', 'RBMX', 'RAN', 'PFKP']",0.0001764237825820766,0,0,240
3,ILF2,3.060370911779485e-05,1.968117213974012,20.457376595398724,"['YWHAE', 'NENF', 'RPL8', 'RPL10A', 'RPL9', 'RPL6', 'TXN2', 'RPL7', 'RPS4X', 'RPL7A', 'MAP1LC3B', 'MAP1LC3A', 'SUMO1', 'MAGOH', 'SUMO2', 'SPTAN1', 'RPS13', 'GABARAPL2', 'GABARAPL1', 'RAB6C', 'MRPS26', 'RPL21', 'TPM4', 'SSR4', 'RPS8', 'RPL23', 'MYOF', 'MIF4GD', 'DDOST', 'RHOB', 'EEF1A1', 'MRPL50', 'SOAT1', 'SREK1', 'DDX28', 'KHDRBS2', 'RPL10', 'CUL2', 'RPL11', 'TIMM13', 'MRPL17', 'NEDD8', 'GABARAP', 'MRPL55', 'RPS15A', 'RPS3', 'RPS2', 'RPL18', 'HNRNPA1', 'RPL17', 'RPL19', 'ABCF1', 'NOP56', 'XRCC6', 'EIF2B2', 'XRCC5', 'MRPL21', 'RPS26', 'NMT1', 'RPS20', 'RPS24', 'RPS23']",0.0027237301114837417,0,0,62
4,RAD21,0.00015001278289184712,1.7715531929394126,15.598153923085295,"['RPL5', 'RPL30', 'FEN1', 'HSP90AB1', 'FHL3', 'RPL6', 'RPS4X', 'RPS14', 'RPS17', 'NIPBL', 'RPS19', 'SUMO1', 'CLP1', 'RPS18', 'TMSB4X', 'CFL1', 'SUMO2', 'RPS10', 'RPS13', 'CCT3', 'CBR1', 'HSP90AA1', 'RFC3', 'RPS7', 'DYNLT1', 'TPM3', 'RPL23', 'RPS5', 'RPL22', 'RPS3A', 'GTPBP1', 'DDB1', 'PSPC1', 'MCM4', 'UBA52', 'CSTB', 'RPL10', 'AIRE', 'CDCA5', 'RPL11', 'PDS5B', 'PPM1D', 'HSD17B8', 'RPS15A', 'KIF3B', 'RPS3', 'PGK1', 'RPL13', 'RPS2', 'RPS27A', 'RPL17', 'RPL35A', 'EIF2S1', 'RPS25', 'STAG1', 'STAG2', 'EIF2S3', 'NACA', 'PSMC1', 'EIF3I', 'RPS20', 'RPL22L1', 'PIN4', 'EIF3F', 'HIST1H4C', 'EIF3D', 'HIST1H4E', 'RAN']",0.010013353258030796,0,0,68
5,HTT,0.0006712084647190214,1.5663984372722237,11.444781773951737,"['NDUFA13', 'TTC23', 'HSP90AB1', 'CCDC126', 'DIRAS2', 'MRFAP1', 'ETFB', 'COX6A1', 'MAP1LC3B', 'CHCHD2', 'MAP1LC3A', 'TUBA1A', 'SUMO1', 'CASP6', 'DPYSL2', 'RAC1', 'IKBKG', 'PRKACA', 'PDK2', 'ECH1', 'TPM1', 'TRAFD1', 'SYP', 'CPT1B', 'ETV4', 'MTSS1', 'COX6B1', 'FOXP1', 'DDB1', 'KAT2B', 'RCN2', 'FEZ1', 'TRAF6', 'NDUFS5', 'VDAC2', 'NHLRC1', 'VDAC1', 'WDFY3', 'AMPH', 'NDUFS1', 'UQCRC2', 'ALDOA', 'SGK2', 'DLD', 'SQSTM1', 'SLC25A11', 'STX1A', 'PFN2', 'VCP', 'NDUFB10', 'EPB41', 'STXBP1', 'PEX11B', 'CUL2', 'FPR2', 'COX5B', 'UQCRH', 'MRPL11', 'PSMB7', 'STIP1', 'DNAJB1', 'ZMAT2', 'CD59', 'PACSIN1', 'OPCML', 'HSPA8', 'NDUFA8', 'XRCC6', 'TM4SF19', 'NEGR1', 'MBD1', 'LSAMP', 'COX6C', 'IFT20', 'DNAJA1', 'PSMC5', 'NBR1', 'GNB1', 'CNTN1', 'SPAG1', 'ALPL', 'TPP1', 'HSPA1B']",0.03584253201599574,0,0,83
6,ATF2,0.0020022081713128473,1.5675466230292894,9.739958187110947,"['ITGB1', 'ARF1', 'HSP90AB1', 'YWHAB', 'GLS', 'ARV1', 'RPS6KA5', 'RUVBL2', 'CFL1', 'NPPA', 'CCT3', 'CAP1', 'RAB2A', 'PDIA3', 'SS18', 'HSP90AA1', 'TPI1', 'CSNK2A1', 'TPM4', 'H2AFY', 'PRKCB', 'AHSG', 'TPM3', 'TPM1', 'KRT8', 'EDF1', 'FOS', 'YWHAZ', 'DDOST', 'PDIA4', 'DDX39B', 'ERP29', 'FSCN1', 'VDAC2', 'VDAC1', 'UQCRC2', 'ALDOA', 'PPIB', 'DLD', 'CREB5', 'TIMM9', 'SLC3A2', 'PHB', 'HSP90B1', 'HSPD1', 'STIP1', 'PRDX5', 'GRPEL1', 'SERPINH1', 'PGK1', 'CCT4', 'TXNDC5', 'NUS1', 'NFYA', 'MDH2', 'HSPE1', 'NFKB1', 'COQ4', 'MAPK10', 'RAB14', 'NACA', 'CALU', 'CCDC6', 'CYCS', 'CALM3', 'CALR', 'P4HB']",0.0890982636234217,0,0,67
7,FOXP3,0.009963260434267597,1.3508011087074094,6.22564091654993,"['PHF3', 'GSK3B', 'AHCTF1', 'FEN1', 'DDX49', 'CDCA7L', 'WDR3', 'NCAPG2', 'MED19', 'DPY30', 'GPATCH4', 'MCM10', 'PARK7', 'NOC2L', 'NR3C1', 'RRP8', 'RRP9', 'BCL7A', 'RBMX2', 'DBT', 'DPF2', 'RAC2', 'NUSAP1', 'AP3S1', 'ARIH1', 'LDLRAP1', 'TNPO1', 'UTP15', 'MBNL1', 'SEC13', 'IK', 'ADSL', 'DBNL', 'AP1B1', 'NOSIP', 'PPP2R5A', 'IMP4', 'LIG3', 'GNL2', 'FOXP4', 'GTPBP4', 'VAV1', 'CD2AP', 'FOXP1', 'PSME3', 'STRAP', 'TOP1', 'UBA52', 'SLU7', 'SNRPA', 'ARHGEF6', 'VCP', 'INO80E', 'RBM8A', 'RPS19BP1', 'MAK16', 'LENG8', 'NOC4L', 'ADD3', 'ACACB', 'GSPT1', 'CORO1C', 'EXOSC7', 'EXOSC5', 'RAP1A', 'ORC1', 'DNAJB6', 'INPP5D', 'POLD1', 'DHX36', 'SAP18', 'EXOSC1', 'CCT4', 'RRM2', 'CBX4', 'CCDC137', 'INTS3', 'HELZ', 'NPM3', 'EIF2S2', 'TBL3', 'LAS1L', 'SP2', 'ERCC3', 'APLF', 'MPHOSPH10', 'TSR1', 'BAX', 'INTS6', 'FAM98A', 'NOL12', 'EIF4G3', 'UBE2M']",0.3236854911223912,0,0,93
8,NR3C1,0.01078372528632869,1.4375723794109245,6.511796332295461,"['PHF3', 'GSK3B', 'HSP90AB1', 'CHD9', 'HMGB2', 'IDE', 'HMGB1', 'NR3C2', 'GRIP1', 'PSMD7', 'RPS6KA5', 'TUBA1A', 'SUMO1', 'FTH1', 'SUMO2', 'PRKACA', 'ACP1', 'YWHAH', 'TSPYL2', 'NCOA1', 'NCOA2', 'EIF5B', 'HSP90AA1', 'CSNK2A1', 'AHSG', 'IFNGR2', 'DDX54', 'FOS', 'CD2AP', 'CLIP1', 'ALDH5A1', 'DNAJC7', 'THRAP3', 'FKBP4', 'FKBP5', 'SMARCD1', 'SET', 'CUL2', 'TXN', 'ZBTB3', 'HSPD1', 'RXRB', 'STIP1', 'TTPA', 'TCEAL2', 'BAG1', 'HNRNPA1', 'SF3A1', 'SSB', 'PTGES3', 'ZBTB16', 'CWC15', 'ARPC5', 'NFKB1', 'MAPK10', 'DNAJA1', 'BHMT', 'GNB1', 'CCDC6', 'CALM3', 'CALR', 'HSPA1B', 'RAN', 'HSPA1A']",0.3236854911223912,0,0,64
9,EED,0.011787413662036597,1.76903341144638,7.855787279406761,"['RPL3', 'HSP90AB1', 'ITGAE', 'ACTG1', 'RPS15', 'RPL7A', 'MAP1LC3B', 'RBBP4', 'PPP1R8', 'EPC1', 'RPL15', 'JARID2', 'RPS10', 'SPTAN1', 'RPL19', 'SS18', 'PRMT5', 'HSP90AA1', 'TSC22D1', 'RPS3A', 'EIF2S2', 'EIF2S1', 'VAV1', 'DDB1', 'DUSP23', 'MYBBP1A', 'PSMC1', 'EIF3F']",0.3236854911223912,0,0,28
10,ELF1,0.012123052101962217,2.221944370860927,9.804655065603415,"['TAF12', 'NFYA', 'LSM1', 'SIRT5', 'ELP2', 'RTF1', 'HMGB1', 'MED4', 'CHD1', 'NFKB1', 'PPA2', 'SUMO2', 'CDK1', 'JAK2', 'RAE1', 'BUB1']",0.3236854911223912,0,0,16
