Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Myc Targets V1,1.2831569284045118e-24,4.575856657075595,251.73031572811598,"['EIF4A1', 'HDDC2', 'RPL34', 'HNRNPR', 'PWP1', 'RPL6', 'RRP9', 'PSMD8', 'EEF1B2', 'PSMD7', 'SNRPD1', 'RUVBL2', 'SNRPD3', 'TXNL4A', 'RPS10', 'DDX18', 'EIF1AX', 'RPS5', 'RPL22', 'MRPS18B', 'UBE2E1', 'ILF2', 'CLNS1A', 'SNRPG', 'NHP2', 'VDAC1', 'ERH', 'KPNB1', 'SET', 'GLO1', 'NOLC1', 'PHB', 'LDHA', 'PRDX4', 'PGK1', 'XRCC6', 'GOT2', 'PA2G4', 'EIF2S2', 'EIF2S1', 'LSM2', 'AIMP2', 'LSM7', 'UBA2', 'HNRNPC', 'EIF4G2', 'YWHAE', 'SLC25A3', 'HSP90AB1', 'RPLP0', 'SYNCRIP', 'XPO1', 'YWHAQ', 'RACK1', 'MRPL9', 'ACP1', 'CCT3', 'TOMM70', 'CCT2', 'VBP1', 'NCBP2', 'CTPS1', 'NME1', 'GNL3', 'PSMA4', 'PSMA1', 'PSMA2', 'CANX', 'TCP1', 'MCM4', 'SNRPA1', 'ETF1', 'MCM6', 'PCNA', 'SF3B3', 'ODC1', 'DDX21', 'PSMA7', 'HSPD1', 'SRM', 'EXOSC7', 'PSMB2', 'PSMB3', 'POLD2', 'RPS3', 'USP1', 'RPL14', 'EIF4H', 'SNRPB2', 'RPS2', 'RPL18', 'CCT7', 'HNRNPA1', 'CCT5', 'CCT4', 'NOP56', 'RANBP1', 'NPM1', 'SF3A1', 'DUT', 'HNRNPA3', 'RRM1', 'SSB', 'PTGES3', 'CNBP', 'DEK', 'HSPE1', 'RSL1D1', 'APEX1', 'IMPDH2', 'SERBP1', 'NDUFAB1', 'EIF3J', 'POLE3', 'HDGF', 'SSBP1', 'EIF3D', 'RAN']",6.415784642022558e-23,0,0,118
2,Oxidative Phosphorylation,3.18213604735556e-19,3.6590240820393185,155.8435586699107,"['ISCA1', 'COX6A1', 'PMPCA', 'ATP6V1E1', 'ATP6V1G1', 'PHYH', 'ECH1', 'SDHC', 'COX6B1', 'AFG3L2', 'OXA1L', 'COX7A2L', 'VDAC2', 'VDAC1', 'UQCRC2', 'ISCU', 'UQCRB', 'ABCB7', 'COX15', 'MGST3', 'COX17', 'ATP5MC2', 'ATP5MC3', 'COX7A2', 'MRPL15', 'UQCRH', 'ATP5MC1', 'LDHA', 'CYB5R3', 'GRPEL1', 'COX11', 'NDUFV1', 'ATP6V1D', 'ATP5MG', 'ATP6V1C1', 'ATP5MF', 'ATP6V1F', 'ATP5ME', 'HSPA9', 'SURF1', 'PDHA1', 'IDH2', 'GOT2', 'ALDH6A1', 'UQCRQ', 'CYCS', 'COX7B', 'SLC25A3', 'MRPS11', 'COX4I1', 'MRPS12', 'HCCS', 'ETFB', 'COX7C', 'MRPL35', 'IDH3B', 'UQCRFS1', 'COX8A', 'TOMM70', 'ATP6AP1', 'GPX4', 'MRPS22', 'NDUFC2', 'NDUFC1', 'NDUFS6', 'NDUFS3', 'NDUFS1', 'SLC25A5', 'ATP6V0C', 'SLC25A4', 'SLC25A6', 'NDUFB8', 'ECHS1', 'NDUFB7', 'NDUFB6', 'NDUFB5', 'TIMM9', 'NDUFB4', 'NDUFB3', 'TIMM13', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'TIMM10', 'PDHB', 'COX5B', 'HSD17B10', 'ATP5F1A', 'ATP5F1B', 'MFN2', 'POLR2F', 'NDUFA9', 'TIMM8B', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'MTX2', 'MDH2', 'NDUFA4', 'NDUFA3', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'PDP1', 'NDUFAB1', 'ATP5PO', 'BAX']",7.9553401183889e-18,0,0,113
3,Unfolded Protein Response,1.9895761984348832e-07,2.8034089110478,43.25708729205601,"['EIF4A2', 'EIF4A1', 'FKBP14', 'POP4', 'EIF4A3', 'IFIT1', 'RRP9', 'CKS1B', 'RPS14', 'SERP1', 'BANF1', 'TSPYL2', 'IMP3', 'WIPI1', 'PDIA6', 'ERN1', 'TUBB2A', 'MTHFD2', 'DKC1', 'NHP2', 'GEMIN4', 'ATP6V0D1', 'EXOC2', 'ATF4', 'DCTN1', 'GOSR2', 'NOLC1', 'SLC1A4', 'SDAD1', 'HSP90B1', 'EXOSC5', 'EXOSC9', 'EIF4EBP1', 'DNAJB9', 'EXOSC1', 'SEC31A', 'HSPA9', 'NOP56', 'XBP1', 'NPM1', 'HSPA5', 'EEF2', 'EIF2S1', 'LSM4', 'YIF1A', 'SPCS1', 'DNAJA4', 'CNOT2', 'SRPRA', 'SRPRB', 'HYOU1', 'CALR', 'EIF4G1']",3.3159603307248057e-06,0,0,53
4,DNA Repair,3.702130128024182e-07,2.391239388794567,35.41231195596628,"['FEN1', 'MPG', 'CETN2', 'SNAPC5', 'ZNRD1', 'MRPL40', 'MPC2', 'PDE4B', 'REV3L', 'TMED2', 'TK2', 'GPX4', 'NCBP2', 'NME4', 'EDF1', 'GTF2F1', 'RBX1', 'NME1', 'APRT', 'DDB1', 'RRM2B', 'DAD1', 'POLR1C', 'POLR1D', 'CMPK2', 'UMPS', 'EIF1B', 'GTF2A2', 'PCNA', 'CANT1', 'RNMT', 'USP11', 'GMPR2', 'COX17', 'SUPT4H1', 'DGUOK', 'POLD4', 'POLR2A', 'POLR2C', 'POLR2D', 'POLR2E', 'POLR2F', 'POLR2G', 'STX3', 'POLR2I', 'SAC3D1', 'POLR2K', 'BCAP31', 'SURF1', 'DUT', 'BRF2', 'TAF12', 'POLR3GL', 'TAF13', 'ALYREF', 'RPA2', 'SSRP1', 'SUPT5H', 'GTF2H3', 'GTF2H5', 'POLE4', 'NUDT9', 'POLR3C', 'IMPDH2', 'ITPA', 'GSDME']",4.6276626600302275e-06,0,0,66
5,Myc Targets V2,5.150897911819772e-05,3.068622540250447,30.298825350723238,"['PPAN', 'NOLC1', 'PHB', 'RABEPK', 'RRP9', 'SRM', 'HSPD1', 'EXOSC5', 'UTP20', 'RRP12', 'NOP56', 'DDX18', 'NPM1', 'SORD', 'IMP4', 'TFB2M', 'PA2G4', 'HSPE1', 'GNL3', 'BYSL', 'RCL1', 'AIMP2', 'MYBBP1A', 'MRTO4', 'MCM4', 'MPHOSPH10', 'FARSA', 'DCTPP1']",0.000472486615927337,0,0,28
6,UV Response Up,5.669839391128044e-05,2.050882882882883,20.053050202171786,"['BTG3', 'FEN1', 'BTG1', 'AMD1', 'ENO2', 'GLS', 'UROD', 'PRKACA', 'JUNB', 'SIGMAR1', 'TAP1', 'FOS', 'HLA-F', 'TUBA4A', 'RHOB', 'SELENOW', 'TMBIM6', 'NPTXR', 'FKBP4', 'ALDOA', 'SQSTM1', 'SLC25A4', 'DDX21', 'SULT1A1', 'RXRB', 'CYB5R1', 'STIP1', 'PPP1R2', 'GRPEL1', 'CREG1', 'AP2S1', 'YKT6', 'ATP6V1C1', 'ATP6V1F', 'KLHDC3', 'GCH1', 'PLCL1', 'RAB27A', 'GGH', 'CDC5L', 'PDAP1', 'CCK', 'HSPA2', 'NFKBIA', 'PTPRD', 'DNAJA1', 'NR4A1', 'BMP2', 'EIF2S3', 'EIF5', 'PSMC3', 'POLE3', 'PPT1', 'FOSB', 'CDO1', 'GRINA']",0.000472486615927337,0,0,56
7,E2F Targets,0.002653707360815159,1.608748017446471,9.542767649159558,"['JPT1', 'POP7', 'CDKN1B', 'MRE11', 'DSCC1', 'HMGB2', 'HMGB3', 'SMC4', 'IPO7', 'CKS1B', 'PNN', 'SYNCRIP', 'XPO1', 'STMN1', 'HUS1', 'CTPS1', 'KIF22', 'NME1', 'CIT', 'MSH2', 'MTHFD2', 'MCM4', 'MCM6', 'DCTPP1', 'SNRPB', 'SLBP', 'PRPS1', 'PCNA', 'PRKDC', 'CDCA8', 'NOLC1', 'PDS5B', 'PSMC3IP', 'PRDX4', 'ORC6', 'PPP1R8', 'POLD2', 'USP1', 'NOP56', 'RANBP1', 'XRCC6', 'DUT', 'CBX5', 'GINS3', 'RPA1', 'RPA2', 'PA2G4', 'DEK', 'SSRP1', 'EIF2S1', 'POLE4', 'STAG1', 'PHF5A', 'DIAPH3', 'NASP', 'UBE2S', 'UBE2T', 'ANP32E', 'CNOT9', 'RAN', 'CDKN3']",0.018955052577251136,0,0,61
8,Protein Secretion,0.008139514750030547,1.7287957409528945,8.317279034772548,"['NAPA', 'COPB2', 'CD63', 'ARF1', 'TMED10', 'VPS4B', 'GOSR2', 'CLTC', 'CLTA', 'ATP1A1', 'CLN5', 'SCRN1', 'AP2S1', 'TMED2', 'YKT6', 'AP2M1', 'SH3GL2', 'SEC31A', 'RAB2A', 'ARFGEF1', 'DST', 'M6PR', 'AP3B1', 'AP2B1', 'SCAMP3', 'ARCN1', 'SOD1', 'GALC', 'RER1', 'RAB14', 'PPT1', 'ANP32E', 'VPS45', 'ERGIC3', 'PAM', 'COPE']",0.050871967187690915,0,0,36
9,Reactive Oxygen Species Pathway,0.02972570203321555,1.8918018000352947,6.6510893503218025,"['CDKN2D', 'EGLN2', 'NDUFA6', 'GPX4', 'TXNRD2', 'NDUFB4', 'TXNRD1', 'TXN', 'SCAF4', 'ATOX1', 'SOD1', 'SBNO2', 'PRDX4', 'SELENOS', 'PRDX1', 'JUNB', 'HMOX2', 'LAMTOR5']",0.14668366299215485,0,0,18
10,Interferon Gamma Response,0.031343654607986104,1.4505195531935284,5.022777063407391,"['LGALS3BP', 'BTG1', 'EIF4E3', 'UBE2L6', 'ADAR', 'IFIT1', 'DDX60', 'SAMHD1', 'IFIT3', 'PSMB10', 'PSMB2', 'ST8SIA4', 'PDE4B', 'TRIM25', 'ST3GAL5', 'B2M', 'GCH1', 'STAT1', 'NCOA3', 'HLA-B', 'EIF2AK2', 'TAP1', 'TRAFD1', 'ARID5B', 'ISG15', 'HLA-A', 'BPGM', 'TOR1B', 'PSMB8', 'NFKB1', 'PML', 'NFKBIA', 'PSMA3', 'MTHFD2', 'PSMA2', 'PSME1', 'PSME2', 'SERPING1', 'CMPK2', 'LAP3', 'RAPGEF6', 'IRF9', 'PTPN2', 'LY6E']",0.14668366299215485,0,0,44
