pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_RIBOSOME,1.18716694598501e-45,2.65925395900642e-43,1.7624392879181,-0.879975037408097,-2.70461170263512,85,RPL10A|RPS27A|RPL22L1|RPS23|RPL36AL|RPS26|RPL26|RPS8|RPS15A|RPS27|RPL17|FAU|RPL6|RPS13|RPL24|RPL41|RPL35A|RPS28|RPL9|RPL13|RPL15|RPS25|RPL21|RPL39|RPL18A|RPS18|RPS12|RPS21|RPS29|RPL11|RPL7A|RPLP1|RPS7|RPL29|RPS19|RPL3|RPL18|RPL34|RPL27A|RSL24D1|RPL36A|RPL37A|RPS4X|RPS3A|RPL35|RPL32|RPL19|RPL10|RPL30|RPL38|RPS10|RPS17|RPL23|RPS16|RPL12|RPSA|RPS24|RPL27|RPL7|RPL23A|RPL26L1|RPL14|RPS15|RPS9|RPS5|RPL13A|UBA52|RPL36|RPL8|RPL28|RPS2|RPLP0|RPL37|RPS27L|RPL22|RPS3|RPL4|RPL5|RPLP2
KEGG_OXIDATIVE_PHOSPHORYLATION,1.33053305611623e-15,1.49019702285018e-13,1.01754479730988,-0.656531504268153,-2.0493176270662,104,NDUFA7|NDUFB7|COX7C|UQCR10|ATP5F1E|NDUFS5|ATP5PD|ATP5PF|NDUFC2|NDUFA1|ATP6V1C2|ATP6V1F|NDUFB2|NDUFA3|ATP5MF|ATP6V1G1|COX7A2|NDUFA4|COX7B|ATP5MC1|UQCRQ|COX6B1|ATP5ME|UQCR11|COX6C|UQCRB|NDUFB10|COX4I1|ATP6V1E1|NDUFA6|NDUFB1|ATP6AP1|NDUFS6|NDUFB3|ATP6V0E2|COX6A1|COX5B|NDUFA11|COX7A1|NDUFC1|ATP5MC3|COX17|NDUFB9|UQCRFS1|ATP6V1G2|COX8A|NDUFV1|ATP6V1E2|ATP5F1B|ATP5F1D|NDUFA2|NDUFB4|NDUFB5|NDUFAB1|NDUFA5|ATP5MC2|UQCRH|ATP5F1A|ATP6V0C|NDUFA4L2|ATP5PO|ATP6V1D|NDUFA8|NDUFB8|ATP5PB|ATP6V0A4|COX15|ATP6V0D1|NDUFS3|CYC1|ATP6V1A|ATP6V1B2
KEGG_PARKINSONS_DISEASE,1.56451624272083e-14,1.16817212789822e-12,0.97599468306432,-0.643433604848063,-2.00648163390937,103,NDUFA7|NDUFB7|COX7C|UQCR10|ATP5F1E|NDUFS5|ATP5PD|ATP5PF|NDUFC2|NDUFA1|SLC25A5|NDUFB2|NDUFA3|COX7A2|NDUFA4|COX7B|SEPTIN5|ATP5MC1|UQCRQ|COX6B1|CYCS|UQCR11|COX6C|UQCRB|NDUFB10|COX4I1|UBE2L6|NDUFA6|NDUFB1|NDUFS6|NDUFB3|COX6A1|COX5B|COX7A1|NDUFC1|ATP5MC3|NDUFB9|UQCRFS1|UBB|COX8A|NDUFV1|VDAC1|ATP5F1B|SLC25A6|ATP5F1D|SLC18A2|NDUFA2|NDUFB4|NDUFB5|PINK1|NDUFAB1|NDUFA5|PARK7|ATP5MC2|UQCRH|SLC25A4|ATP5F1A|NDUFA4L2|ATP5PO|NDUFA8|NDUFB8|ATP5PB
HALLMARK_OXIDATIVE_PHOSPHORYLATION,5.84541394799461e-14,3.27343181087698e-12,0.954541630725724,-0.552045445344346,-1.77675801675179,199,NDUFA7|NDUFB7|COX7C|MRPS12|UQCR10|ATP5F1E|TIMM10|ATP5PD|ATP5PF|NDUFC2|NDUFA1|SLC25A5|ATP6V1F|BAX|NDUFB2|NDUFA3|ATP5MF|ATP6V1G1|COX7A2|NDUFA4|COX7B|ATP5MC1|UQCRQ|COX6B1|ATP5ME|CYCS|UQCR11|TIMM8B|GPX4|TIMM13|COX6C|UQCRB|COX4I1|ATP6V1E1|NDUFA6|NDUFB1|ATP6AP1|NDUFS6|NDUFB3|COX6A1|COX5B|ISCU|NDUFC1|ATP5MC3|COX17|UQCRFS1|PHYH|LDHA|COX8A|NDUFV1|VDAC1|MDH2|ATP5F1B|SLC25A6|ATP5F1D|NDUFA2|ETFB|MRPL35|NDUFB4|GRPEL1|HSD17B10|NDUFB5|SURF1|NDUFAB1|NDUFA5|ATP5MC2|UQCRH|IDH3B|SLC25A4|OXA1L|ATP5F1A|ATP6V0C|PDHB|IDH2|MRPS22|ATP5PO|ATP6V1D|MRPL15|NDUFA8|CYB5R3|TOMM22|ECHS1|NDUFB8|HCCS|ATP5PB|SLC25A11|COX15|MRPL11|MFN2|NDUFS3|CYC1|TIMM17A|ISCA1|VDAC2|MGST3|SLC25A3|MRPL34|IDH3G|PDP1|HSPA9|COX7A2L|PMPCA|BCKDHA|ALDH6A1|ECH1|ATP6V0B|ATP1B1|NDUFB6|TOMM70|ATP6V1C1|GOT2|POLR2F|HTRA2|COX11|MRPS11|ATP5MG|LDHB
KEGG_HUNTINGTONS_DISEASE,4.19811461271792e-11,1.88075534649763e-09,0.851339057116899,-0.557712197779811,-1.77476784917747,156,NDUFA7|NDUFB7|COX7C|UQCR10|ATP5F1E|NDUFS5|ATP5PD|ATP5PF|NDUFC2|NDUFA1|SLC25A5|POLR2K|BAX|NDUFB2|NDUFA3|COX7A2|POLR2E|NDUFA4|COX7B|ATP5MC1|UQCRQ|COX6B1|CYCS|UQCR11|SOD1|COX6C|POLR2L|UQCRB|NDUFB10|COX4I1|NDUFA6|NDUFB1|NDUFS6|POLR2I|DNAH3|NDUFB3|COX6A1|COX5B|COX7A1|NDUFC1|ATP5MC3|NDUFB9|UQCRFS1|DNAL4|COX8A|POLR2G|NDUFV1|VDAC1|BBC3|ATP5F1B|SLC25A6|ATP5F1D|CREB3|NDUFA2|NDUFB4|NDUFB5|HAP1|NDUFAB1|NDUFA5|ATP5MC2|UQCRH|SLC25A4|DNAH2|AP2S1|ATP5F1A|POLR2D|NDUFA4L2|ATP5PO|POLR2J|NDUFA8|DCTN1|NDUFB8|AP2M1|ATP5PB|NDUFS3|CYC1|VDAC2|HIP1|CLTA|CREB5|POLR2J3|COX7A2L|CASP9|DCTN2|PLCB3|POLR2C
KEGG_ALZHEIMERS_DISEASE,1.01119390842785e-09,3.2834908167312e-08,0.788186810800237,-0.550137265255444,-1.74395073793024,142,NDUFA7|NDUFB7|COX7C|UQCR10|ATP5F1E|NDUFS5|ATP5PD|ATP5PF|NDUFC2|NDUFA1|NDUFB2|NDUFA3|COX7A2|NDUFA4|COX7B|ATP5MC1|UQCRQ|COX6B1|CYCS|UQCR11|CALM3|COX6C|UQCRB|NDUFB10|COX4I1|NDUFA6|NDUFB1|NDUFS6|ATP2A1|MME|NDUFB3|COX6A1|COX5B|COX7A1|NDUFC1|ATP5MC3|NDUFB9|UQCRFS1|PSEN2|COX8A|NDUFV1|GAPDH|ATP5F1B|ATP5F1D|NDUFA2|NDUFB4|CALM1|HSD17B10|NDUFB5|FADD|NDUFAB1|NDUFA5|ATP5MC2|UQCRH|ATP5F1A|NDUFA4L2|ATP5PO|ERN1|NDUFA8|NOS1|NDUFB8|PSENEN|ATP5PB|CALM2
HALLMARK_MYC_TARGETS_V1,1.0260908802285e-09,3.2834908167312e-08,0.788186810800237,-0.51607466852021,-1.65975923573779,194,RPL6|LSM7|RPL18|PA2G4|SET|RPL34|NPM1|EEF1B2|RPS10|IMPDH2|POLE3|EIF2S2|PSMD8|ODC1|RPL14|LSM2|RPS5|PHB1|HSPE1|RPS2|RPLP0|HSP90AB1|AIMP2|MCM4|EIF1AX|EIF3D|NHP2|RPL22|MCM6|RPS3|SRM|CCT7|LDHA|HNRNPA1|EIF4G2|NOLC1|DDX18|SF3A1|MRPS18B|EIF4H|PSMB3|GNL3|VDAC1|RAN|H2AZ1|SNRPB2|RRP9|NOP56|NME1|SNRPD3|VBP1|PSMA7|RANBP1|SNRPD1|RACK1|APEX1|PSMD7|MCM2|POLD2|RPS6|NCBP2|NDUFAB1|YWHAQ|SNRPG|SNRPA1|CCT4|CCT3|PRDX4|MRPL9|ERH|PGK1|ILF2|CCT5|TXNL4A|RSL1D1|SNRPD2|XRCC6|SERBP1|PCNA|USP1|PTGES3|ACP1|MRPL23|CYC1|CCT2|HDDC2|CANX|SSBP1|MAD2L1|PCBP1|SLC25A3|EIF4A1|CNBP|NOP16|XPO1|DDX21|TCP1|PPIA|EIF3J|RUVBL2|TUFM|SRSF3|CDK4|KARS1|TOMM70|YWHAE|GLO1|EXOSC7|GOT2
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,4.92054716779638e-06,0.000137775320698299,0.610526878385931,-0.618731593862206,-1.80394136246184,45,HLA-B|B2M|HLA-C|HLA-A|HSPA5|TAP1|HLA-F|CALR|HSP90AA1|PSME1|PSME2|HSPA8|HSP90AB1|HLA-DPA1|PSME3|LGMN|RFX5|HSPA1B|HSPA4|KLRD1|CTSL|PDIA3|CTSB|CANX
HALLMARK_DNA_REPAIR,5.02830262811433e-05,0.00125148865410846,0.557332238758646,-0.474015281256573,-1.50264188911792,142,GMPR2|ALYREF|MRPL40|POLR2K|POLR2E|GPX4|APRT|IMPDH2|SAC3D1|POLR3GL|SNAPC5|POLR2I|USP11|SUPT4H1|FEN1|CETN2|COX17|EIF1B|EDF1|GTF2H3|POLR2G|CMPK2|RPA3|BRF2|POLE4|POLD4|NME1|TK2|GTF2F1|POLR1C|NCBP2|GTF2H5|SURF1|TMED2|POLR1H|ITPA|TAF13|CANT1|POLR2D|GSDME|BCAP31|RNMT|POLR2J|TARBP2|RRM2B|PCNA|SUPT5H|DAD1|NME4|CLP1|NT5C|GTF2A2|TAF12|TAF10|MPG|RPA2|SSRP1|MPC2|DDB1|POLR2C|ARL6IP1|NME3|UMPS|NUDT21|AK1|TAF9
KEGG_VIBRIO_CHOLERAE_INFECTION,9.29372060605289e-05,0.00199766549394968,0.538434096309916,-0.580421209488488,-1.69837958845797,47,ACTG1|SEC61G|ATP6V1C2|PDIA4|ATP6V1F|ATP6V1G1|SEC61B|CFTR|ATP6V1E1|ATP6AP1|ATP6V0E2|PLCG2|ATP6V1G2|ATP6V1E2|KCNQ1|ACTB|KDELR1|ATP6V0C|ARF1|ATP6V1D|ATP6V0A4|ATP6V0D1|ATP6V1A|ATP6V1B2|PRKACA|KDELR2|ATP6V0B|ATP6V1C1
