Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Salmonella infection,0.005717764994050704,24.61842105263158,127.13389079879875,"['TNFSF10', 'NOD1']",0.07880177421863681,0,0,2
2,Viral protein interaction with cytokine and cytokine receptor,0.011257396316948115,112.09411764705882,502.9360310504398,['TNFSF10'],0.07880177421863681,0,0,1
3,Pertussis,0.029785096039633183,40.41702127659575,142.0151930584942,['NOD1'],0.08245444634605775,0,0,1
4,Epithelial cell signaling in Helicobacter pylori infection,0.03039766791804713,39.57083333333333,138.23632919091455,['NOD1'],0.08245444634605775,0,0,1
5,Natural killer cell mediated cytotoxicity,0.03711471563010923,32.15593220338983,105.91333609658831,['TNFSF10'],0.08245444634605775,0,0,1
6,Cytokine-cytokine receptor interaction,0.03893989277051127,30.59032258064516,99.28811225352007,['TNFSF10'],0.08245444634605775,0,0,1
7,FoxO signaling pathway,0.053437797265962365,21.99767441860465,64.43640114843537,['TNFSF10'],0.08245444634605775,0,0,1
8,Necroptosis,0.05523715064570166,21.24943820224719,61.54091304558608,['TNFSF10'],0.08245444634605775,0,0,1
9,Apoptosis,0.05523715064570166,21.24943820224719,61.54091304558608,['TNFSF10'],0.08245444634605775,0,0,1
10,Influenza A,0.06478563641475966,17.98095238095238,49.20795741475157,['TNFSF10'],0.08245444634605775,0,0,1
11,NOD-like receptor signaling pathway,0.06478563641475966,17.98095238095238,49.20795741475157,['NOD1'],0.08245444634605775,0,0,1
12,Pathogenic Escherichia coli infection,0.07954408393863702,14.484615384615385,36.666991202118595,['TNFSF10'],0.09070448175276297,0,0,1
13,Lipid and atherosclerosis,0.08422559019899419,13.633333333333333,33.73236337543049,['TNFSF10'],0.09070448175276297,0,0,1
14,Shigellosis,0.10790807409719091,10.464804469273743,23.299631601065606,['NOD1'],0.10790807409719091,0,0,1
