Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,SMAD4,0.025429599553756576,5.097494553376906,18.71719177528128,"['GPNMB', 'PARD3B', 'FOXP1']",0.48316239152137497,0,0,3
2,GFI1B,0.1820871074819123,5.18859649122807,8.83758123264585,['DTNA'],0.7338148504879594,0,0,1
3,STAT5B,0.19211798805378247,4.881836945304437,8.053300712650836,['IL15'],0.7338148504879594,0,0,1
4,NFE2L2,0.1987385429861879,4.696623634558093,7.588640896879767,['PRKCH'],0.7338148504879594,0,0,1
5,CCNE1,0.218284599181038,4.216324710080285,6.417058863891917,['PRKCH'],0.7338148504879594,0,0,1
6,CTNNB1,0.32673031376545364,1.7563760944042635,1.9647177374369977,"['FLT1', 'PTPRG']",0.7338148504879594,0,0,2
7,SMC3,0.3587924710273716,2.3130841121495327,2.370936966001433,['DPYD'],0.7338148504879594,0,0,1
8,SMAD1,0.4218944428228726,1.8700159489633175,1.613824010285154,['PARD3B'],0.7338148504879594,0,0,1
9,RARA,0.4290473033141524,1.8278752436647174,1.5467262831243342,['LIMD1'],0.7338148504879594,0,0,1
10,STAT1,0.45680621777645597,1.6765127103472968,1.3135410178267084,['FLT1'],0.7338148504879594,0,0,1
11,TCF3,0.47457687509798435,1.5886247877758914,1.184052352101951,['FOXP1'],0.7338148504879594,0,0,1
12,NOTCH1,0.5022528687924818,1.463659147869674,1.0079511604972304,['SERPINE1'],0.7338148504879594,0,0,1
13,STAT3,0.5125147774159741,1.4205962884088834,0.9495631173697087,['FLT1'],0.7338148504879594,0,0,1
14,MYC,0.5473964910956257,1.0621387283236994,0.640025565037035,"['CECR2', 'CTSD', 'FOXP1']",0.7338148504879594,0,0,3
15,HTT,0.6077329174870538,1.0861988304093568,0.5409484960143497,['FOXP1'],0.7338148504879594,0,0,1
16,SMAD3,0.6482823595238938,0.9709582721744601,0.42084141229547384,['PARD3B'],0.7338148504879594,0,0,1
17,FOXP3,0.6886981016769269,0.8676691729323308,0.32359919010211985,['FOXP1'],0.7338148504879594,0,0,1
18,SMAD2,0.695193016251751,0.8519852262234534,0.30975264839916095,['PARD3B'],0.7338148504879594,0,0,1
19,ESR1,0.9480234836605345,0.33385081408557366,0.017819622802049354,['CTSD'],0.9480234836605345,0,0,1
