Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,HNF4A (mouse),0.004877656020233202,26.771428571428572,142.50673705267286,"['TNFSF10', 'NOD1']",0.26942621896806834,0,0,2
2,Sox5 (mouse),0.009548387584693311,18.743951612903224,87.18529747353068,"['NOD1', 'PARD3B']",0.26942621896806834,0,0,2
3,FOXO3A (mouse),0.009622364963145297,18.666666666666668,86.68175051858897,"['TNFSF10', 'SCLT1']",0.26942621896806834,0,0,2
4,FOXC1 (human),0.02729765694125646,inf,inf,"['CECR2', 'TNFSF10', 'SCLT1', 'NOD1', 'EMID1', 'PARD3B']",0.5120674677498155,0,0,6
5,ETV4 (mouse),0.04125604196547327,8.354359925788497,26.633346096070998,"['NOD1', 'PARD3B']",0.5120674677498155,0,0,2
6,FOS (mouse),0.04310401128506938,8.145833333333334,25.61163403802267,"['SCLT1', 'PARD3B']",0.5120674677498155,0,0,2
7,POU2F2 (mouse),0.04854277386847124,7.602716468590832,23.000573659963656,"['TNFSF10', 'PARD3B']",0.5120674677498155,0,0,2
8,MYC (human),0.054553486681789796,7.099522292993631,20.649483480153734,"['NOD1', 'EMID1']",0.5120674677498155,0,0,2
9,IRF8 (mouse),0.06282441232702259,6.528718703976436,18.067651546273137,"['TNFSF10', 'PARD3B']",0.5120674677498155,0,0,2
10,USF1 (human),0.06382697914077497,6.467153284671533,17.794885156344534,"['NOD1', 'EMID1']",0.5120674677498155,0,0,2
11,MYC (mouse),0.07811903251096387,5.722294654498044,14.589113581169283,"['CECR2', 'EMID1']",0.5120674677498155,0,0,2
12,ATF2 (human),0.08213268442528365,5.548795944233206,13.868767323474396,"['SCLT1', 'NOD1']",0.5120674677498155,0,0,2
13,SOX10 (mouse),0.09642023404852303,11.806289308176101,27.61537352932053,['PARD3B'],0.5120674677498155,0,0,1
14,MAX (human),0.11896400974577433,4.389856557377049,9.34571606856985,"['NOD1', 'EMID1']",0.5120674677498155,0,0,2
