Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Adherens Junction (GO:0005912),0.00033027144620007747,13.822710622710623,110.79725951709669,"['FRMD4B', 'LIMD1', 'ALOX15B', 'PARD3B']",0.008196171129786073,0,0,4
2,Cell-Cell Junction (GO:0005911),0.00033453759713412544,9.5,76.02623222367689,"['STX3', 'FRMD4B', 'LIMD1', 'ALOX15B', 'PARD3B']",0.008196171129786073,0,0,5
3,Specific Granule Lumen (GO:0035580),0.004963528628888945,21.36936936936937,113.37814615575503,"['CHI3L1', 'CTSD']",0.07364435520722244,0,0,2
4,Specific Granule (GO:0042581),0.007327022476762825,8.260526315789473,40.61028429011591,"['CHI3L1', 'STX3', 'CTSD']",0.07364435520722244,0,0,3
5,Secretory Granule Lumen (GO:0034774),0.007514730123185963,5.6680851063829785,27.721981719180533,"['ARHGAP9', 'SERPINE1', 'CHI3L1', 'CTSD']",0.07364435520722244,0,0,4
6,Serine Protease Inhibitor Complex (GO:0097180),0.012201230570121508,125.13157894736842,551.3570738283966,['SERPINE1'],0.09241689063356243,0,0,1
7,Apical Junction Complex (GO:0043296),0.013202412947651775,12.486486486486486,54.033468058603255,"['FRMD4B', 'PARD3B']",0.09241689063356243,0,0,2
8,Microvillus Membrane (GO:0031528),0.020254707949243323,62.55263157894737,243.91573121652712,['SLC6A6'],0.11980431579929712,0,0,1
9,Primary Lysosome (GO:0005766),0.02425742282072808,50.036842105263155,186.088647627808,['STX3'],0.11980431579929712,0,0,1
10,Focal Adhesion (GO:0005925),0.025983238593270126,3.8531803962460898,14.065278342529973,"['FLT1', 'ALCAM', 'LIMD1', 'ALOX15B']",0.11980431579929712,0,0,4
11,Cell-Substrate Junction (GO:0030055),0.026894846403923846,3.8102114492006187,13.777041026375523,"['FLT1', 'ALCAM', 'LIMD1', 'ALOX15B']",0.11980431579929712,0,0,4
12,ISWI-type Complex (GO:0031010),0.04010955757701884,27.78654970760234,89.36545146830721,['CECR2'],0.15490767576822423,0,0,1
13,Basolateral Plasma Membrane (GO:0016323),0.04109795479565133,6.623376623376624,21.14047310901758,"['SLC6A6', 'NOD1']",0.15490767576822423,0,0,2
14,RISC Complex (GO:0016442),0.04794124654377487,22.729665071770334,69.04770032647413,['LIMD1'],0.16779436290321206,0,0,1
15,Cytoskeleton (GO:0005856),0.05795712116419505,2.939325842696629,8.371352351484012,"['FLT1', 'DTNA', 'CDC42EP3', 'ALOX15B']",0.17843953847868183,0,0,4
16,Collagen-Containing Extracellular Matrix (GO:0062023),0.058265971748141,5.415756181713628,15.395570648728762,"['SERPINE1', 'CTSD']",0.17843953847868183,0,0,2
17,Microvillus (GO:0005902),0.0861752084345109,11.893483709273182,29.15536184187304,['SLC6A6'],0.2483873654877079,0,0,1
