Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Blood Clotting Cascade WP272,0.008150345521621152,250.28947368421052,1203.8160194534996,['SERPINE1'],0.17871651751896162,0,0,1
2,Ras signaling WP4223,0.011341771433553445,6.994047619047619,31.328177194210188,"['FLT1', 'RASAL3', 'RASGRP3']",0.17871651751896162,0,0,3
3,Selenium Micronutrient Network WP15,0.01205045947102809,13.12959112959113,58.01510052952792,"['SERPINE1', 'ALOX15B']",0.17871651751896162,0,0,2
4,p53 transcriptional gene network WP4963,0.01205045947102809,13.12959112959113,58.01510052952792,"['DRAM1', 'SERPINE1']",0.17871651751896162,0,0,2
5,Oncostatin M Signaling Pathway WP2374,0.016931957773489995,10.88556641748131,44.3973535839908,"['PRKCH', 'SERPINE1']",0.17871651751896162,0,0,2
6,Mammary gland development pathway - Involution (Stage 4 of 4) WP2815,0.020254707949243323,62.55263157894737,243.91573121652712,['CHI3L1'],0.17871651751896162,0,0,1
7,Pathways Regulating Hippo Signaling WP4540,0.024778765086301294,8.81081081081081,32.580336377109155,"['FLT1', 'PRKCH']",0.17871651751896162,0,0,2
8,Cytokines and Inflammatory Response WP530,0.028244203836257833,41.69298245614035,148.7133239372551,['IL15'],0.17871651751896162,0,0,1
9,Development and heterogeneity of the ILC family WP3893,0.032215112454179747,35.733082706766915,122.75455959315215,['IL15'],0.17871651751896162,0,0,1
10,Pyrimidine metabolism and related diseases WP4225,0.036170209985360725,31.263157894736842,103.77865999730463,['DPYD'],0.17871651751896162,0,0,1
11,RAS and bradykinin pathways in COVID-19 WP4969,0.036170209985360725,31.263157894736842,103.77865999730463,['SERPINE1'],0.17871651751896162,0,0,1
12,Biomarkers for pyrimidine metabolism disorders WP4584,0.04010955757701884,27.78654970760234,89.36545146830721,['DPYD'],0.17871651751896162,0,0,1
13,Urea cycle and metabolism of amino groups WP497,0.04010955757701884,27.78654970760234,89.36545146830721,['ARG2'],0.17871651751896162,0,0,1
14,7-oxo-C and 7beta-HC pathways WP5064,0.04403321618224248,25.00526315789474,78.086711263325,['ACOT11'],0.17871651751896162,0,0,1
15,Eicosanoid Synthesis WP167,0.04403321618224248,25.00526315789474,78.086711263325,['ALOX15B'],0.17871651751896162,0,0,1
16,TP53 network WP1742,0.04403321618224248,25.00526315789474,78.086711263325,['TNFSF10'],0.17871651751896162,0,0,1
17,Gastrin signaling pathway WP4659,0.04493530860020003,6.293626960293627,19.526175328349385,"['PRKCH', 'SERPINE1']",0.17871651751896162,0,0,2
18,Imatinib and Chronic Myeloid Leukemia WP3640,0.04794124654377487,22.729665071770334,69.04770032647413,['FLT1'],0.17871651751896162,0,0,1
19,Eicosanoid metabolism via lipooxygenases (LOX) WP4721,0.0518337092057934,20.833333333333332,61.66072051038615,['ALOX15B'],0.17871651751896162,0,0,1
20,Angiogenesis WP1539,0.059572172506320534,17.853383458646615,50.356659190737695,['FLT1'],0.17871651751896162,0,0,1
21,Oxysterols derived from cholesterol WP4545,0.059572172506320534,17.853383458646615,50.356659190737695,['ACOT11'],0.17871651751896162,0,0,1
22,Vitamin B12 metabolism WP1533,0.059572172506320534,17.853383458646615,50.356659190737695,['SERPINE1'],0.17871651751896162,0,0,1
23,Hypothesized Pathways in Pathogenesis of Cardiovascular Disease WP3668,0.059572172506320534,17.853383458646615,50.356659190737695,['SERPINE1'],0.17871651751896162,0,0,1
24,Fluoropyrimidine Activity WP1601,0.06341829316055742,16.66140350877193,45.95219958683752,['DPYD'],0.18232759283660258,0,0,1
25,miRNA regulation of p53 pathway in prostate cancer WP3982,0.07106461080078696,14.698142414860682,38.86432556262482,['SERPINE1'],0.18859454404824233,0,0,1
26,Complement and Coagulation Cascades WP558,0.07106461080078696,14.698142414860682,38.86432556262482,['SERPINE1'],0.18859454404824233,0,0,1
27,Photodynamic therapy-induced HIF-1 survival signaling WP3614,0.08991527596717637,11.351674641148325,27.344906354430822,['SERPINE1'],0.22978348302722848,0,0,1
28,Folate Metabolism WP176,0.09735072049835455,10.403508771929825,24.234298975866974,['SERPINE1'],0.23240629016715364,0,0,1
29,Nucleotide-binding Oligomerization Domain (NOD) pathway WP1433,0.10104621311615376,9.986315789473684,22.89040647493055,['NOD1'],0.23240629016715364,0,0,1
30,Kisspeptin/kisspeptin receptor system in the ovary WP4871,0.10104621311615376,9.986315789473684,22.89040647493055,['PRKCH'],0.23240629016715364,0,0,1
31,TGF-beta Receptor Signaling WP560,0.119303672509093,8.317543859649122,17.683789986936382,['SERPINE1'],0.23558049292585145,0,0,1
32,Photodynamic therapy-induced AP-1 survival signaling. WP3611,0.119303672509093,8.317543859649122,17.683789986936382,['TNFSF10'],0.23558049292585145,0,0,1
33,Nuclear Receptors Meta-Pathway WP2882,0.12201614690600845,3.467604590892262,7.294459575743938,"['SLC6A6', 'CDC42EP3']",0.23558049292585145,0,0,2
34,Endochondral Ossification with Skeletal Dysplasias WP4808,0.12291156152653118,8.048387096774194,16.871754950111463,['SLC38A2'],0.23558049292585145,0,0,1
35,Endochondral Ossification WP474,0.12291156152653118,8.048387096774194,16.871754950111463,['SLC38A2'],0.23558049292585145,0,0,1
36,Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms WP4534,0.12291156152653118,8.048387096774194,16.871754950111463,['LIMD1'],0.23558049292585145,0,0,1
37,TGF-beta receptor signaling in skeletal dysplasias WP4816,0.13364903620968271,7.335913312693498,14.76380465659885,['SERPINE1'],0.2492373918504894,0,0,1
