pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_RIBOSOME,1.61817015661757e-16,3.51142923986013e-14,1.04762648849882,-0.702980519065257,-2.71251721204556,84,RPL12|RPL27A|RPL39|RPS8|RPS18|RPS15A|RPS12|RPL26|RPS23|RPL36A|RPL35|RPS2|RPS27A|RPS13|UBA52|RPS7|RPL41|FAU|RPL34|RPL22|RPL9|RPL28|RPL35A|RPS26|RPL37|RPL27|RPS4X|RPLP1|RPL14|RPS10|RPL21|RPL7|RPL30|RPL38|RPS16|RPS20|RPL19|RPL23A|RPS29|RPL13A|RPS19|RPL10A|RPS11|RPLP0|RPS25|RPL24|RPL11|RPL32|RPL29|RPS3A|RPL18A|RPS6|RPL22L1|RPS24|RPL13|RPS21|RPL36|RPL37A|RPL31|RPS27
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,5.45959031669011e-08,5.92365549360877e-06,0.719512826338911,-0.66792805535482,-2.28991662133237,45,HSPA1A|HSPA1B|HSPA5|HLA-DRB5|LGMN|HLA-DQB1|CALR|PDIA3|HLA-B|HLA-DQA1|TAP2|HLA-C|B2M|CD4|HLA-F|HSP90AB1|PSME3|HLA-DRB1|NFYB|TAPBP
HALLMARK_HYPOXIA,2.6197956945033e-07,1.89498555235739e-05,0.674962860011025,0.537257212775813,2.16538726025475,112,SERPINE1|DDIT4|SLC6A6|PDK1|SAP30|NFIL3|TGFBI|PGM1|CDKN1A|IRS2|PDGFB|TIPARP|PLAUR|DTNA|ERO1A|KDM3A|BNIP3L|GBE1|PFKP|PGK1|FAM162A|BCL2|BHLHE40|LDHA|MXI1|ANKZF1|ZNF292|HK1|BTG1|KLF7|PAM|CCNG2
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,4.08619068788347e-07,2.21675844817678e-05,0.674962860011025,-0.667582179804803,-2.25881357108452,42,H2BC8|H2BC21|H2BC5|H2AC6|HLA-DRB5|FCGR3A|C1QB|H2BC18|HLA-DQB1|C1QC|C1QA|H4C3|HLA-DQA1|FCGR1A|C3|SNRPB
KEGG_P53_SIGNALING_PATHWAY,5.83295871687261e-05,0.00253150408312271,0.557332238758646,0.631890482204188,2.09630006074198,39,SERPINE1|STEAP3|CDKN1A|CCND3|CDK6|CASP8|SIAH1|RRM2B|SESN1|CCNG2|PTEN
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.000139120417068697,0.00468133395958173,0.518848077743792,0.462303759674564,1.8309738659581,99,SERPINE1|NAMPT|DRAM1|TNFAIP8|NFIL3|CDKN1A|IRS2|TIPARP|PANX1|PLAUR|LITAF|NFKBIA|BHLHE40|ETS2|DENND5A|PER1|GCH1|STAT5A|BTG1|PLK2|B4GALT5|BCL6|DUSP1|TNFAIP2|NFAT5
HALLMARK_INFLAMMATORY_RESPONSE,0.000151010772889733,0.00468133395958173,0.518848077743792,0.460468732360757,1.82370616158714,99,SERPINE1|IL15|NAMPT|CLEC5A|RGS16|CDKN1A|PLAUR|ITGA5|NFKBIA|IRAK2|ACVR1B|HIF1A|GPR132|P2RX7|RNF144B|C5AR1|SCARF1|RHOG|AXL|GCH1|LCP2|MSR1|MMP14
HALLMARK_UV_RESPONSE_DN,0.000220486366717794,0.00598069269722015,0.518848077743792,0.457526638118023,1.81296338910504,100,SERPINE1|CACNA1A|PPARG|PRKCE|INPP4B|NRP1|RASA2|ATP2B4|BHLHE40|MGLL|CDC42BPA|SIPA1L1|DAB2|KCNMA1|SMAD7|DUSP1|PTEN|COL5A2|PHF3|GJA1|AKT3|RXRA|PDLIM5|ZMIZ1|RUNX1|NIPBL|DYRK1A|SPOP|ADD3|ATRN|TENT4A|CELF2|APBB2|ATRX|TJP1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.000375049492924403,0.00904285999606615,0.49849310876659,0.491140537008788,1.85428222156066,75,SERPINE1|IL15|SPP1|CADM1|TGFBI|VIM|CAPG|PLAUR|ITGA5|COL8A2|MAGEE1|PLOD3|FERMT2|ACTA2|DAB2|SERPINE2|MMP14|COL5A2|GJA1|TGFB1|ITGAV|TNFAIP3
HALLMARK_P53_PATHWAY,0.000651872468990992,0.0141456325771045,0.477270815362862,0.404485733571279,1.68106768481698,135,ALOX15B|DDIT4|DRAM1|NUPR1|RGS16|STEAP3|CTSD|CDKN1A|ZBTB16|CCND3|PDGFA|ACVR1B|TXNIP|FAM162A|CD81|CEBPA|SESN1|BTG1|CCNK|PLK2|PLK3|PITPNC1|IRAK1|ST14|WWP1|TGFB1|RALGDS|MXD4|RAP2B|GM2A|RXRA|ABCC5|TPD52L1|RPS27L|HMOX1|CCND2
